tail carried with an upward 53
take control and do something 64
take counsel for the common 55
take counsel for the future 181
take counsel for the nations 88
take counsel for the safety 47
take counsel with the elders 49
take counsel with the leaders 55
take counsel with the nobles 49
take counsel with the senate 43
take courage and be caught 81
take courage for the future 572
take diseases one of another 44
take herself with the manner 62
take jointly with the former 42
take measures for the arrest 87
take measures for the better 85
take measures for the carrying 51
take measures for the common 150
take measures for the further 92
take measures for the future 280
take measures for the morrow 94
take measures for the proper 127
take measures for the public 308
take measures for the ransom 49
take measures for the reform 58
take measures for the relief 318
take measures for the safety 1381
take measures for the speedy 78
take passage for the united 168
take service with the english 110
take service with the french 125
take service with the russian 41
take silence for an answer 47
take soundings off the english 45
take tenders for the repair 79
take tobacco and sing psalms 184
take vengeance for an injury 117
take vengeance for an insult 56
take vengeance for the injury 90
take vengeance for the insult 107
take vengeance for the murder 154
take vengeance one of another 47
take vengeance than to return 65
taking clients out to dinner 40
taking counsel but of common 193
taking counsel with the english 40
taking counsel with the prince 54
taking measures for the better 117
taking measures for the further 71
taking measures for the managing 57
taking measures for the relief 151
taking measures for the safety 164
tape recording can be played 107
tape systems and to recall 58
taxing america and the bloody 74
taxi stopped and the driver 79
teach america all the higher 46
teach himself that the basest 434
teach himself that the nature 57
teach parents how to manage 47
teach pledges how to become 48
teach respect for the rights 89
teach teachers for the common 70
teams compete for the rights 64
teasing himself with an absurd 44
tell colonel lee to thunder 72
tell congress and the public 42
tell douglas and my brother 57
tell hazlitt not to forget 73
tell himself that he should 104
tell himself that he wanted 44
tell stories and to listen 106
tell stories out of school 56
tell stories with the utmost 109
tend towards all the matter 121
tenth century and the middle 121
tenth century and the twelfth 60
tenth century was the golden 52
term confers all the rights 45
term implies that the person 76
test booklet and an answer 67
test booklet and the answer 67
test results and the actual 60
test results and the teacher 56
test results can be useful 117
test results for the entire 106
test results for the second 95
test results for the various 156
test results may be caused 44
test results may be normal 76
test results with the client 50
text because she is always 47
text scrolls off the screen 44
text together with an english 74
their ability not to become 47
their affairs and the nature 56
their affairs and to enlist 40
their affairs with as little 46
their affairs with the greater 50
their affairs with the utmost 116
their alliance with the caesars 55
their alliance with the church 205
their alliance with the english 1484
their alliance with the franks 58
their alliance with the french 1898
their alliance with the indians 95
their alliance with the papacy 111
their alliance with the romans 370
their alliance with the soviet 501
their alliance with the tories 56
their alliance with the united 955
their ambition was to become 48
their ambition with the design 109
their analogy with the states 50
their ancient seat of empire 59
their answers with the entire 52
their anxiety for the future 427
their anxiety for the public 59
their anxiety for the safety 157
their anxiety not to offend 44
