tan and dress leather with 59
tax and state sales tax 54
tax and value added tax 1235
team that money could buy 45
ten new words every day 152
ten she asses laden with 122
than all others which are 84
than all others which now 54
than any earthly father can 51
than any event which had 113
than any event which has 163
than any event which hath 52
than any heathen nation did 71
than any horse could run 66
than any human brain and 57
than any human tongue can 47
than any others which are 98
than any others which can 141
than any others which may 43
than any others within its 46
than any since world war 87
than any views which can 50
than any which human art 181
than any whose flesh and 57
than any words could say 110
than any words could that 51
than any words might bring 70
than are rural people and 98
than for every fault you 52
than for finding fault with 63
than for white males and 81
than for white women and 50
than had taken place for 57
than her apron could dry 55
than his brain could bear 46
than his brain would bear 90
than his either holds him 100
than his pride could bear 59
than his usual force and 138
than its title might lead 47
than its title would lead 73
than its usual charm for 55
than men about names and 42
than men whose wives are 64
than not knowing where you 65
than one action shall lie 242
than one child knows that 106
than one child under age 54
than one class shall set 80
than one clock cycle for 57
than one drink daily for 65
than one ethnic group and 64
than one order under this 84
than one penal court may 58
than one short passing day 104
than one under which they 121
than one which could not 40
than one which would set 41
than one white woman per 41
than one whose funds are 45
than our father jacob who 178
than red blood cells and 216
than she again began her 87
than she could change her 45
than she could count and 76
than she could count she 40
than she could dance with 41
than she could offer him 57
than she could stand and 62
than she could write them 40
than she would allow him 44
than six hours after his 73
than six hours every day 127
than six months after all 198
than six months after being 110
than six months after death 45
than six months after her 591
than six months after his 1661
than six months after its 1608
than six months after our 73
than six months after she 138
than six months after that 671
than six months after they 273
than six months after this 352
than six months after you 79
than six months every year 45
than six months later and 58
than six months later she 43
than six months later than 52
than six months later that 143
than six months later they 41
than six months older than 42
than six months shall not 61
than six months since his 44
than six months since she 147
than six months since they 50
than six months since you 112
than six months within any 118
than six times longer than 92
than six weeks after her 73
than six weeks after his 386
than six weeks after its 77
than six weeks after that 47
than six weeks after they 41
than six weeks after this 151
than ten months after his 100
than ten months after its 43
than ten times longer than 177
than ten times lower than 95
than that after which they 44
than that apathy which may 56
than that crime which our 97
than that every human being 114
than that given above and 93
than that given above for 194
