tact he adapted himself to 44
take an account between the 188
take an aesthetic delight in 40
take an aesthetic pleasure in 112
take an average between the 55
take an endless variety of 81
take an especial delight in 181
take an especial pleasure in 148
take an evident pleasure in 58
take an example familiar to 88
take an example outside the 95
take an example similar to 43
take an extreme example of 223
take an extreme example to 78
take an extreme pleasure in 108
take an extreme position in 152
take an extreme position on 240
take an immense delight in 50
take an inferior position in 84
take an inferior position to 44
take an instant dislike to 788
take an instant picture of 57
take an intense delight in 72
take an intense dislike to 95
take an intense pleasure in 51
take an official position in 102
take an official position on 422
take an overall picture of 71
take me fifteen minutes to 179
take me several minutes to 45
take my measures according to 46
take no decision regarding the 73
take no especial pleasure in 46
take no measures against the 82
take no official position on 75
take no position regarding the 57
take on certain aspects of 331
take on certain features of 43
take on increasing amounts of 113
take the analogy between the 63
take the average between the 62
take the average duration of 66
take the beginning balance of 120
take the central position in 71
take the central position of 59
take the classic example of 142
take the command against the 205
take the company private by 45
take the company private in 118
take the country forward in 79
take the country forward on 66
take the country forward to 75
take the country towards the 47
take the courses offered by 47
take the decision regarding the 45
take the earliest measures in 45
take the earliest occasion of 85
take the earliest occasion to 142
take the extreme example of 94
take the extreme position of 279
take the familiar example of 101
take the fateful decision to 57
take the following account of 843
take the following courses of 58
take the following example as 46
take the following example of 182
take the following example to 60
take the following measures in 139
take the following measures to 531
take the following parable of 46
take the following summary of 61
take the fullest account of 113
take the general average of 49
take the general command in 52
take the general command of 133
take the general outline of 50
take the greatest delight in 995
take the greatest liberty of 74
take the greatest pleasure in 2520
take the greatest pleasure to 43
take the greatest trouble to 191
take the highest delight in 43
take the highest pleasure in 103
take the highest position in 62
take the highest priority in 44
take the keenest delight in 198
take the keenest pleasure in 143
take the liberal position on 44
take the liberty briefly to 56
take the liberty herewith to 51
take the measures adopted by 62
take the painful decision to 40
take the position adopted by 42
take the position assumed by 60
take the position because of 50
take the position vacated by 74
take the present liberty on 52
take the present occasion of 78
take the present occasion to 245
take the previous example of 112
take the question regarding the 44
take the regular courses in 40
take the relation between the 162
take the shelter offered by 65
take the supreme command in 239
take the supreme command of 411
take the supreme control of 55
take the trouble himself to 72
take the typical example of 48
take the useless trouble of 51
take up ancient history in 58
take up certain aspects of 126
take up cudgels against the 232
take up increasing amounts of 84
take up massive amounts of 45
take up position between the 88
take up position outside the 45
take up several aspects of 45
take us fifteen minutes to 82
taking an account between the 60
taking an extreme position in 81
taking an extreme position on 87
taking an instant dislike to 194
taking an official position on 98
taking of certain species of 127
taking the average between the 166
taking the average density of 55
taking the bristol traders in 80
taking the colored laborer by 49
taking the extreme position of 67
taking the following measures to 49
taking the general average of 68
taking the greatest delight in 168
taking the greatest pleasure in 136
taking the greatest trouble to 58
taking the highest position in 44
taking the keenest delight in 95
taking the keenest pleasure in 104
taking the medical history of 79
taking the regular courses in 56
taking the supreme command of 40
taking the unknown mourner by 77
taking up cudgels against the 73
taking up increasing amounts of 44
taking up quarter sections of 49
tale is closely related to 63
tale is gravely repeated by 62
talk in official circles of 89
talk of dignity attaching to 50
talk of marriage between my 121
talk of marriage between the 41
talk of marriage between us 126
talk of mediation between the 43
talk to anybody outside the 45
tame the ruthless passions of 41
tank is located between the 46
tape is pressed against the 130
task is closely related to 257
task is complex because the 43
task is divided between the 42
task of adjusting himself to 92
task of marketing research is 49
task of mediation between the 135
task of medical science to 42
task of natural science is 93
task of natural science to 119
task of providing against the 47
task of providing answers to 56
task of providing support to 41
task of regaining control of 74
task of remaining faithful to 55
task of rendering justice to 44
task of rewriting history on 48
