tax and 74 ten for 49
than can 50 than had 43
than and 77 than had 122
than has 173 than had 215
than with 243 than and 83
than for 540 than did 61
than and 203 than are 44
than and 99 than are 46
than and 58 than his 188
than that 115 than men 67
than with 153 than who 54
than men 46 than men 70
than and 45 than and 43
than has 40 than are 58
than with 668 than and 52
than and 42 than and 49
than men 169 than and 96
than with 49 that are 81
that are 41 that are 192
that are 48 that are 62
that are 45 that are 44
that are 50 that with 54
that was 112 that are 97
that was 48 that with 747
that are 530 that can 245
that may 71 that are 341
that and 51 that are 121
that are 58 that are 94
that are 443 that can 65
that had 58 that may 54
that with 92 that with 40
that that 139 that with 61
that with 67 that are 125
that may 197 that with 121
that with 360 that with 52
that with 86 that with 241
that that 134 that who 109
that are 153 that them 44
that was 42 that art 46
that are 163 that are 111
that are 44 that for 42
that being 97 that can 70
that are 111 that was 41
that with 40 that and 145
that with 56 that with 166
that with 113 that with 4418
that with 1446 that and 107
that with 77 that for 45
that and 51 that and 68
that but 72 that for 68
that and 217 that but 80
that for 259 that for 66
that with 45 that with 77
that with 197 that for 73
that and 140 that with 127
that with 61 that for 49
that not 57 that with 178
that and 45 that old 62
that and 151 that but 84
that and 42 that and 61
that with 159 that with 106
that but 292 that with 1255
that with 75 that with 147
that and 42 that with 6340
that are 49 that for 144
that with 207 that for 41
that for 124 that with 98
that for 274 that for 100
that for 88 that and 161
that and 43 that and 40
that that 84 that with 102
that with 55 that and 52
that for 40 that but 94
that all 61 that are 50
that and 125 that had 102
that has 51 that they 186
that this 95 that was 53
that with 90 that and 46
that this 49 that and 97
that her 134 that him 40
that and 49 that him 57
that him 40 that this 46
that use 43 that all 40
that them 94 that for 55
that this 115 that was 90
that her 92 that her 106
that her 101 that her 197
that her 81 that her 86
that was 82 that are 46
that was 43 that was 67
that was 41 that with 184
that did 140 that had 43
that had 93 that with 81
that was 263 that dry 45
that had 40 that him 49
that saw 262 that had 48
that him 203 that him 253
that him 135 that was 58
that was 62 that was 145
that for 407 that was 114
that was 84 that was 89
that him 170 that him 76
that them 67 that with 76
that was 127 that him 43
that and 44 that and 50
that with 163 that with 109
that was 175 that had 77
that him 52 that him 61
that him 125 that that 229
that put 51 that was 90
that had 89 that was 128
that was 191 that for 175
that was 263 that was 769
that was 192 that was 275
that and 55 that was 40
that had 138 that was 179
that him 89 that for 47
that that 116 that that 216
that that 137 that was 66
that had 50 that are 50
that with 49 that his 49
that are 90 that was 45
that has 172 that can 50
that and 55 that are 42
that was 229 that are 166
that are 207 that was 47
that was 535 that and 42
that and 112 that for 62
that and 48 that for 84
that with 99 that for 115
that that 150 that had 49
that with 86 that with 1443
that are 53 that had 100
that and 40 that had 94
that has 41 that does 176
that with 81 that are 99
that are 97 that and 94
that his 45 that was 107
that was 96 that was 75
that are 87 that are 49
that are 81 that has 173
that was 95 that and 84
that are 324 that are 197
that are 112 that and 45
that are 150 that are 43
that are 1136 that are 50
that may 186 that and 88
that can 41 that does 390
that was 107 that has 69
that can 229 that our 42
that are 62 that for 389
that and 71 that and 44
that had 194 that was 125
that that 40 that any 42
that with 55 that with 52
that with 153 that with 89
that for 50 that and 56
that with 340 that with 63
that with 648 that with 114
that with 45 that with 41
that and 64 that with 551
that with 71 that and 70
that for 40 that and 49
that with 152 that with 71
that with 44 that and 48
that that 44 that for 169
that for 50 that with 57
that with 51 that with 212
that with 61 that men 165
that all 192 that was 44
that are 42 that with 45
that that 115 that has 82
that has 78 that did 49
that can 47 that may 41
that was 40 that was 46
that for 47 that was 200
that his 52 that may 93
that that 232 that that 40
that had 55 that was 88
that was 61 that and 53
that may 112 that has 61
that has 49 that all 117
that for 97 that and 49
that with 65 that with 1659
that with 933 that ago 80
that with 70 that that 79
that with 81 that with 174
that with 417 that than 105
that with 378 that for 264
that for 57 that for 46
that and 103 that and 51
that was 60 that for 46
them are 60 them with 46
them with 44 them them 75
them with 242 them with 246
them and 120 them with 42
them and 59 them with 43
them that 105 them with 42
them and 160 them him 48
them with 51 them with 49
them and 40 them for 215
them for 103 them and 44
them that 40 then and 105
then for 44 then her 45
then and 45 they with 89
they that 42 they and 41
they and 68 they and 42
they with 108 they with 900
they with 71 they for 54
they and 71 they with 57
they and 93 they with 3256
they with 64 they and 220
they with 3100 they and 54
they with 53 they one 69
they and 82 they and 64
they for 108 they that 53
they with 425 they that 56
they that 261 they with 84
they and 69 they for 76
they with 44 they and 48
they and 176 they for 758
they that 42 they and 47
they for 106 they with 151
they with 96 they that 70
they and 77 they with 83
they with 612 they with 44
they for 65 they one 49
they with 40 they with 43
they with 67 they with 69
they for 566 they with 109
they with 55 they and 57
they with 80 they with 47
they with 192 they with 418
they that 50 they with 76
they that 122 they with 255
they that 46 they and 79
they things 81 they with 43
they with 110 they with 43
they with 3813 they for 125
they and 81 they with 446
they with 40 they with 362
they that 149 they with 106
they with 45 they with 41
they and 116 they with 111
they and 69 they and 46
they for 117 they with 77
they with 72 they for 49
they with 70 they with 116
they and 45 they and 48
they and 59 they and 106
they with 64 they with 221
they with 112 they and 66
they for 97 they for 43
they for 115 they with 66
they with 43 they and 50
