the barn i often disturbed 57
the belt a shiny appearance 71
the book i would recommend 53
the case i would certainly 45
the dark a false appearance 68
the desk a faint fragrance 63
the jury i would recommend 53
the mind a faint conception 44
the mind a strong impression 60
the mind a vivid impression 57
the news i could recollect 40
the note i wrote yesterday 84
the other a noble expression 52
the other a steep precipice 102
the past a large proportion 101
the pigs i first addressed 73
the plan i would recommend 47
the plot a blank commission 50
the post a small cardboard 49
the rest a large proportion 56
the rest a small unsightly 178
the road a soapy appearance 88
the room a faint suggestion 58
the soil a large proportion 62
the soul a strong propulsion 80
the south a large proportion 61
the south i would sacrifice 48
the third a burning firebrand 83
the time a child completes 57
the time a child graduates 153
the time a sales agreement 43
the time i began fieldwork 126
the time i first commenced 46
the time i first conceived 63
the wealth a nation possesses 85
the wild a fresh association 110
to base a moral conclusion 47
to call a party convention 42
to call a state convention 1364
to come a large proportion 43
to cool a metal container 44
to draw a close connection 63
to draw a false conclusion 357
to draw a false inference 97
to draw a final conclusion 571
to draw a first conclusion 49
to draw a hasty conclusion 102
to draw a large proportion 67
to draw a legal conclusion 44
to draw a moral conclusion 106
to draw a quite different 43
to draw a right conclusion 41
to draw a sharp dichotomy 62
to draw a solid conclusion 49
to draw a sound conclusion 91
to draw a strong conclusion 134
to draw a valid conclusion 394
to draw a valid inference 53
to drop a silly expression 159
to edit a daily newspaper 125
to even a basic necessity 44
to even a small proportion 56
to face a strong opposition 207
to feed a dense population 55
to feed a growing industrial 71
to feed a growing population 1621
to feed a hungry multitude 69
to feed a hungry population 92
to feed a large population 296
to feed a large proportion 51
to feed a world population 175
to feel a moral obligation 266
to feel a still attraction 42
to feel a strong attraction 132
to feel a strong connection 61
to feel a strong conviction 52
to feel a strong obligation 48
to feel a strong prejudice 89
to feel a vague uneasiness 162
to file a brief statement 78
to file a civil complaint 96
to file a false affidavit 71
to file a legal complaint 102
to file a proxy statement 133
to file a sworn statement 339
to filing a civil complaint 87
to fill a large container 72
to fill a large proportion 82
to fill a large reservoir 101
to fill a speaking engagement 110
to find a broad consensus 59
to find a chief executive 197
to find a close association 76
to find a close connection 156
to find a dozen different 40
to find a first amendment 81
to find a first principle 127
to find a fitting expression 58
to find a fully developed 223
to find a guiding principle 120
to find a house somewhere 59
to find a large collection 68
to find a large population 62
to find a large proportion 323
to find a lasting political 40
to find a legal definition 48
to find a limit impervious 44
to find a local habitation 136
to find a moral principle 71
to find a niche somewhere 50
to find a place elsewhere 138
to find a place somewhere 398
to find a quite different 125
to find a rather different 63
to find a really competent 40
to find a really effective 85
to find a really important 51
to find a really practical 42
to find a small apartment 189
to find a smooth transition 53
to find a social scientist 51
to find a solid foundation 276
to find a strong association 97
to find a strong candidate 61
to find a strong connection 45
to find a truly effective 40
to find a viable political 71
to find a willing publisher 66
to find a working definition 158
to find a working hypothesis 62
to find a working telephone 51
to find a worthy successor 418
to fire a blank cartridge 104
to form a binding agreement 65
to form a broad political 57
to form a close association 157
to form a close community 40
to form a close connection 125
to form a close political 47
to form a false conception 123
to form a false impression 75
to form a final conclusion 47
to form a first impression 191
to form a fully developed 144
to form a fully functional 132
to form a given conception 48
to form a group dedicated 52
to form a hasty conclusion 49
to form a human barricade 86
to form a joint commission 341
to form a joint committee 1228
to form a joint delegation 52
to form a joint household 56
to form a joint political 51
to form a large abdominal 99
to form a large aggregate 49
to form a large collection 166
to form a large composite 46
to form a large irregular 79
to form a large population 40
to form a large proportion 488
to form a large reservoir 154
to form a large structure 59
to form a lasting impression 59
to form a later generation 42
to form a league offensive 40
to form a learning community 105
to form a linear structure 48
to form a local association 100
to form a local committee 153
to form a loose association 108
to form a loose federation 133
to form a loyal opposition 69
to form a major component 146
to form a manly character 104
to form a mixed commission 67
to form a moral community 64
to form a naval commander 47
to form a nearly spherical 49
to form a noble character 41
to form a quite different 64
to form a really effective 54
to form a right character 49
to form a right conception 251
to form a right conclusion 79
to form a rigid connection 64
to form a rigid framework 331
to form a rigid structure 494
to form a rival federation 65
to form a rival political 47
to form a royal commission 49
to form a search committee 55
to form a small bridgehead 47
to form a small collection 89
to form a small committee 250
to form a small community 168
to form a small courtyard 41
to form a small enclosure 112
to form a small orchestra 63
to form a small proportion 49
to form a small reservoir 88
to form a small spherical 43
to form a smooth transition 116
to form a social structure 55
to form a solid connection 71
to form a solid foundation 576
to form a solid opposition 46
to form a solid structure 211
to form a solid substance 157
to form a sound conception 55
to form a sound conclusion 104
to form a sound foundation 79
to form a state association 63
to form a strong association 68
to form a strong character 46
to form a strong community 58
to form a strong connection 87
to form a strong defensive 127
to form a strong enclosure 40
to form a strong federation 54
to form a strong fortified 112
to form a strong foundation 93
to form a strong framework 75
to form a strong impression 60
to form a strong opposition 156
to form a strong political 148
to form a strong pyramidal 60
to form a strong structure 52
to form a study committee 69
to form a tight enclosure 51
to form a total impression 83
to form a toxic substance 49
to form a trade association 276
to form a truer conception 78
to form a valid appraisal 247
to form a valid conclusion 65
to form a viable community 76
to form a viable opposition 61
to form a viable political 73
to form a vivid conception 139
to form a water insoluble 41
to form a white insoluble 47
to form a working agreement 42
to form a working committee 230
to form a working community 42
to form a working definition 52
to form a working hypothesis 434
to form a world community 41
to form a world federation 57
to free a whole community 44
to fund a stock redemption 101
to gain a basic knowledge 201
to gain a broad knowledge 79
to gain a false impression 110
to gain a first impression 196
to gain a lasting advantage 43
to gain a major advantage 52
to gain a moral advantage 42
to gain a party advantage 141
to gain a power advantage 108
to gain a price advantage 174
to gain a quick impression 74
to gain a right conception 51
to gain a small advantage 81
to gain a solid foundation 107
to gain a solid political 59
to gain a solid reputation 41
to gain a sound knowledge 126
to gain a trade advantage 118
to gain a trading advantage 75
to gain a vivid conception 50
to gain a vivid impression 112
to gain a wider knowledge 151
to gain a wider readership 42
to gain a working knowledge 1124
to give a basic knowledge 43
to give a brief definition 354
to give a brief discussion 453
to give a brief evaluation 49
to give a brief exposition 413
to give a brief impression 69
to give a brief indication 527
to give a brief narrative 488
to give a brief reference 68
to give a brief statement 1209
to give a brief testimony 71
to give a broad definition 122
to give a broad foundation 66
to give a broad impression 101
to give a broad indication 352
to give a comic recitation 65
to give a droll expression 41
to give a faint impression 51
to give a faint indication 48
to give a faint permanent 41
to give a faint undulation 50
to give a false appearance 394
to give a false character 71
to give a false confession 72
to give a false impression 4301
to give a false indication 133
to give a false statement 118
to give a false testimony 66
to give a final definition 117
to give a final discharge 61
to give a final evaluation 102
to give a final expression 46
to give a final statement 76
to give a first definition 44
to give a first impression 376
to give a first indication 154
to give a fixed definition 40
to give a fixed proportion 51
to give a frank expression 44
to give a frank statement 48
to give a fresh appearance 49
to give a fresh impression 44
to give a fully developed 96
to give a guinea sometimes 60
to give a happy existence 77
to give a large deflection 67
to give a large proportion 173
to give a large resultant 107
to give a legal appearance 67
to give a legal character 138
to give a legal definition 244
to give a legal discharge 78
to give a legal existence 42
to give a legal foundation 43
to give a legal framework 63
to give a lengthy discussion 42
to give a local habitation 435
to give a longer inventory 89
to give a lucid exposition 75
to give a milky appearance 49
to give a milky suspension 53
to give a moral certainty 52
to give a neater appearance 116
to give a plain exposition 51
to give a plain narrative 95
to give a plain statement 265
to give a pleasing appearance 295
to give a pleasing impression 42
to give a press interview 75
to give a quick impression 91
to give a quick indication 67
to give a quite different 234
to give a rapid indication 60
to give a rather different 138
to give a right impression 74
to give a rigid definition 86
to give a rigid structure 53
to give a rough appearance 43
to give a rough definition 78
to give a rough estimation 100
to give a rough impression 157
to give a rough indication 939
to give a sharp definition 111
to give a shiny appearance 52
to give a short connected 40
to give a short definition 180
to give a short discourse 72
to give a short discussion 51
to give a short exposition 64
to give a short narrative 91
to give a short statement 384
to give a short testimony 41
to give a smart appearance 48
to give a smooth appearance 135
to give a smooth transition 127
to give a solid appearance 80
to give a solid foundation 491
to give a solid substance 64
to give a sound foundation 84
to give a sound theoretical 58
to give a strong foundation 59
to give a strong impression 305
to give a strong indication 169
to give a strong political 43
to give a strong sentiment 95
to give a sworn statement 189
to give a total impression 114
to give a total population 78
to give a total resultant 54
to give a truer indication 52
to give a vague impression 50
to give a valid discharge 543
to give a valid indication 51
to give a vivid impression 506
to give a white appearance 46
to give a wider publicity 65
to give a working definition 199
to give a working knowledge 168
to half a dozen computers 91
to half a dozen countries 107
to half a dozen different 1069
to half a dozen exhausted 52
to half a dozen reporters 71
to have a basic awareness 70
to have a basic framework 52
to have a basic knowledge 2133
to have a basic structure 75
to have a beaded appearance 49
to have a bible dictionary 791
to have a binding agreement 57
to have a binding obligation 77
to have a biopsy performed 44
to have a black president 46
to have a brief discussion 429
to have a brief existence 49
to have a brief interview 164
to have a brief statement 85
to have a broad definition 93
to have a broad discussion 40
to have a broad foundation 41
to have a broad influence 72
to have a broad knowledge 578
to have a broad substrate 56
to have a calming influence 527
to have a change sometimes 65
to have a check certified 46
to have a chief executive 338
to have a child evaluated 44
to have a child immunized 52
to have a civil discussion 42
to have a class certified 106
to have a class character 67
