tail coat and top hat 323
tail over his head and 49
tail over its head and 52
tail were cut off and 41
take along with him all 89
take along with him for 71
take along with him his 106
take along with them all 55
take along with them that 181
take away all his own 76
take away all his things 56
take away all that may 50
take away all that now 113
take away all that they 65
take away all that was 179
take away all that you 66
take away all they had 41
take away and cut off 52
take away his gun and 52
take away our sin and 133
take away sin and death 49
take away this and that 122
take away with him all 87
take away with him and 91
take away with him any 91
take away with him for 54
take away with him his 111
take away with them all 175
take away with them and 195
take away with them any 62
take away with them for 81
take away with you and 69
take away with you this 64
take back all that they 55
take back all that was 47
take back all that you 53
take back his old job 122
take back two things that 41
take back with him and 50
take back with him for 53
take back with him his 51
take back with them all 43
take back with them and 53
take back with them for 63
take bread and meat and 50
take care and not get 281
take care and not let 80
take care and not put 54
take care and see him 71
take care and see that 616
take care for his own 447
take care how far they 46
take care how they wear 58
take care how you cut 77
take care how you get 86
take care how you use 145
take care she did not 146
take care she does not 575
take care she has her 62
take care that all his 99
take care that all men 44
take care that all non 104
take care that all our 88
take care that all things 134
take care that all this 57
take care that all who 61
take care that each man 127
take care that each one 129
take care that her head 66
take care that his men 62
take care that his own 345
take care that his son 116
take care that its own 42
take care that not one 271
take care that one does 60
take care that our own 173
take care that she did 195
take care that she does 774
take care that she had 47
take care that she has 140
take care that she may 72
take care that she was 136
take care that they and 110
take care that they are 7117
take care that they bee 43
take care that they can 53
take care that they did 754
take care that they get 159
take care that they had 56
take care that they may 868
take care that they not 88
take care that things are 40
take care that this does 377
take care that you and 261
take care that you are 3881
take care that you did 41
take care that you get 163
take care that you hear 62
take care that you may 210
take care that you say 43
take care that you see 49
take care that you use 47
take care they are not 604
take care they did not 157
take care thou art not 53
take care you are not 1235
take down all that was 116
take down his gun and 42
take down his hat and 58
take eric out and put 82
take even one day off 100
take from any being its 89
take from any man any 968
take from any man his 157
take from any one his 109
take from her all her 120
take from her all that 101
take from him all his 592
take from him all that 673
take from him and his 49
take from him his own 43
take from him that hath 120
take from him who has 114
take from man his own 45
take from one and one 61
take from thee all that 40
take from them all that 620
take from them all they 197
take from them and put 60
take from you all that 297
take from you then that 49
take good men for bad 62
take heed how they hear 395
take heed how you hear 204
take heed how you let 68
take heed how you set 47
take heed that they are 77
take heed that they did 45
take heed that you are 353
take heed you are not 48
take hold but with his 59
take home and try out 83
take home and use for 72
take home with her and 83
take home with him and 122
take home with him for 90
take home with him that 85
take home with them and 354
take home with them any 42
take home with them for 98
take home with you and 138
take home with you for 58
take home with you this 51
take into his head that 46
take into his own bed 78
take jobs that are not 68
take laws and see how 44
take less than his due 90
take less than one day 84
take less than one year 105
take mark and bring him 75
take mine and his own 61
take mine and see for 48
take more than his due 109
take more than his own 53
take more than one and 85
take more than one bath 57
take more than one can 81
take more than one cup 78
take more than one cut 44
take more than one day 2458
take more than one egg 79
take more than one job 72
take more than one man 307
take more than one meal 161
take more than one path 84
take more than one set 58
take more than one try 357
take more than one year 2311
take more than she was 46
take more than six per 185
take more than that for 135
take more than they are 209
take more than they can 237
take more than they had 55
take more than two and 118
take more than two men 65
take more than you and 81
take more than you are 50
take more than you can 447
take much too long and 74
take much too long for 61
take note that they are 182
take note that this was 45
take note that you are 71
take nothing that does not 73
take nothing that was not 57
take nothing that you can 66
take nothing with him but 103
take nothing with them but 232
take nothing with them for 44
take nothing with you but 64
take nothing with you that 45
take once for all not 45
take over and deal with 97
take over and lead you 41
take over and pay for 376
take over and run all 54
take over and run his 67
take over and run our 46
take over and run them 54
take over and run things 238
take over and run this 53
take over and see that 84
take over and use for 75
take over and you are 44
take over and you can 77
take over any and all 45
take over for her and 61
take over for him and 80
take over for his own 53
take over for its own 77
take over for them and 42
take over for you and 72
take over his job and 90
take over his new job 71
take over his old job 76
take part now and then 45
take part with him and 53
take part with his own 62
take part with its own 45
take part with men and 55
take part with them and 49
take risk for thee and 43
take root and bear its 51
take side with any one 53
take some but not all 93
take some men with him 42
take some men with you 91
take some one with him 54
take some one with you 136
take some things with you 42
take their dead with them 115
take their dog with them 42
take their lot with them 56
take their oath that they 83
take their own way and 168
take their own way with 45
take their son with him 49
take their son with them 42
take their things with them 69
take these and put them 87
take these things with them 124
take these things with you 147
take these two things and 41
take these two with you 50
take these with you and 57
take those things off and 44
take those things that are 50
take those things with you 53
take those two men and 93
take those who are not 57
take three men with him 50
take three men with you 54
take time and are not 206
take time and can not 453
take time and may not 194
take time each day for 221
take time for all things 126
take time for fun and 40
take time for this new 46
take time for you and 134
take time now and then 74
take time off and get 59
take time off for any 58
take time off for her 50
take time off for his 68
take time off for this 88
take time off now and 93
take time off with pay 164
take time out and get 123
take time out each day 96
take time out for fun 70
take time out for his 61
take time out for one 47
take time out for that 67
take time out for this 173
take time out now and 175
take upon him and his 55
take upon his own head 49
take upon them that they 62
take very long for all 41
take very long for her 84
take very long for him 178
take very long for them 197
take very long for this 80
take very long for you 66
take were all cut off 61
take what god does not 40
take what one can get 297
take what one did not 62
take what she can get 340
take what she did not 64
take what she had now 51
take what she has put 43
take what they are doing 76
take what they can and 489
take what they can get 8379
take what they can not 97
take what they can use 230
take what they did not 76
take what they get and 76
take what they had and 63
take what they say and 70
take what they say too 64
take what they say with 127
take what they see and 44
take what was his and 50
take what was his own 42
