tact beyond his years in 89
tail sticking out from the 42
take actions that have the 65
take actions that make the 64
take actions that will be 54
take advice than give it 63
take almost any form of 51
take almost any kind of 463
take almost any means to 58
take almost any risk to 138
take almost any sort of 60
take almost any type of 144
take almost ten years to 72
take almost two years of 48
take almost two years to 143
take another few years to 59
take another long look at 182
take another one from the 48
take another sip from the 57
take another six years to 41
take another ten years of 50
take another ten years to 253
take another two days to 93
take another two years of 68
take another two years to 288
take around two years to 46
take before and during the 98
take charge and care of 248
take charge and make it 69
take charge and make the 177
take charge and when to 53
take charge not only of 482
take credit for bringing the 64
take credit for coming up 81
take credit for full as 66
take credit for having the 48
take credit for making it 43
take credit for making the 157
take credit for making us 49
take credit for many of 92
take credit for most of 105
take credit for much of 159
take credit for saving the 136
take credit for some of 250
take credit for what he 197
take credit for what is 158
take credit for what the 54
take credit for what we 136
take dalton and hold it 42
take effect and have the 254
take effect not only in 53
take effort and time to 40
take flight and leave the 47
take ground that must be 139
take hardly any part in 41
take hardly any time at 78
take itself off from the 71
take master and miss to 44
take nature and truth as 127
take notice and want to 94
take notice how much the 65
take notice not only of 240
take notice that from the 52
take notice that there is 379
take notice that upon the 218
take refuge for ever in 53
take revenge for what he 61
take revenge for what the 42
take revenge not only on 74
take something and make it 79
take thought for what is 1191
take toward him when he 73
take twenty per cent of 57
taking advice with some of 63
taking almost any kind of 40
taking almost two years to 42
taking another big bite of 55
taking another long drag on 46
taking another long look at 129
taking another long pull at 63
taking another sip from the 66
taking charge not only of 66
taking charts and maps of 89
taking credit for some of 40
taking credit for what he 62
taking credit for what is 55
taking credit for what we 57
taking hardly any part in 68
taking office had been to 59
taking thought had made the 97
talk before they learn to 96
talk clever and mock at 44
talk lasted long into the 41
talk unless you have to 136
talk unless you want to 232
talk without being able to 254
talk without being heard by 65
tame rabbit and kill it 64
tape measure was used to 51
task before him when he 169
task forces are made up 95
task without being able to 97
taxi driver who said he 54
taxi driver who told me 51
taxi driver who took me 333
taxi driver who took us 102
taxi pulled out into the 69
teach school any more on 40
teach skills that will be 52
teams played each other in 79
tears before they came to 63
tears behind her eyes as 47
tears burned her eyes as 100
tears dimmed his eyes as 99
tears filled her eyes as 2067
tears filled her eyes at 154
tears filled his eyes as 1019
tears filled his eyes at 61
tears shamed him from the 44
tears should not move me 67
tears without being able to 77
teats sticking out like the 95
teeth before she went to 44
teeth larger than those of 69
tell anyone how much he 53
tell anyone you have it 64
tell anyone you told me 71
tell anyone you want to 50
tell myself that even if 124
tell myself that none of 58
tell myself that there is 169
tell myself this will be 43
tell someone that there is 41
tell something was wrong as 112
tell something was wrong by 109
tell something was wrong the 52
tell whence they came or 78
tell whence they come or 143
tell whether god will be 715
tell whether our pipe is 58
tell whether she meant to 50
tell whether they have the 68
tell whether they love at 56
tell whether they think the 42
tell whether they were in 464
tell whether they were of 73
tell whether they were on 76
tell whether they were the 205
tell whether they will be 262
tell whether this kind of 70
tell whether this type of 61
tell whether this were in 72
tell whether this will be 190
tell whether you have an 76
tell whether you have it 50
tell whether you have the 104
tell whether you need to 79
tell whether you think it 66
tell whether you think the 144
tell whether you want to 63
tell whether you were in 104
tell whether you were on 50
tell whether you will be 83
tell whether you will do 57
tell without being able to 54
term assets that have no 142
term coined and used by 47
term covering any type of 53
term covers not only the 82
term effect has been to 247
term effect may well be 135
term issues that need to 90
term itself goes back to 54
term itself has come to 99
term itself was used in 42
term memory and will be 90
term memory can also be 138
term memory may also be 190
term refers not just to 65
term refers not only to 644
term stands for such an 146
term trends and many of 57
term without being able to 130
test allows this sort of 73
test before you take it 191
test flight was made on 56
test methods are used in 74
test methods are used to 411
test methods that will be 61
test pieces cut from the 365
test result who have the 59
test reveals that there is 111
test scores and length of 162
test scores and rank in 106
test scores and those of 178
test scores and years of 189
test scores are among the 168
test scores are used as 427
test scores are used in 331
test scores are used to 1092
test scores but also on 71
test scores can also be 179
test scores can only be 82
test scores may also be 60
test scores than some of 51
test scores than those in 134
test scores than those of 133
test scores with those of 254
test section was made of 73
test showed that most of 43
test showed that none of 40
test showed that only the 46
test showed that there is 96
test showed that when the 43
test system was used to 121
test takers are able to 90
test takers may have to 65
test whether they have the 100
text before you type it 61
text design was done by 42
text editor and edit the 63
text editor and find the 98
text editor and make the 63
text editor and open the 156
text editor and save it 419
text editor and save the 150
text editor and type in 168
text editor and type the 438
text editor you want to 77
text fields are used to 89
text itself and from the 100
text object you want to 135
text refers not only to 66
text stands out from the 66
text states that there is 45
text without being able to 93
their ablest men from the 96
their accent and tone of 100
their access not only to 44
their actions and from the 46
their actions and have to 49
their actions and must be 67
their actions and some of 45
their actions and those of 861
their actions and ways of 91
their actions and will be 65
their actions are good or 52
their actions are just as 47
their actions are leading to 50
their actions are made the 82
their actions are open to 161
their actions are part of 165
their actions are said to 63
their actions are seen as 404
their actions are seen in 41
their actions are seen to 64
their actions are sins or 195
their actions are such as 94
their actions are those of 245
their actions but also by 73
their actions but also in 98
their actions but also the 55
their actions but also to 52
their actions can also be 47
their actions can have an 81
their actions can have on 71
their actions can only be 163
their actions fit into the 56
their actions had been as 50
their actions had nothing to 54
their actions may have on 199
their actions may seem to 57
their actions may well be 43
their actions not only on 59
their actions not only to 81
their actions than such as 63
their actions that seem to 90
their actions with those of 656
their active aid from the 60
their adopting that mode of 44
their advice and help in 525
their advice and help on 97
their advice and help to 47
their advice and went to 103
their advice and will in 49
their advice with care of 77
their agents all over the 271
their agents did have an 61
their agents had done the 43
their allies and those of 46
their allies are able to 42
their allies are said to 59
their already long list of 180
their altars and dash in 87
their appeals for help to 49
their armies and those of 49
their armies being able to 58
their armies with those of 67
their arrest was sent to 67
their arrows all over the 56
their arrows are made of 71
their assets and those of 61
their assets are held in 69
their assets are tied up 71
their assets with those of 70
their attack all along the 43
their authors are trying to 60
their babies are born in 47
their babies are ready to 45
their barter and sale is 66
their behalf had been at 41
their behalf was made by 41
their belief and faith in 151
their belief has been at 48
their belief not only in 90
their belief that life is 140
their belief that many of 78
their belief that most of 85
their belief that much of 58
their belief that none of 51
their belief that nothing is 48
their belief that once the 55
their belief that only by 54
their belief that only the 205
their belief that some of 66
their belief that such an 129
their belief that there is 1098
their belief that what is 83
their belief that what the 48
their belief that when the 61
their belief was true or 94
their bodies all made of 51
their bodies all over the 57
their bodies and from the 109
their bodies and heads in 56
their bodies and heads to 40
their bodies and into the 129
their bodies and learn to 60
their bodies and left the 219
their bodies and over the 46
their bodies and tend to 40
their bodies and those of 513
their bodies and used up 45
their bodies and want to 59
their bodies and went to 54
their bodies and what is 49
their bodies are able to 183
their bodies are also so 41
their bodies are eaten by 46
their bodies are full of 153
their bodies are just as 102
their bodies are laid in 63
their bodies are left to 103
their bodies are made of 267
their bodies are made to 42
their bodies are made up 323
their bodies are more or 62
their bodies are ready to 58
their bodies are said to 106
their bodies are seen as 47
their bodies are those of 58
their bodies are torn in 44
their bodies are trying to 69
their bodies are used as 47
their bodies are used to 84
their bodies being left in 49
their bodies but also in 67
their bodies but also to 92
their bodies but bags to 68
their bodies for want of 64
their bodies get used to 51
their bodies had been so 49
their bodies lay upon the 40
their bodies out into the 41
their bodies than those of 145
their bodies they fled to 71
their bodies they will be 41
their bodies with some of 44
their bodies with those of 97
their bosoms and arms in 46
their bosoms that love of 197
their bosoms you walk in 81
their boughs and left me 56
their bounds and grow to 99
their bowels than those of 82
their brains all over the 75
their brains and those of 46
their brains are able to 54
their brains are full of 71
their brains are made of 72
their brains for ways to 127
their brains out trying to 160
their brains with those of 41
their brandy and soda in 91
their brother had been at 40
their burden and bore it 64
their buried men back in 157
their butter and eggs to 94
their cables and make the 58
their camels are said to 100
their cannon was next to 53
their cargoes and take on 40
their cattle and hogs in 42
their cattle and hogs to 109
their cattle and much of 41
their cattle out into the 129
their causes and means of 137
their causes and mode of 47
their causes are good or 49
their causes are such as 75
their chairs and into the 45
their chairs and left the 100
their chairs and some in 83
their chairs and went to 77
their chairs out into the 55
their chance and lost it 41
their chance and took it 162
their chance had come to 104
their charge was lost as 49
their cheeks red from the 62
their cheers with those of 76
their chests and tied at 46
their chiefs and heads of 41
their chiefs has said in 103
their chiefs was mild in 71
their chiefs who slew the 41
their choice not only by 40
their choice not only of 178
their choice they will be 43
their choice things over the 65
their church and their king 99
their claims and those of 290
their claims not only to 50
their claims that there is 46
their claims with those of 154
their clearings and fled to 47
their closet and shut the 48
their clothes all over the 74
their clothes and bathe in 89
their clothes and hair in 59
their clothes and hair on 40
their clothes and into the 59
their clothes and left the 106
their clothes and said to 54
their clothes and shoes in 78
their clothes and shoes on 66
their clothes and some of 44
their clothes and those of 69
their clothes and went to 134
their clothes are held in 45
their clothes are made of 181
their coffee and left the 51
their colors are lost in 60
their common law duty of 50
their common law duty to 131
their copies for want of 57
their course and come to 117
their course and kept the 52
their course and pass the 222
their course and went to 45
their course can only be 48
their course lay along the 111
their course than those of 66
their course was along the 50
their covers and made an 146
their creator may have the 75
their credit that during the 49
their credit that many of 57
their credit that most of 55
their crossing each other at 54
their custom has been to 46
their dances and leave the 60
their degree and kind of 73
their degree and mode of 41
their degree and type of 181
their demand for food is 44
their demand for work of 61
their design and mode of 44
their design had been to 134
their design has been to 42
their design was only to 209
their desire and hope of 84
their desire and need to 202
their desire and will to 56
their desire for food or 42
their desire for more of 47
their desire for peace as 106
their desire for peace at 89
their desire for peace by 150
their desire for peace in 141
their desire for peace is 73
their desire for peace to 71
their desire for what is 52
their desire had been to 56
their desire not only to 188
their diction and turn of 60
their dinner and went to 53
their dinner they went to 59
their doubts and fears as 44
their doubts and fears by 41
their doubts and fears in 78
their doubts and fears on 48
their doubts and fears to 57
their drinks and left the 111
their drinks and went to 46
