tail and scratching his head 81
tail had vanished and all 48
take any attitude but one 53
take any property with them 48
take both personal and real 215
take her children with her 1008
take her daughter with her 299
take her property with her 67
take her upstairs and put 70
take him prisoner and bring 94
take him prisoner and put 96
take him upstairs and put 42
take his audience with him 88
take his breakfast with him 41
take his chattels with him 52
take his children with him 264
take his daughter and her 79
take his daughter off his 88
take his daughter out for 50
take his daughter with him 538
take his exercise that day 42
take his mistress with him 69
take his nonsense all for 52
take his overcoat with him 51
take his prisoner with him 159
take his property with him 505
take his trousers off and 62
take his umbrella and try 61
take his umbrella with him 46
take our greatness with our 245
take out licenses and pay 59
take that foresail off her 52
take that ordinary but not 157
take them seriously and act 50
take them seriously and not 57
take them seriously and try 79
take them wherever you can 57
take this approach for two 50
take this argument too far 268
take too seriously all that 261
take you upstairs and put 55
take you wherever you are 80
take you wherever you may 44
take you wherever you say 56
taking all creatures for his 73
taking any distress for any 48
taking her children with her 1019
taking her daughter with her 464
taking his audience with him 61
taking his children with him 192
taking his companion with him 41
taking his daughter with him 374
taking his mistress with him 44
taking his prisoner with him 79
taking his property with him 243
taking his soldiers with him 71
taking his students with him 42
taking his umbrella with him 46
taking this approach was that 40
talk and interact with each 140
talk and interact with one 125
talk and laughter and singing 43
talk with students who are 166
tall and graceful and had 65
tall and handsome and had 141
tall and handsome and has 78
tall and handsome man and 53
tall and handsome man who 112
tall and handsome man with 221
tall and handsome with his 73
tall and muscular and had 52
tall and muscular for his 46
tall and powerful man with 66
tall and straight and had 70
tall and straight and his 95
tall and straight and with 62
tall and straight with his 52
task that occupied him for 109
task was compared with that 66
task was finished and she 79
task was reserved for his 52
teach and instruct for use 62
teach and students can not 72
teach her children and sew 61
teach her children how they 40
teach his children and his 44
teach his children that they 46
teach his neighbor and each 331
teach our children and our 172
teach our children that god 106
teach our children that they 372
teach our children that this 53
tears and anointed them with 67
tears and declared that she 40
tears and laughter for all 78
tears are lovelier than her 69
teeth and replaced them with 55
teeth are deformed and may 40
tell big business men how 50
tell her children and her 41
tell her children how she 44
tell her children that she 159
tell her children that they 57
tell her daughter she was 59
tell her daughter that her 82
tell her daughter that she 479
tell her employer that she 69
tell her mistress that her 68
tell her mistress that she 72
tell her straight out that 381
tell her troubles and ask 62
tell him outright that she 53
tell him straight out how 48
tell him straight out that 722
tell him yourself that you 60
tell his audience that they 93
tell his children and his 91
tell his children that his 41
tell his children that they 66
tell his daughter that her 98
tell his daughter that she 99
tell his employer that his 45
tell his lordship did not 66
tell his mistress that she 73
tell his students that they 87
tell our children and our 89
tell our children that they 250
tell our children they are 66
tell our patients that they 56
tell our students that they 99
tell them likewise that this 48
tell them straight out that 219
tell you abruptly that she 48
tell you candidly that you 56
tell you directly that they 47
tell you directly that you 50
tell you honestly that this 52
tell you honestly that you 58
tell you straight and she 80
tell you straight off that 215
tell you straight out how 44
tell you straight out that 1172
tell you whatever you ask 48
tens and hundreds are not 80
