tablespoons butter 52 telegraphed cities 58
telegraphed return 64 temperature oxygen 45
temperature excess 46 temperature freezing 636
temperature itself 156 temperature marked 45
temperature result 43 temperature exceed 421
temperature common 58 temperature better 46
temperature raised 51 temperature exceed 48
temperature energy 43 temperature reaction 40
temperature freezing 118 temperature higher 166
temperature liquid 142 territories placed 1041
territories states 100 territories tribes 43
testimonies fathers 45 tragicomedy called 127
transactions feudal 82 transferred another 169
transferred empire 539 transferred vested 107
transferred another 48 transferred patent 78
transferred virtue 67 transferred powers 52
transferred cloves 68 transferred another 58
transferred another 67 transferred england 104
transferred powers 59 transformed painting 111
transformed europe 140 transgressing nature 464
transmission agreed 45 transmission direct 43
transmission called 77 transmission africa 170
transmission through 91 transmission pagers 41
transmitted england 73 transmitted another 46
transmitted states 47 transmitted august 46
transmitted former 76 transmitted direct 186
transmitted insect 83 transmitted various 56
transmitted former 63 transported burton 71
transported almost 65 transported myself 59
tributaries hudson 57 trivialities assume 97
