tan and young and lovely 137
tar and salt was something 121
tax and file his return 41
tax due from any person 85
tax due from each person 51
tear and jump and cavort 86
tear and rend one another 195
tear her from her asylum 51
tear her hair and invoke 44
tear him from her circling 79
tear him from his family 41
tear you from that repose 220
ten and less than twenty 166
ten and only ten unique 60
ten and three and twenty 97
ten but less than twenty 126
ten long days and nights 113
ten nor more than ninety 321
ten nor more than twelve 95
ten nor more than twenty 1838
ten per cent and twenty 74
ten per cent was levied 152
than all else has placed 60
than all gold and silver 50
than all other age groups 348
than all poems and bibles 42
than all their own riches 95
than all those that follow 53
than any gold his shovel 128
than any other age cohort 143
than any other age groups 142
than any other and should 48
than any other area except 81
than any other art except 48
than any other being except 42
than any other far eastern 93
than any other gas except 54
than any other had helped 77
than any other has become 48
than any other has caused 40
than any other has helped 132
than any other has needed 50
than any other has served 66
than any other has shaped 65
than any other has taught 124
than any other law passed 46
than any other law school 80
than any other long letter 42
than any other man aboard 45
than any other man amongst 62
than any other man around 113
than any other man before 428
than any other man engaged 46
than any other man except 586
than any other man helped 51
than any other man should 47
than any other man toward 127
than any other man without 65
than any other near eastern 107
than any other new england 489
than any other new jersey 44
than any other new yorker 76
than any other now existing 145
than any other now extant 79
than any other now spoken 45
than any other one agency 439
than any other one disease 79
than any other one factor 1757
than any other one feature 202
than any other one measure 76
than any other one member 48
than any other one person 2512
than any other one remedy 68
than any other one source 100
than any other one writer 140
than any other poet before 71
than any other poet except 118
than any other real estate 111
than any other team member 145
than any other that caused 124
than any other that exists 70
than any other that occurs 51
than any other then existing 57
than any other two cities 67
than any other two groups 77
than any other two nations 243
than any other two peoples 41
than any other two powers 42
than any other two siblings 128
than any other two states 105
than any other with regard 90
than any tree now existing 65
than are other age groups 180
than are those for whites 46
than are those who attend 63
than are those who remain 237
than are those who report 56
than are those who suffer 58
than are those with higher 134
than are those with larger 47
than are those with little 49
than are those with normal 108
than both male and female 136
than can know one another 50
than did other age groups 59
than did those who failed 70
than did those who scored 144
than did those who served 46
than did those who showed 43
than did those who sought 42
than did those who stayed 194
than did those who thought 130
than did those who viewed 114
than did those who worked 165
than did those with higher 278
than did those with little 44
than did those with normal 109
than for gold and silver 129
than for having any signal 45
than for other age groups 1294
than for their own merits 48
than for their own safety 75
than for those who already 65
than for those who became 41
than for those who commit 50
than for those who merely 45
than for those who reject 67
than for those who remain 154
than for those who stayed 43
than for those who suffer 50
than for those who worked 102
than for those with greater 48
than for those with higher 482
than for those with normal 136
than for what his writings 59
than for what may happen 57
than for your own person 89
than had been her custom 103
than had been her former 58
than had been his custom 1022
than had been his earlier 93
than had been his former 79
than had been its custom 41
than had ever yet arisen 47
than had ever yet fallen 150
than had ever yet glowed 44
than has been his custom 73
than has been our custom 120
than has been yet hinted 79
than has ever yet dawned 54
than has ever yet fallen 81
than her lord and master 173
than his eyes are opened 132
than his good and amiable 62
than his kind had struck 134
than his mind was changed 89
than his name and shadow 115
than his size and strength 74
than his step and manner 82
than his wife and family 102
than its size and weight 41
than man ever was before 306
than men break off without 45
than men give them credit 56
than new york and boston 169
than new york and london 76
than not come out pretty 66
than not shew his malice 63
than not show his malice 76
than now upon that narrow 52
than one acre per person 84
than one case per million 80
than one cell are called 46
than one cent per bushel 44
than one cent per gallon 91
than one clear day before 74
than one drop per second 53
than one duel was fought 45
than one ever was before 246
than one foot per minute 105
than one foot per second 326
than one foot six inches 91
than one half its former 66
than one half that amount 122
than one half that number 116
than one hand was raised 91
than one hour and twenty 40
than one inch per minute 76
than one mile per second 155
than one mule can manage 57
than one page and should 77
than one part per billion 431
than one part per million 3962
than one room per person 334
than one third that number 69
than one user can access 157
than one user has access 61
than one whom they thought 41
than one wife and family 47
than one word are called 47
than our alms can bestow 42
than our dogs and horses 66
than our lord and master 42
than she ever did before 1378
than she ever had before 8575
than she ever has before 497
than she ever was before 2541
than she felt she should 42
than she gave her brother 41
than she gave him credit 279
than she knew she should 131
than sit here and listen 54
than six feet six inches 576
than six feet two inches 184
than six years and ninety 103
than six years had passed 297
than ten beats per minute 203
than ten days had passed 136
than ten feet per second 43
than ten feet six inches 91
than ten years had passed 902
than ten years old should 64
