table of logarithms lying open 45
table to determine how many 129
table to determine how much 155
table to emphasize each word 55
taken an extremely long time 69
taken an unusually long time 179
taken as confessed and made 77
taken as identical with those 52
taken as identical with what 40
taken by middleton and paul 72
taken by rothschild and baring 85
taken by themselves and their 46
taken in association with other 58
taken in compliance with such 44
taken in connection with many 80
taken in connection with other 3032
taken in connection with prior 43
taken in connection with some 472
taken in connection with such 561
taken in connection with their 1138
taken in connection with these 343
taken in connection with those 1099
taken in connection with what 3419
taken in connection with your 136
taken in themselves are nothing 57
taken the afternoon off from 178
taken the afternoon off work 149
taken the initiative and been 41
taken the initiative and come 51
taken the initiative and done 51
taken the initiative and gone 51
taken the initiative and have 154
taken the initiative and made 136
taken the initiative and sent 43
taken the initiative and were 40
taken the offensive and were 60
taken the sacrament and test 54
taken to ascertain how many 49
taken to ascertain how much 56
taken to ascertain that there 59
taken to determine how many 127
taken to determine how much 304
taken to distinguish bad debt 65
taken to distinguish them from 241
taken to distinguish this from 90
taken to eliminate them from 66
taken to eradicate this evil 117
taken to indemnify all such 55
taken to portsmouth for nothing 115
taken to represent not only 195
taken to themselves not only 54
taken to translate them into 42
taken up residence with their 48
taken up throughout this book 57
takes an agonizingly long time 48
takes an altogether new form 65
takes an especially long time 46
takes an exceedingly long time 98
takes an extremely dim view 40
takes an extremely long time 356
takes an increasingly long time 41
takes an unusually long time 350
takes the discussion one step 65
takes the initiative and acts 163
takes the initiative and asks 205
takes the initiative and sets 141
takes the overcoats and hats 61
tales of adventure and daring 324
tales of adventure and love 142
tales of oppression and wrong 79
tales of shepherds and their 71
talking of themselves and their 436
talking to themselves out loud 120
taste of chocolate ice cream 53
taxes in connection with their 58
taxes on contracts are those 81
taxes on contracts are very 98
taxes on railroads and other 47
taxes on themselves and their 44
teaching of arithmetic and reading 47
teaching of arithmetic has been 98
teaching of reverence for life 44
telling the president that there 49
tells the assembler that there 45
tells the corinthians that their 41
tells the corinthians that when 43
tells the disciples that their 43
tells us precisely how many 43
tells us precisely how much 97
tending it carefully and making 66
tending to establish that fact 212
tending to establish this fact 43
tending to interfere with their 55
tending to reconcile his wife 112
tends to apologize for their 51
tends to attribute too much 50
tends to dissipate with time 51
tends to distinguish them from 110
tends to establish that there 48
tends to interfere with other 54
tends to interfere with their 123
tends to interfere with your 74
tends to introduce any other 42
tends to overstate his case 146
tends to reinforce this view 133
tends to transform them into 41
tends to undermine not only 41
terms as president and vice 57
terms of admiration and love 44
terms of advantage for mary 47
terms of agreement had been 90
terms of armistice and peace 53
terms of armistice set forth 63
terms of character and plot 122
terms of communism and anti 129
terms of economics but also 45
terms of frequency and length 120
terms of frequency and time 80
terms of frequency and type 42
terms of frequency and wave 54
terms of intellect and will 49
terms of intensity and length 46
terms of magnitude and angle 45
terms of magnitude and time 44
terms of magnitude and timing 50
terms of obligation and duty 46
terms of occupation and wealth 45
terms of particles and their 52
terms of personnel and other 105
terms of personnel and time 155
terms of population and jobs 58
terms of population and land 464
terms of population and size 114
terms of population and wealth 145
terms of population but also 89
terms of president and vice 248
terms of processes that have 44
terms of production but also 67
terms of production per acre 47
terms of production per hour 43
terms of production per unit 106
terms of protection than those 151
terms of reference and also 74
terms of reference and have 45
terms of reference and make 57
terms of reference and other 117
terms of reference and their 162
terms of reference and time 104
terms of reference and truth 78
terms of reference and were 60
terms of reference and work 132
terms of reference are also 69
terms of reference are clear 74
terms of reference are laid 40
terms of reference are more 77
terms of reference are much 108
terms of reference are those 80
terms of reference are used 97
terms of reference are very 327
terms of reference are wide 124
terms of reference but also 64
terms of reference for such 350
terms of reference for their 176
terms of reference for these 189
terms of reference for those 68
terms of reference for what 115
terms of reference had been 591
terms of reference has been 123
terms of reference may have 53
terms of reference not only 106
terms of reference set down 45
terms of reference set forth 49
terms of reference than those 52
terms of reference that have 105
terms of reference that were 162
terms of reference that will 51
terms of reference they were 62
terms of resources and their 53
terms of resources and time 558
terms of resources but also 90
terms of sensations and their 64
terms of standards that have 114
terms of structure and form 125
terms of structure and meaning 120
terms of substance and form 43
terms of surrender had been 345
terms of surrender that were 85
terms of surrender with such 65
terms of themselves and their 184
terms or conditions are more 138
terms or conditions for buying 58
terms or conditions than those 67
terms to determine its meaning 59
terms to distinguish them from 64
terms to distinguish this last 169
testing is available for some 55
testing is expensive and time 203
testing of compliance with laws 79
testing of employees for drug 45
testing of hypotheses has been 69
testing the hypothesis that some 87
testing the hypothesis that there 447
testing the hypothesis that these 102
testing to determine how much 113
testing to determine how well 49
tests in arithmetic and reading 102
tests of compliance with laws 112
tests of hypotheses are made 51
tests of specimens cut from 71
tests on specimens cut from 112
tests the hypothesis that there 424
tests to determine how many 50
tests to determine how much 583
tests to determine how well 603
tests to distinguish one from 42
tests to distinguish them from 44
texts of aristotle and other 55
texts of scripture and huge 45
texts of scripture and other 40
texts of scripture that have 47
thanking the committee for their 43
thanking the delegates for their 52
