tag is used within the 62
tang of wood smoke in 47
tan to dark brown in 306
tan to dark brown or 248
tan to dark brown to 92
tap of high heels on 96
tap the full power of 136
tax at least equal to 112
tax at such rates as 99
tax in other parts of 60
tax in such cases is 98
tax in your state is 58
tax is also known as 87
tax is made under the 71
tax is made within the 73
tax is paid after the 141
tax is paid under the 141
tax is paid within the 69
tax is very pleasing to 64
tax of five cents an 51
tax of five cents on 375
tax of five mills on 182
tax of four cents on 86
tax of four mills on 251
tax of four pence on 64
tax of tenth penny on 48
tax of three cents on 168
tax of three mills on 215
tax of three pence in 53
tax of three pence on 166
tax on coal mined in 70
tax on coal would be 44
tax on food would be 44
tax on land based on 52
tax on land could be 44
tax on land equal to 43
tax on land value is 82
tax on land which is 46
tax on land would be 112
tax on most types of 50
tax on other forms of 181
tax on other kinds of 108
tax on other types of 325
tax on rent which is 93
tax on rent would be 128
tax on such gains is 48
tax on such items as 210
tax on their sales to 58
tax on their share of 1419
tax on these items is 153
tax on these types of 54
tax on your share of 194
tax or duty might be 205
tax or duty shall be 15506
tax or duty within the 74
tax or other forms of 103
tax or rate shall be 106
tax or rent which the 84
tax so paid shall be 192
tax the full value of 223
tax the same shall be 105
team at some point in 77
team is also working on 70
team is clear about the 43
team is made aware of 45
team is well aware of 50
team of five people to 47
team of oxen could be 41
team of oxen yoked to 47
team of three people to 52
team of young people to 69
team or task force to 97
team to keep track of 223
team to learn about the 85
team to look after the 56
team to talk about the 55
team to think about the 132
team to third place in 44
tear it down brick by 58
tear it when caged up 64
tear the sail apace of 80
tear the very trees up 43
ten of these cases the 114
ten of these units by 53
ten of these would be 52
ten of whom belong to 41
ten of whom lived to 238
ten of whom shall be 170
ten of whom would be 119
ten or more acres in 59
ten or more acres of 199
ten or more hours in 88
ten or more hours of 383
ten or more hours to 41
ten or more kinds of 41
ten or more lines of 57
ten or more miles in 127
ten or more miles of 100
ten or more miles to 102
ten or more months of 55
ten or more pages of 80
ten or more pairs of 150
ten or more people in 186
ten or more people on 40
ten or more people to 93
ten or more times as 1338
ten or more times by 45
ten or more times in 378
ten or more times the 946
ten or more times to 40
ten or more units of 48
ten or more weeks of 72
ten or some power of 97
ten the fall might be 52
ten the next morning at 80
ten the next morning by 59
ten the next morning he 208
ten the next morning in 48
ten the next morning the 276
ten the next morning to 142
ten the next morning we 255
than an early stage in 53
than an early stage of 105
than an even share of 101
than an even wager he 74
than an hour about the 162
than an hour above the 98
than an hour after an 53
than an hour after he 1008
than an hour after it 513
than an hour after my 207
than an hour after the 6148
than an hour after we 667
than an hour alone in 50
than an hour apart by 44
than an hour finding the 117
than an hour later as 112
than an hour later at 74
than an hour later by 54
than an hour later he 614
than an hour later in 84
than an hour later it 68
than an hour later the 1066
than an hour later to 90
than an hour later we 404
than an hour looking at 61
than an hour since he 381
than an hour since the 340
than an hour since we 172
than an hour spent in 222
than an hour still to 52
than an hour talking to 65
than an hour under the 158
than an hour until he 61
than an hour until the 291
than an hour until we 50
than an hour which we 54
than an hour while he 107
than an hour while the 201
than an hour would be 144
than an inch above the 934
than an inch below the 550
than an inch under the 46
than an inch within the 47
than as many months of 41
than as many people as 70
than as many weeks on 40
than as much above the 46
than as much again as 48
than at high rates of 74
than at home where he 46
than at home where the 42
than at many times in 102
than at most times in 131
than at other hours of 73
than at other parts of 615
than at other sites in 115
than at other times in 1484
than at other times is 99
than at other times it 43
than at other times of 4617
than at other times or 123
than at other times the 93
than at other times to 491
than at other types of 140
than at some point in 124
than at such times as 46
than at their place of 78
than at their point of 64
than be kept alive by 90
than be kept longer in 57
than be left alone in 72
than by having earned it 54
than by hearing about it 42
than by just looking at 59
than by just throwing it 43
than by mere force of 72
than by mild words to 55
than by other forms of 318
than by other kinds of 119
than by other modes of 121
than by other parts of 52
than by other types of 189
than by reading about it 199
than by such words as 45
than by their names or 54
than by their place in 70
than by their power to 46
than by their price in 50
than by their sense of 198
than by these words of 40
than by those found by 57
than by those which he 96
than by those which it 43
than by those which we 193
than by those working in 42
than by what might be 64
than by what would be 83
than do most forms of 72
than do most people in 129
than do other forms of 1142
than do other kinds of 645
than do other modes of 54
than do other parts of 515
than do other people in 55
than do other people of 54
than do other sorts of 70
than do other types of 4259
than do their peers in 257
than do those based on 151
than do those found in 71
than do those grown in 66
than do those lower in 43
than do those working in 64
than do young people in 45
than he came running on 49
than he came rushing in 43
than he ever cared to 358
than he ever could as 66
than he ever could be 315
than he ever could by 73
than he ever could do 52
than he ever could if 43
than he ever could in 201
than he ever dared to 168
than he ever found in 89
than he ever hoped to 251
than he ever loved me 71
than he ever seems to 52
than he ever would be 185
than he ever would in 137
than he felt bound to 57
than he felt equal to 46
than he gave signs of 51
than he knew about me 68
than he knew about the 299
than he laid claim to 73
than he made haste to 135
than he threw aside the 57
than he took steps to 72
than he will later on 44
than he will spend in 40
than he will stand to 254
than if left until the 40
than if some enemy at 175
than in areas where it 177
than in areas where no 50
than in areas where the 1831
than in bringing about the 83
than in cash shall be 56
than in cheap times to 47
than in great haste to 41
than in hearing about the 42
than in india where the 74
than in making fires on 49
than in many cases of 298
than in many forms of 59
than in many months of 49
than in many others in 74
than in many others of 171
than in many others or 62
than in many pages of 51
than in many parts of 2834
than in many towns in 48
than in many towns of 71
than in most books of 104
than in most books on 47
than in most cases of 443
than in most cases the 52
than in most forms of 232
than in most kinds of 125
than in most lines of 77
than in most others in 97
than in most others of 200
than in most others to 41
than in most others we 43
than in most parts of 11445
than in most towns in 56
than in most towns of 82
than in most types of 147
than in most works of 115
than in other books of 71
than in other cases in 172
than in other cases of 666
than in other cases to 72
than in other forms of 13632
than in other kinds of 5087
than in other lands of 46
than in other lines of 488
than in other modes of 281
than in other months of 125
than in other parts as 58
than in other parts of 90133
than in other plays of 61
than in other races of 110
than in other realms of 105
than in other sorts of 178
than in other times of 163
than in other towns in 167
than in other towns of 305
than in other types of 17071
than in other units of 63
than in other walks of 239
than in other women of 42
than in other works by 53
than in other works of 226
than in other zones of 70
than in pure water at 63
than in some cases of 72
than in some forms of 79
than in some kinds of 44
than in some others of 108
than in some parts of 1485
than in some types of 65
than in such cases as 499
than in such forms as 87
than in such lines as 44
than in such terms as 94
than in such works as 54
than in their homes or 69
than in their method of 71
than in their modes of 51
than in their order of 45
than in their place of 219
than in their power of 59
than in their power to 188
than in their roles as 97
than in their sense of 41
than in their state of 103
than in their views of 73
than in these cases of 58
than in these hours of 42
than in these lines of 93
than in these times of 193
than in these words of 618
than in those about the 46
than in those based on 174
than in those below it 47
than in those cases in 675
than in those cases of 125
than in those close to 63
than in those forms of 66
than in those found in 106
than in those given the 72
than in those growing in 54
than in those grown at 64
than in those grown in 201
than in those grown on 72
than in those headed by 68
than in those lines of 45
than in those nearer the 159
than in those nearer to 52
than in those owned by 54
than in those parts of 2283
than in those reared in 57
than in those shown in 51
than in those times of 90
than in those under the 95
than in those where he 56
than in those where it 2791
than in those where no 99
than in those where the 1517
than in those which do 328
than in those which he 139
than in those which it 47
than in those which we 157
than in those within the 62
than in those words of 106
than in those works of 44
than in what could be 57
than in what might be 192
than in what ought to 48
than in what seems to 42
than in your vision of 40
than is days after the 54
than is done under the 75
than is even usual at 50
than is ever found in 614
than is ever given to 81
than is ever known to 56
than is here given by 42
than is here given of 59
than is here given to 76
than is made known by 59
than is true either of 41
than is true under the 57
than it ever could be 783
than it ever could in 116
than it ever could to 56
than it ever ought to 95
than it ever seems to 55
than it ever would be 232
than it ever would to 46
than it must appear to 53
than it need prove in 81
than it says about the 170
than it will about the 58
than it will after the 42
than it will appear in 120
than it will appear to 72
than it will fetch in 71
than it will prove to 63
than it will raise the 50
than it will under the 51
than my fair share of 2510
than my heart began to 48
than of having acted the 42
than of hearing anything to 41
than of most kinds of 57
than of oaks within it 65
than of other forms of 320
than of other kinds of 181
than of other parts of 250
than of other types of 270
than of their tending to 54
than of those under the 59
than of those which do 74
than of those which he 181
than of those which it 80
than of those which we 68
than of what might be 124
than of what ought to 129
than of what would be 63
than on land where the 44
than on land which is 50
than on most parts of 51
than on other forms of 465
than on other kinds of 347
than on other parts of 2481
than on other sorts of 44
than on other types of 942
than on some notion of 43
than on some parts of 46
than on their level of 48
than on their sense of 43
than on their skill in 43
than on those where it 52
than on those where the 79
than on those which do 46
than on what could be 112
than on what might be 306
than on what needs to 51
than on what others do 163
than on what ought to 104
than on what would be 68
than or even equal to 258
than or just equal to 121
than or very close to 77
than so many acres of 40
than so many hours in 49
than so many modes of 46
than so many mutes in 46
than so many others in 52
than so many units in 45
than so much water in 48
than the acting cause of 62
than the angle which the 171
than the arab state or 73
than the areas where the 63
than the army began to 94
than the army corps of 76
than the asking price of 129
than the ball which we 43
than the bank loved the 59
than the bare bones of 750
than the bare facts of 445
than the bare names of 70
than the bare notion of 53
than the bare right to 72
than the bare title of 66
than the bare walls of 82
than the bare words of 64
than the base level of 60
than the base metal is 44
than the base price of 44
than the beast which he 64
than the best class of 53
than the best forms of 49
than the best found so 56
than the best grade of 117
than the best house in 93
than the best judge by 130
than the best known of 42
than the best method of 70
than the best parts of 180
than the best piece of 75
than the best which is 53
than the best which the 85
than the best works of 90
than the bird leaves in 57
than the boat began to 45
than the body needs to 87
than the body which is 179
than the body which it 62
than the bond uniting the 42
than the book value at 89
than the book value of 3495
than the book value or 69
than the book which the 173
than the bringing about of 81
than the bulk value of 130
than the bulk which he 45
than the buying power of 91
than the calf wants to 122
than the call either of 85
than the call price of 60
than the calm voice of 45
than the case shown in 68
than the case where the 295
than the case would be 62
than the cash basis of 65
than the cash price of 157
than the cash value of 551
than the cell walls of 74
than the city where the 58
than the city within the 82
than the clear light of 81
than the clear vision of 50
than the clear water of 151
than the cold facts of 52
than the cold light of 99
than the cold logic of 90
than the cold water in 47
than the cold water of 53
than the cold words of 49
