tab stop at the center 163
tag line at the bottom 159
tap came at the window 47
tap hole at the bottom 183
tap hole in the bottom 49
tap root of the carrot 43
tax base by the amount 52
tax base in the cities 46
tax base in the future 70
tax base in the united 174
tax base is the amount 193
tax base is the market 51
tax base of the cities 156
tax base of the county 90
tax base of the entire 44
tax base of the states 49
tax base to the extent 123
tax bill by the amount 91
tax bill in the senate 155
tax bill to the senate 46
tax came to be levied 97
tax code in the united 177
tax cuts in the budget 103
tax cuts in the future 90
tax cuts in the united 162
tax free in the united 52
tax free to the extent 1012
tax home in the united 149
tax home is the entire 41
tax laws in the united 640
tax laws of the member 65
tax laws of the states 421
tax laws of the united 2271
tax laws of the various 470
tax lien of the united 103
tax list of the county 77
tax made on or before 168
tax only on the amount 478
tax only on the income 323
tax only on the portion 242
tax only to the extent 1399
tax owed by the estate 51
tax paid at the source 730
tax paid by the estate 261
tax paid by the family 51
tax paid by the farmer 68
tax paid by the former 114
tax paid by the indians 74
tax paid by the latter 96
tax paid by the lessee 65
tax paid by the mutual 70
tax paid by the owners 245
tax paid by the parent 143
tax paid by the peasant 61
tax paid by the person 140
tax paid by the seller 135
tax paid by the spouse 58
tax paid by the tenant 47
tax paid by the worker 59
tax paid in the source 179
tax paid in the united 148
tax paid on or before 276
tax paid on the amount 125
tax paid on the estate 41
tax paid on the income 699
tax paid to the county 55
tax paid to the object 59
tax paid to the source 41
tax paid to the sultan 42
tax paid to the united 488
tax rate at the margin 80
tax rate by the amount 262
tax rate in the county 181
tax rate in the future 374
tax rate in the lowest 53
tax rate in the second 70
tax rate in the united 1263
tax rate is in excess 41
tax rate is the amount 182
tax rate is the lowest 228
tax rate of the parent 361
tax rate on an income 55
tax rate on the amount 165
tax rate on the entire 178
tax rate on the excess 187
tax rate on the income 496
tax rate on the lowest 77
tax rate on the profit 53
tax rate on the return 132
tax rate on the second 46
tax rate to be levied 128
tax rate to the amount 152
tax rate to the extent 81
tax side of the budget 304
tax side of the fiscal 85
tax used to be levied 53
tax were to be levied 116
tax were to be raised 114
tax when it is levied 163
tax will be to reduce 82
team came to the united 92
team made up of former 43
team meet at the center 92
team went on to become 88
team went to the finals 47
team went to the united 46
team were of the opinion 41
team will be in charge 74
tear away at the fabric 60
tear fell to the memory 47
tear form in the corner 106
ten beats in the minute 56
ten days at sea before 76
ten days at the latest 239
ten days at the little 53
ten days at the longest 46
ten days at the utmost 117
ten days go by without 43
ten days in the autumn 98
ten days in the castle 86
ten days in the cooler 85
ten days in the county 196
ten days in the desert 112
ten days in the forest 58
ten days in the french 164
ten days in the future 191
ten days in the island 117
ten days in the latter 94
ten days in the middle 357
ten days in the office 64
ten days in the saddle 56
ten days in the second 62
ten days in the soviet 115
ten days in the summer 304
ten days in the united 186
ten days in the winter 95
ten days of the attack 67
ten days of the battle 408
ten days of the crisis 52
ten days of the debtor 66
ten days of the disease 246
ten days of the expiry 51
ten days of the initial 106
ten days of the injury 53
ten days of the muslim 52
ten days of the notice 126
ten days of the school 71
ten days of the second 240
ten days of the session 755
ten days of the seventh 45
ten days of the strike 122
ten days of the voyage 140
ten days on an island 105
ten days on the ground 100
ten days on the island 234
ten days on the voyage 65
ten days or so before 1248
ten days or so earlier 94
ten days to go before 223
ten days to go through 93
ten days to the opposing 120
ten feet at the bottom 107
ten feet in the center 107
ten feet in the course 48
ten feet in the forest 45
ten feet in the ground 301
ten feet in the middle 68
ten feet of my window 208
ten feet of the animal 87
ten feet of the bottom 172
ten feet of the building 93
ten feet of the camera 58
ten feet of the ground 616
ten feet of the street 49
ten feet of the window 46
ten feet on the ground 42
ten feet or so before 77
ten feet or so behind 100
ten feet to the bottom 309
ten feet to the ground 1113
ten file up the hollow 52
ten mile of the shanty 71
ten rods of the ground 40
ten rods of the person 54
ten seats in the senate 158
ten tons to the square 67
ten years as an active 72
ten years as an editor 88
ten years as the result 72
