tap slippers 90 tap shoulder 143
tax happened 46 tax produced 41
team straight 208 team students 53
ten arrested 74 ten executed 70
ten ratified 65 ten properly 70
than innocent 70 than occasions 50
than conveyed 142 than activity 108
than altitude 40 than american 277
than distance 233 than festival 73
than hospital 61 than juncture 65
than locality 243 than hereafter 75
than thereafter 244 than suitable 42
than wretched 61 than agencies 87
than activity 62 than american 60
than approach 106 than category 50
than christian 43 than composer 109
than condition 46 than contract 43
than criterion 254 than exercise 63
than external 49 than historian 47
than medicine 64 than movement 40
than operation 46 than personal 56
than physical 82 than possible 177
than religious 52 than standard 235
than stimulus 42 than treatment 210
than garrison 52 than creatures 46
than remember 76 than expected 72
than intended 42 than serenely 163
than anywhere 59 than conscious 67
than disposed 71 than expected 257
than formerly 557 than inclined 48
than prepared 669 than promised 156
than recently 54 than formerly 317
than respecting 45 than expected 46
than imagined 113 than achieved 125
than admitted 174 than attained 90
than believed 496 than bestowed 124
than employed 66 than expected 3793
than imagined 4368 than intended 1229
than listened 110 than mustered 45
than observed 181 than obtained 86
than occupied 82 than promised 135
than received 744 than suffered 125
than supposed 465 than traveled 93
than ventured 290 than received 64
than believed 81 than imagined 93
than supposed 94 than anywhere 115
than accorded 100 than commonly 69
than credited 278 than educated 85
than achieved 44 than attained 49
than believed 53 than imagined 122
than received 347 than expected 141
than imagined 83 than intended 723
than supposed 84 than disposed 41
than prepared 69 than sustains 56
than required 40 than actually 558
than adjusted 49 than animated 155
than assigned 79 than children 46
than composed 49 than confined 103
than designed 47 than directed 68
than directly 87 than discussing 48
than employed 151 than entirely 135
than excluded 43 than glittering 96
than imported 85 than included 61
than intended 47 than isolated 210
than parallel 57 than produced 483
than provided 73 than randomly 50
than required 162 than separate 90
than situated 45 than straight 114
than strangers 151 than stricken 43
than actually 67 than american 176
than branches 79 than creatures 56
than languages 212 than respects 119
than carolina 63 than westerly 40
than academic 117 than activity 1354
than advanced 1505 than affection 231
than american 4648 than aperture 88
than approach 82 than artistic 80
than assembly 46 than attitude 47
than biblical 94 than biography 40
than branches 126 than brazilian 42
than buddhist 62 than business 2172
than campaign 219 than capacity 594
than caribbean 227 than category 1748
than cathedral 53 than chemical 135
than christian 1396 than climatic 53
than clinical 123 than composer 72
than condition 1333 than conflict 451
than contract 44 than counties 63
than creatures 69 than criminal 44
than cultural 144 than currency 41
than despotic 60 than developing 863
than dimension 62 than direction 3085
than disorder 95 than district 3349
than document 125 than domestic 141
than dramatic 42 than economic 280
than engineering 88 than exercise 171
than external 56 than financial 70
than formation 124 than hospital 138
than industry 5202 than instance 1022
than interval 109 than japanese 49
than literary 468 than locality 1994
than magazine 255 than mammalian 104
than medieval 105 than military 172
than monarchy 180 than mountain 169
than movement 142 than novelist 74
than observed 94 than occupied 215
than operation 198 than ordinary 48
than organism 237 than oriental 152
than peacetime 201 than physical 86
than populous 46 than portrait 50
than possible 269 than property 53
than province 6495 than recorded 285
than regiment 94 than religious 269
than reported 109 than republic 162
than scottish 147 than situation 2070
than socialist 120 than specialty 296
than specific 60 than specimen 150
than subgroup 41 than subjects 62
than surgical 71 than textbook 47
than township 70 than tradition 69
than treatment 179 than tropical 151
than valvular 180 than vascular 50
than whatever 86 than directly 100
than twenties 66 than twenties 42
than politics 41 than ordinary 57
than ordinary 45 than delicacy 65
than properly 130 than strictly 64
than american 61 than received 155
than compared 138 than accorded 50
than acquired 100 than anywhere 109
than believed 78 than credited 77
than designed 174 than eighteen 74
than expected 287 than formerly 767
than fourteen 55 than initially 160
than intended 152 than observed 43
than possible 672 than prepared 62
than promised 60 than recently 79
than reported 108 than supposed 288
than upstairs 45 than formerly 53
than achieved 83 than attained 440
than imagined 59 than intended 51
than occupied 258 than occurred 72
than received 468 than suffered 57
than accorded 323 than afforded 56
than anywhere 167 than believed 57
than commonly 92 than credited 111
than designed 50 than extended 42
than formerly 92 than inferred 42
than observed 88 than possible 1896
than recently 315 than replaced 41
than reported 58 than supposed 191
than achieved 53 than attained 157
than conveyed 58 than occupied 106
than produced 69 than received 1682
than suffered 42 than improved 103
than accorded 62 than believed 50
than designed 93 than imagined 42
than intended 317 than possible 141
than proposed 88 than believed 72
than supposed 72 than journeys 57
than american 249 than category 85
than composer 139 than condition 47
than indicate 40 than literary 46
than materials 56 than property 72
than province 62 than religious 70
than clansmen 112 than subjects 110
than servants 46 than evidence 41
than activity 232 than american 98
than business 42 than caribbean 46
than category 108 than condition 55
than industry 65 than mountain 57
than occasions 58 than property 74
than railroad 46 than subjects 46
than buddhism 59 than frequent 40
than numerous 153 than velocity 103
than mentioned 44 than tenderer 189
than employed 62 than involved 42
than proposed 93 than referred 47
than examined 58 than finished 42
than mentioned 1841 than outlined 148
than referred 195 than mentioned 382
than commonly 56 than recently 49
than mentioned 657 than mentioned 87
than required 71 than agencies 53
than profound 40 than activity 243
