take some decisive step while 110
tears what actually took place 48
term most commonly used today 61
their anger overcame their sense 69
their bold intrusion into every 64
their dark chambers give signs 43
their eyes directed like burning 120
their eyes sparkled like black 65
their feet squashed into boots 68
their food supplies were running 42
their great protruding lips added 52
their heavy branches from above 73
their most commonly used names 40
their most headstrong fury never 168
their navy depended upon trade 42
their other financial years since 49
their reach exceeded their grasp 70
their sway extended over egypt 80
their three children were still 40
their young children having grown 57
there came suddenly from every 50
there have actually been cases 42
there have probably been fewer 190
there have probably been times 113
there have recently been added 70
there have recently been calls 62
there have recently been found 52
there have recently been major 55
there have recently been moves 59
there have recently been signs 217
there only remained your niece 77
there were actually more people 68
there were actually more women 63
there were actually only about 61
there were actually some people 41
there were numerous other cases 75
there were numerous other people 51
there were numerous other slave 66
there were occasions upon which 144
there were occasions when people 71
there were occasions when women 41
there were probably many cases 41
there were probably many others 252
there were probably many people 104
there were probably more people 151
there were probably only about 276
there were probably some people 89
there were probably three times 44
there were slightly more males 111
there were slightly more women 140
there were subjects upon which 77
there were thereabout some others 107
there were variations from state 49
these aged mourners were passing 93
these dumb creatures have moved 172
these great purposes will never 41
these have bespoken such favor 82
these have recently been added 113
these have recently been found 44
these most manifold high gifts 78
these poor innocent boys would 41
these same questions were asked 56
these same students were asked 67
these three branches ever since 54
these three questions were asked 40
these were deputies from towns 86
these years deserves some study 41
think what happened last night 48
think your lordship will thence 73
third form distinct from either 45
those great mountain peaks whose 43
those less manifest ones marking 59
those living creatures give glory 72
those more numerous ones later 42
those most commonly used today 127
those past decisions upon which 85
those poor creatures were burnt 61
those rare occasions upon which 40
those rare occasions when people 95
those rare occasions when women 52
those rich autumnal days which 90
those very passages were added 82
those very precepts upon which 55
three great branches among which 47
three great branches into which 75
three great divisions into which 259
three great families into which 42
three main divisions into which 136
three more children were added 45
three most commonly used drugs 68
three most commonly used forms 59
three most commonly used tests 40
three most commonly used types 238
three other lanterns were still 44
throw their children into wells 49
till peace obtained from fault 145
till their memories were again 332
time been disabled from writing 62
time from chastising poor jones 82
time their sufferings from hunger 86
time these lectures were given 47
time these pictures were taken 136
time when children were given 61
time when europeans were still 87
treat their fortunes when under 53
trod those promptings down under 65
turn away iniquity from jacob 85
turn more specially from thinking 45
turn their attention more fully 91
turn their attention once again 313
turn their citizens into image 51
turn their councils from every 191
turn their darkness into light 115
type have recently been found 137
type main sequence star which 243
type most commonly used today 101
