palaeolithic cave paintings 146
palanquins were brought 50
palanquins were carried 75
pallbearers came forward 47
pallbearers were members 90
palliatives were applied 55
palpitation upon exertion 78
panegyrics here provide 84
panegyrics upon himself 59
panegyrics were written 82
pantaloons were stuffed 53
paperbacks held together 1244
paperbacks most archway 92
paperboard milk cartons 379
parachuted into belgium 94
parachuted into britain 138
parachuted into central 47
parachuted into denmark 67
parachuted into germany 276
parachuted into holland 266
parachuted into ireland 113
parachuted into northern 244
parachuted into slovakia 243
parachuted into southern 143
parachuted into thailand 67
parachuted into vietnam 62
parachutes were dropped 92
parachutes were released 42
paragraphs also applies 60
paragraphs also contain 86
paragraphs ever written 69
paragraphs flow smoothly 113
paragraphs flow together 87
paragraphs from chapter 223
paragraphs from justice 58
paragraphs from letters 421
paragraphs from previous 44
paragraphs from reports 40
paragraphs from several 93
paragraphs from stories 54
paragraphs from student 90
paragraphs give details 101
paragraphs have appeared 173
paragraphs have assumed 49
paragraphs have briefly 97
paragraphs have brought 48
paragraphs have covered 40
paragraphs have focused 131
paragraphs have implied 83
paragraphs have offered 40
paragraphs have pointed 88
paragraphs have touched 91
paragraphs into sections 183
paragraphs into shorter 187
paragraphs into smaller 104
paragraphs just preceding 147
paragraphs last preceding 185
paragraphs must suffice 142
paragraphs some general 57
paragraphs were adapted 51
paragraphs were adopted 116
paragraphs were altered 45
paragraphs were applied 53
paragraphs were arranged 49
paragraphs were carried 46
paragraphs were deleted 202
paragraphs were derived 103
paragraphs were devoted 633
paragraphs were drafted 66
paragraphs were omitted 335
paragraphs were printed 190
paragraphs were removed 47
paragraphs were repeated 47
paragraphs were written 2769
paragraphs will address 100
paragraphs will attempt 326
paragraphs will briefly 357
paragraphs will contain 167
paragraphs will develop 74
paragraphs will discuss 799
paragraphs will examine 233
paragraphs will explain 341
paragraphs will explore 112
paragraphs will include 47
paragraphs will outline 239
paragraphs will present 283
paragraphs will provide 376
paragraphs will require 66
paragraphs will suffice 364
paragraphs will suggest 203
paragraphs will usually 103
paragraphs work together 158
parallaxes were measured 72
paralleled more closely 145
paralleled most closely 147
paralleled their ability 83
paralleled their efforts 41
paralleled these results 61
paralleled those between 120
paralleled those occurring 67
paralleled very closely 1381
paralytics were brought 86
paramedics have arrived 53
paramedics were trained 61
parameters also control 47
parameters also depends 49
parameters also include 157
parameters also increase 45
parameters also provide 103
parameters also reflect 47
parameters also require 40
parameters fall outside 234
parameters from catches 74
parameters from chapter 74
parameters from dynamic 185
parameters from equation 388
parameters from example 162
parameters from limited 45
parameters from measured 1367
parameters from optical 67
parameters from outside 53
parameters from previous 149
parameters from routine 146
parameters from samples 132
parameters from scratch 40
parameters from seismic 51
parameters from several 224
parameters from studies 41
parameters from surface 50
parameters have allowed 43
parameters have appeared 60
parameters have certain 94
parameters have default 389
parameters have emerged 81
parameters have evolved 74
parameters have limited 67
parameters have revealed 50
parameters have several 47
parameters have shifted 103
parameters have similar 183
parameters have usually 63
parameters into account 2987
parameters into equation 459
parameters just defined 61
parameters like average 127
parameters like current 51
parameters like density 102
parameters like position 48
parameters like surface 100
parameters more closely 195
parameters most closely 223
parameters most strongly 44
parameters must contain 55
parameters must include 161
parameters must precede 57
parameters must provide 51
parameters must reflect 51
parameters must satisfy 1193
parameters must specify 49
parameters must usually 41
parameters over several 69
parameters show similar 63
parameters used include 82
parameters vary according 228
parameters vary between 222
parameters vary depending 223
parameters vary linearly 97
parameters vary rapidly 50
parameters vary smoothly 120
parameters very similar 163
parameters were adapted 87
parameters were adopted 324
parameters were allowed 559
parameters were altered 355
parameters were applied 454
parameters were arrived 53
parameters were assayed 46
parameters were assumed 1085
parameters were carried 353
parameters were checked 205
parameters were closely 86
parameters were correct 67
parameters were decided 74
parameters were deduced 169
parameters were defined 1380
parameters were derived 2172
parameters were devised 48
parameters were divided 84
parameters were entered 510
parameters were evident 46
parameters were exactly 55
parameters were finally 55
parameters were gathered 40
parameters were grouped 62
parameters were highest 45
parameters were largely 88
parameters were limited 147
parameters were linearly 52
parameters were measured 7252
parameters were modeled 71
parameters were omitted 58
parameters were plotted 258
parameters were present 214
parameters were reduced 247
parameters were refined 1316
parameters were related 338
parameters were removed 53
parameters were revealed 51
parameters were sampled 285
parameters were similar 941
parameters were smaller 47
parameters were strongly 102
parameters were studied 1738
parameters were subject 75
parameters were typical 50
parameters were unknown 84
parameters were updated 123
parameters were usually 86
parameters were variable 52
parameters were written 52
parameters when applied 94
parameters when assessing 71
parameters when comparing 109
parameters when designing 94
parameters when executing 55
parameters when selecting 85
parameters will contain 115
parameters will control 45
parameters will decrease 95
parameters will display 84
parameters will improve 92
parameters will include 182
parameters will increase 277
parameters will produce 358
parameters will provide 403
parameters will reflect 100
parameters will require 261
parameters will satisfy 48
parameters will specify 51
parameters will suffice 76
parameters will usually 258
parameters work together 129
parametric mann whitney 69
parametric test because 75
parametric test results 210
paraphrase bill clinton 40
paraphrase john kennedy 52
paraphrase john maynard 62
paraphrase walt whitman 89
