packed granulated sugar 160
packed immediately after 445
packed polyhedral cells 199
packed relatively close 47
packed structures which 118
packed watercress leaves 375
packet immediately after 105
packet propagation delay 69
padded examination table 102
padded instrument panel 576
paddle attachment until 176
painting eventually found 46
painting flourished under 104
painting immediately after 226
painting landscapes which 53
painting particular truths 42
painting representing jesus 53
painting representing saint 58
painting reproduced above 223
painting structural steel 157
painting techniques which 208
paints impassioned women 49
paired appendages which 140
paired associative learning 384
paired comparison items 50
paired comparison method 2969
paired comparison model 258
paired comparison ranking 752
paired comparison ratings 163
paired comparison scale 693
paired comparison scaling 262
paired comparison study 380
paired comparison tasks 264
paired comparison testing 122
paired comparison tests 2357
paired controlled study 66
paired structures found 44
paired structures which 439
paired sympathetic ganglia 40
palace immediately after 211
palace originally built 446
palace revolutions which 347
pallid cadaverous white 52
paltry individual facts 72
panels immediately above 66
panels immediately below 47
papers circulated within 48
papers classified under 89
papers complained about 68
papers discovered after 72
papers enumerated above 112
papers identified cohen 53
papers immediately after 442
papers immediately began 46
papers originally filed 95
papers originally given 132
papers referenced above 271
papers referenced below 48
papers speculated about 50
papers summarized above 46
papers transferring title 46
parade immediately after 66
parade organizers could 47
pardon immediately after 96
parent adequately cares 74
parent complained about 454
parent complaints about 278
parent conference night 49
parent corporation after 111
parent corporation based 117
parent corporation ceases 142
parent corporation could 985
parent corporation filed 144
parent corporation files 319
parent corporation holding 95
parent corporation holds 106
parent corporation liable 660
parent corporation makes 293
parent corporation meets 85
parent corporation might 299
parent corporation owned 452
parent corporation rather 154
parent corporation sells 275
parent corporation shall 1197
parent corporation stock 804
parent corporation takes 169
parent corporation under 1026
parent corporation where 366
parent corporation which 1894
parent corporation whose 237
parent corporation within 169
parent corporation would 1499
parent criminally liable 52
parent educational level 415
parent households found 92
parent households headed 1646
parent households might 40
parent households often 173
parent households today 97
parent households where 660
parent households which 192
parent households would 140
parent identified above 150
parent immediately after 133
parent information about 231
parent information night 115
parent information sheet 119
parent institution which 148
parent institution would 56
parent orientation meeting 506
parent substances which 104
parent volunteers could 43
parish authorities could 162
parish authorities might 62
parish authorities which 44
parish authorities would 100
parish boundaries often 42
parish boundaries which 278
parish boundaries would 50
parish immediately after 153
parity progression rates 152
parity progression ratios 1648
parlor immediately after 43
parole authorities would 135
parole supervision after 131
parole supervision period 112
parole supervision until 92
parole supervision which 45
parole supervision would 102
parted immediately after 161
partial activities which 41
partial adjustment model 7973
partial advantages which 52
partial agreements which 65
partial alphabetic phase 194
partial amendments shall 358
partial application which 46
partial application would 44
partial assignment which 47
partial associations which 61
partial chromosome gains 78
partial concessions which 68
partial conclusions about 44
partial conclusions which 110
partial confidence would 47
partial contraction known 40
partial contraction which 56
partial correlation after 47
partial correlation could 74
partial correlation drops 102
partial correlation found 46
