habit persistence model 159
hairs occasionally appear 53
hairy caterpillar which 91
hairy scandinavian troll 147
halting conversation about 69
hands deprecatory soothing 79
hands distributed fifty 40
hands frantically above 81
hands immeasurable power 81
hands innumerable times 112
happy achievement seems 61
happy arrangements which 42
happy attachments would 61
happy coincidence rather 47
happy coincidence which 249
happy coincidence would 59
happy combinations which 44
happy comparative state 43
happy constitution under 353
happy constitution which 255
happy consummation could 77
happy consummation which 66
happy consummation would 101
happy contentment which 74
happy conversation about 75
happy development which 52
happy development would 41
happy dispositions where 264
happy dispositions which 103
happy environment where 77
happy equilibrium which 178
happy experiences which 124
happy hopefulness faded 46
happy illustration which 62
happy immortality after 98
happy immortality which 78
happy individuals whose 81
happy inspirations which 127
happy intercourse which 119
happy opportunity which 85
happy organization first 49
happy partnership which 66
happy relationship until 45
happy relationship which 335
happy relationship would 40
happy retributive utopia 52
happy temperament under 50
happy temperament which 282
happy temperature which 84
happy understanding which 74
happy workmanlike ideals 43
hardy constitution which 41
hardy employments which 71
hardy enterprises which 68
hardy personality style 64
hardy presbyterian stock 81
harsh competitive world 125
harsh construction which 41
harsh environment could 47
harsh environment under 45
harsh environment where 465
harsh environment which 193
harsh environment within 56
harsh environment would 94
harsh fluorescent glare 95
harsh fluorescent light 1636
harsh intolerance which 41
harsh mathematical reason 160
harsh observations about 69
harsh observations which 160
harsh punishments meted 358
harsh punishments which 101
harsh punishments would 45
harsh respiratory sound 78
harsh restrictions which 57
hasty legislative action 154
hasty preparations which 52
hasty temperament often 56
hasty workmanship which 87
hated disappointing people 119
hawks outnumbered doves 50
headed cylindrical drums 174
headed indiscretion urged 91
headed inscriptions which 50
headed subscription lists 52
healed tuberculous focus 53
healed tuberculous lesion 404
healthy agnosticism about 75
healthy apprehension about 42
healthy cholesterol level 202
healthy communities where 75
healthy constitution could 52
healthy constitution which 109
healthy convenience foods 77
healthy development rather 69
healthy development since 58
healthy development under 67
healthy development which 240
healthy development within 86
healthy development would 79
healthy environment could 70
healthy environment where 278
healthy environment which 177
healthy environment while 62
healthy environment within 199
healthy environment would 98
healthy individuals after 392
healthy individuals appear 85
healthy individuals carry 87
healthy individuals could 170
healthy individuals given 44
healthy individuals might 107
healthy individuals often 110
healthy individuals older 45
healthy individuals rather 46
healthy individuals shows 84
healthy individuals under 429
healthy individuals where 59
healthy individuals which 119
healthy individuals while 68
healthy individuals whose 264
healthy individuals within 130
healthy individuals would 373
healthy organization which 50
healthy organization would 72
healthy personality growth 457
healthy personality which 138
healthy personality would 81
healthy perspective about 201
healthy progressive growth 55
healthy relationship based 49
healthy relationship looks 80
healthy relationship needs 88
healthy relationship where 47
healthy relationship which 62
healthy relationship within 44
healthy relationship would 51
healthy respiratory tract 103
healthy subordinate class 62
healthy susceptible plant 56
hearty concurrence every 144
hearty hospitality which 109
heated controversy about 1972
heated controversy arose 1156
heated controversy broke 228
heated controversy raged 328
heated controversy since 137
heated controversy which 1347
heated controversy within 628
heated conversation about 595
heated underground water 126
heathen civilization which 56
heathen philosopher could 97
heathen philosopher plato 45
heathen philosopher would 88
heathen superstition still 50
heathen superstition which 72
hedging transactions first 61
hedging transactions under 215
hedging transactions which 152
helping communities build 72
helping communities solve 54
helping handicapped people 217
helping individuals adapt 121
helping individuals avoid 77
helping individuals build 58
helping individuals change 195
helping individuals create 59
helping individuals rather 50
helping individuals solve 128
helping individuals whose 47
helping individuals within 76
helping professional might 69
helping professional needs 146
helping professional women 42
helping professional working 119
helping professional would 57
helping relationship based 90
helping relationship might 100
helping relationship where 72
helping relationship which 226
helping relationship within 50
helping relationship would 45
helping significant others 57
helping unfortunate people 80
helps individuals adapt 60
helps individuals avoid 64
helps individuals focus 52
helps instructors create 73
helps programmers build 62
helps programmers create 46
helps programmers write 88
hence evolutionary change 51
hence individuals below 71
hence manufacturing costs 41
hence necessarily arise 44
hence necessarily false 63
hence shareholder value 60
hence uncertainty about 44
hence universally valid 143
hilly countryside where 43
hired experienced people 41
hired professional staff 244
holding accountants liable 102
holding alternative views 80
holding appointment under 58
holding aristocracy which 41
holding calvinistic views 40
holding conferences about 65
holding conferences every 48
holding confirmation hearings 64
holding congressional hearings 62
holding corporations liable 181
holding corporations under 41
holding corporations which 205
holding environment where 197
holding environment which 202
holding environment while 46
holding environment within 193
holding exploratory talks 41
holding independent views 226
holding preliminary hearings 188
holding preliminary talks 73
holding progressive views 107
holding reservations about 92
holding responsible posts 604
holding subordinate posts 40
holding substantive posts 47
holding supervisory posts 58
holding ticonderoga might 43
holds conferences every 88
holds confirmation hearings 48
holds expectations about 43
holds independent views 43
holds individuals under 78
holds legislative power 184
holds preliminary hearings 107
holds progressive views 112
holds sentimental value 42
holds significant power 174
holds significant value 42
homes constructed after 42
homes constructed since 41
homes constructed under 48
homes constructed within 44
homes established under 114
hoped chamberlain would 45
hoped christianity would 52
hoped christopher would 54
hoped emancipation would 49
hopes entertained about 87
horse negligently under 40
horse understanding falls 44
hotel proprietors would 43
hotel registration cards 167
hotel registration forms 341
hotel reservations clerk 64
hotel reservations months 45
hotel reservations within 89
hotel restaurants offer 89
hotel restaurants serve 96
hotel restaurants where 58
hotel restaurants which 41
hotly competitive field 54
hotly competitive world 130
hours adolescents spend 48
hours consecutive sleep 44
hours practically every 86
hours underground until 60
hours undisturbed sleep 69
hours victoriously enter 77
house alternately every 71
house appropriated money 46
house constructed after 63
house constructed thereon 67
house constructed under 89
house construction began 146
house construction costs 412
house construction could 153
house construction loans 111
house construction might 90
house construction since 161
house construction sites 102
house construction under 224
house construction where 169
house construction which 556
house construction while 89
house construction within 115
house construction would 262
house development costs 133
house development staff 180
house development would 122
house established under 49
house legislative vetoes 136
house legislature based 98
house legislature which 42
house legislature would 322
house lugubriously known 52
house maintenance costs 124
house maintenance staff 529
house necessarily comes 67
house practically every 412
house professional staff 258
house responsible right 64
house temperature drops 71
house temperature falls 67
house temporarily until 85
house unanimously voted 161
housing arrangements could 52
housing arrangements until 44
housing arrangements which 264
housing constructed after 162
housing constructed since 51
housing constructed under 196
housing construction after 136
housing construction alone 88
housing construction based 49
housing construction began 194
housing construction costs 1200
housing construction could 213
housing construction firms 96
housing construction funds 576
housing construction loans 300
housing construction might 69
housing construction needs 65
housing construction often 93
