ha sample plots 71
he abhors civil 42
he abhors every 45
he abides under 71
he abides within 110
he abused drugs 77
he abused every 116
he abused others 51
he abuses every 53
he abuses people 47
he abuses terms 79
he accept anything 226
he accept defeat 301
he accept either 59
he accept every 49
he accept gifts 61
he accept money 201
he acidly noted 58
he admiring stood 64
he admits about 74
he admits after 103
he admits again 55
he admits anything 51
he admits could 77
he admits defeat 719
he admits every 76
he admits feeling 155
he admits fully 96
he admits guilt 142
he admits knowing 79
he admits later 691
he admits might 98
he admits never 53
he admits others 56
he admits quite 173
he admits rather 69
he admits sadly 98
he admits today 148
he admits under 209
he admits within 45
he admits would 497
he adopts after 89
he adopts either 91
he adopts every 99
he adopts plans 46
he adopts quite 77
he adopts shows 57
he adopts while 243
he adopts would 50
he adored about 77
he adored above 201
he adored could 44
he adored every 77
he adored italy 40
he adored music 385
he adored paris 40
he adored women 190
he adored would 94
he adores first 44
he adores women 74
he advise anything 48
he advise others 65
he afraid about 44
he agreed about 396
he agreed after 804
he agreed again 367
he agreed aloud 70
he agreed could 46
he agreed drily 222
he agreed dryly 440
he agreed easily 535
he agreed either 93
he agreed fully 570
he agreed later 128
he agreed might 121
he agreed never 405
he agreed quite 156
he agreed rather 158
he agreed right 300
he agreed sadly 181
he agreed under 136
he agreed weakly 85
he agreed while 58
he agreed whole 70
he agreed within 66
he agreed would 103
he agreed wryly 187
he agrees about 146
he agrees fully 115
he agrees never 55
he airily waved 57
he allows anything 87
he allows either 42
he allows every 288
he allows human 55
he allows jesus 92
he allows others 665
he allows people 292
he allows reason 73
he allows satan 205
he allows women 144
he almost acted 79
he almost added 1209
he almost alone 1863
he almost asked 566
he almost banged 66
he almost began 1198
he almost bowed 108
he almost breaks 554
he almost broke 5492
he almost bumps 60
he almost burnt 56
he almost burst 1114
he almost calls 73
he almost ceased 721
he almost ceases 271
he almost chose 57
he almost comes 204
he almost could 1954
he almost crept 87
he almost cried 3161
he almost cries 277
he almost daily 1430
he almost dared 281
he almost dares 76
he almost dozed 100
he almost drags 41
he almost drank 50
he almost dreads 58
he almost drops 216
he almost drove 755
he almost echoed 78
he almost echoes 94
he almost ended 341
he almost every 159
he almost faced 94
he almost fails 132
he almost falls 804
he almost feared 1425
he almost feels 566
he almost finds 71
he almost fired 141
he almost first 82
he almost found 440
he almost froze 308
he almost fully 44
he almost gaped 44
he almost gives 343
he almost hated 1547
he almost hates 142
he almost holds 74
he almost hoped 2271
he almost hopes 180
he almost jumps 76
he almost kills 443
he almost knelt 82
he almost knows 249
he almost leaned 144
he almost leaped 370
he almost leaves 94
he almost liked 382
he almost lived 834
he almost lives 255
he almost longed 514
he almost looks 408
he almost loses 1056
he almost loved 495
he almost loves 72
he almost lunged 50
he almost makes 857
he almost might 177
he almost moved 101
he almost needs 46
he almost never 27902
he almost owned 73
he almost pleads 50
he almost poked 77
he almost puked 52
he almost pulls 78
he almost raped 54
he almost raved 41
he almost rises 63
he almost ruins 94
he almost ruled 51
he almost saved 42
he almost seems 2480
he almost shook 500
he almost sinks 40
he almost slept 103
he almost slips 44
he almost speaks 147
he almost spits 40
he almost split 145
he almost spoke 323
he almost sprang 241
he almost steps 126
he almost stole 106
he almost stood 347
he almost stops 73
he almost swept 71
he almost swore 155
he almost takes 262
he almost tells 95
he almost thinks 276
he almost throws 67
he almost thrust 120
he almost tried 119
he almost trips 100
he almost turns 241
he almost upset 684
he almost wants 143
he almost waved 40
he almost weeps 94
he almost wiped 52
he almost would 171
he almost wrote 142
he already acted 120
he already aimed 127
he already asked 204
