ha active ingredient 174
he abides strictly 53
he accept authority 107
he acidly observed 111
he acidly remarked 160
he adduce evidence 53
he adhere strictly 165
he admits candidly 200
he admits committing 44
he admits grudgingly 55
he admits liability 99
he admits ruefully 139
he admits somewhat 49
he adopts concerning 48
he adopts entirely 98
he adopts whatever 118
he adored children 157
he adores children 51
he agreed abruptly 45
he agreed absently 232
he agreed amicably 85
he agreed bitterly 96
he agreed casually 66
he agreed cordially 188
he agreed dubiously 52
he agreed entirely 1651
he agreed gloomily 99
he agreed grudgingly 225
he agreed hoarsely 76
he agreed modestly 44
he agreed placidly 69
he agreed politely 239
he agreed promptly 179
he agreed provided 101
he agreed ruefully 165
he agreed savagely 49
he agreed seriously 101
he agreed silently 64
he agreed solemnly 424
he agreed somberly 55
he agreed somewhat 106
he agreed sullenly 68
he agreed verbally 62
he agrees entirely 371
he agrees otherwise 46
he airily informed 87
he airily remarked 51
he allows children 47
he allows everyone 84
he allows socrates 68
he allows students 109
he almost abandons 71
he almost accepted 167
he almost achieved 556
he almost achieves 57
he almost admitted 198
he almost answered 120
he almost applauds 47
he almost approved 47
he almost attacked 79
he almost attained 101
he almost banished 49
he almost believed 3295
he almost believes 489
he almost bellowed 78
he almost betrayed 138
he almost canceled 51
he almost cannoned 51
he almost capsized 91
he almost captured 152
he almost casually 159
he almost chuckled 141
he almost collided 1711
he almost collides 74
he almost concealed 124
he almost confined 95
he almost deceived 54
he almost declined 58
he almost defiantly 43
he almost demanded 166
he almost deserved 272
he almost deserves 168
he almost despairs 221
he almost despised 645
he almost despises 62
he almost destroys 140
he almost devoured 52
he almost dictated 44
he almost directly 112
he almost disgusts 44
he almost disliked 115
he almost embraced 219
he almost entirely 2456
he almost exceeded 42
he almost excludes 112
he almost exhausts 40
he almost expected 2159
he almost exploded 352
he almost explodes 40
he almost faltered 62
he almost fiercely 85
he almost finished 259
he almost flinched 158
he almost followed 83
he almost forcibly 76
he almost idolized 211
he almost imagined 481
he almost imagines 90
he almost implored 109
he almost inclined 50
he almost incurred 48
he almost insisted 201
he almost insulted 66
he almost invented 133
he almost mentioned 40
he almost murdered 71
he almost muttered 41
he almost overcame 106
he almost overthrew 75
he almost overtook 49
he almost panicked 667
he almost perished 659
he almost perishes 41
he almost poisoned 41
he almost promised 130
he almost promises 66
he almost proposed 57
he almost provoked 70
he almost recalled 60
he almost received 80
he almost recoiled 100
he almost regained 44
he almost regarded 355
he almost rejoiced 198
he almost relented 72
he almost relished 147
he almost repented 342
he almost required 42
he almost resented 291
he almost resigned 145
he almost resolved 467
he almost resolves 96
he almost returned 113
he almost rewrites 51
he almost scuttled 45
he almost shivered 89
he almost shrieked 1012
he almost simpered 42
he almost smothered 341
he almost snatched 225
he almost squeezed 111
he almost stammers 40
he almost startled 70
he almost strangled 702
he almost strangles 74
he almost stumbled 1573
he almost stumbles 100
he almost succeeds 549
he almost succumbs 93
he almost suffered 133
he almost suggests 141
he almost threatened 90
he almost tottered 57
he almost trembled 439
he almost vanished 71
he almost ventured 68
he almost welcomed 569
he almost welcomes 95
he almost whispers 290
he almost whistled 52
he almost wondered 480
he almost worships 373
he almost wrenched 44
he already accepted 291
he already achieved 80
he already acquired 89
he already admitted 139
he already answered 78
he already attached 62
he already attained 118
he already believed 2189
he already believes 1576
he already betrayed 78
he already combined 50
he already commands 104
he already composed 51
he already contains 53
he already controls 300
he already declared 125
he already declares 44
he already descried 123
he already deserved 121
he already deserves 43
he already despised 135
he already destined 76
he already detected 167
he already detested 88
he already directed 46
he already disliked 186
he already dislikes 45
he already displays 249
he already employed 201
he already excelled 246
he already exhibits 72
he already expected 500
he already finished 69
he already foresees 183
he already glimpsed 53
he already governed 44
he already harbored 68
he already imagined 288
he already imagines 110
he already inclined 61
he already included 60
he already inhabits 68
he already intended 352
he already involved 44
he already listened 54
he already mentioned 140
he already numbered 59
he already observed 76
he already obtained 72
he already occupied 2018
he already occupies 416
he already operates 54
he already performs 70
he already pictured 127
he already prepared 121
he already probably 83
he already promised 200
he already proposed 70
he already provided 77
he already received 513
he already receives 208
he already reckoned 71
he already referred 120
he already regarded 1209
he already regretting 112
he already rejected 66
he already repented 236
he already resented 41
he already returned 66
he already revolved 60
he already secretly 57
he already suffered 459
he already suggests 65
he already supplied 43
he already supposes 47
he already surmised 48
he already suspects 1042
he already threatened 40
he always abandons 83
he always abhorred 210
he always abounded 45
he always absented 49
he always accepted 1333
he always accorded 329
he always accosted 41
he always achieved 259
he always achieves 110
he always acquired 164
he always actually 59
he always adjusted 58
he always admitted 729
he always advanced 237
he always advances 47
he always affected 2880
he always affirmed 494
he always afforded 80
he always alighted 48
he always anchored 41
he always answered 4865
he always anxiously 50
he always approved 313
he always approves 41
he always ardently 61
he always artfully 46
he always ascribed 739
he always ascribes 71
he always assented 91
he always asserted 1334
he always assigned 281
he always assisted 168
he always attached 716
he always attaches 90
he always attacked 364
he always attained 101
he always attempts 692
he always attended 2025
he always attracts 81
he always awakened 106
he always balanced 163
he always believed 8384
he always believes 797
he always bestowed 430
he always betrayed 129
he always bitterly 62
he always borrowed 171
he always candidly 50
he always captured 58
he always cautioned 197
he always cheerful 44
he always chuckled 79
he always closeted 57
he always clutched 53
he always combated 59
he always combined 191
he always combines 66
he always commands 254
he always comments 58
he always compared 212
he always compares 99
he always complied 380
he always complies 55
he always composed 257
he always concealed 615
he always conceded 87
he always condemns 60
he always conducts 113
he always confided 161
he always confined 155
he always confines 44
he always conforms 70
he always confused 272
he always confuses 59
he always connects 100
he always conquers 59
he always conscious 53
he always consider 82
he always consoled 85
he always consults 347
he always consumed 58
he always contends 40
he always continue 86
he always controls 40
he always conveyed 260
he always cordially 48
he always corrects 74
he always credited 215
he always deceived 61
he always declared 3351
he always declares 454
he always declined 1877
he always declines 113
he always deducted 43
he always defended 1194
he always deferred 1264
he always delights 309
he always delivers 220
he always demanded 1141
he always demurred 59
he always departed 72
he always depended 308
he always depicted 101
he always deplored 245
he always deserted 65
he always deserved 153
he always deserves 56
he always designed 168
he always despairs 77
he always despised 629
he always despises 56
he always destroys 43
he always detected 78
he always detested 469
he always develops 90
he always devoured 47
he always devoutly 49
he always dictated 265
he always differed 79
he always directed 420
he always disliked 1244
he always displays 527
he always disposed 144
he always earnestly 100
he always embodied 52
he always embodies 47
he always embraced 117
he always employed 3089
he always encamped 187
he always enclosed 69
he always endeavors 95
he always endorsed 41
he always enforced 140
he always enjoined 76
he always enlarged 51
he always eschewed 82
he always escorted 43
he always espoused 149
he always esteemed 390
he always examined 341
he always examines 66
he always exceeded 61
