hail delightful hopes 97
hair arrangement which 53
hair beautifully waved 58
hair carelessly falling 66
hair carelessly heaped 72
hair completely white 372
hair contrasted oddly 57
hair disappeared beneath 46
hair disappeared under 53
hair eventually grows 47
hair fashionably short 83
hair frequently falls 69
hair gracefully flowing 123
hair immediately above 210
hair immediately after 220
hair moderately short 46
hair relatively short 98
hair strawberry blond 134
hair vigorously until 58
half apologetic about 86
half apologetic shrug 75
half apologetic smile 176
half articulate cries 80
half articulate sighs 40
half articulate sound 55
half articulate voice 53
half articulate words 44
half basketball court 134
half brilliantly white 42
half cataleptic baker 45
half coagulated blood 133
half complained about 83
half consciously aware 42
half crankshaft speed 2765
half demolished walls 54
half determined never 189
half disappeared under 121
half distracted about 97
half distracted mother 131
half doubtfully again 41
half extinguished fires 89
half horsepower engine 199
half horsepower motor 402
half hysterical laugh 322
half immediately after 656
half manuscript pages 108
half melancholy feeling 100
half melancholy smile 306
half millennium after 207
half millennium later 306
half millennium since 174
half percentage point 4036
half reliability method 208
half reliability ranged 99
half suffocated under 163
half suffocated voice 156
half suppressed groan 232
half suppressed laugh 178
half suppressed smile 614
half teaspoonful doses 1054
half teaspoonful every 625
half teaspoonful twice 40
half unconscious feeling 115
half unconscious queen 278
half unconscious sense 42
half unconscious state 760
hall completely armed 68
hall downstairs where 56
hall immediately after 378
hall immediately below 41
hall originally built 43
halt immediately after 176
hand absolutely still 82
hand calculation method 183
hand calculation would 119
hand calculator which 45
hand carelessly resting 59
hand carelessly thrust 52
hand complained about 45
hand completely under 71
hand constantly fixed 58
hand coordinate frame 123
hand dangerously close 115
hand delicately holding 40
hand disappeared beneath 154
hand disappeared under 204
hand disappeared within 47
hand encounters which 100
hand experience about 836
hand experience alone 41
hand experience could 185
hand experience rather 215
hand experience seems 109
hand experience shows 367
hand experience under 121
hand experience which 874
hand experience while 42
hand experience working 384
hand experience would 213
hand frequently moves 93
hand geometrical drawing 3840
hand gracefully resting 42
hand immediately above 342
hand immediately after 2409
hand immediately began 76
hand immediately below 272
hand immediately moved 54
hand immediately under 74
hand impressions about 145
hand impressions which 89
hand industries which 74
hand information about 22334
hand information based 95
hand information comes 41
hand information could 172
hand information given 258
hand information rather 159
hand information which 1331
hand information would 152
hand instrument panel 90
hand instrument which 94
hand observation which 130
hand photograph shows 895
hand preference would 51
hand rectilinear motion 44
hand sculptured again 53
hand sentiments which 53
hand statements about 172
hand sufficient funds 191
hand sufficient money 80
hand vigorously while 45
hand windshield wiper 119
hanging carelessly about 159
hanging desolately under 43
hanging electrical wires 54
hanging immediately above 168
hanging innocently close 69
hanging listlessly about 156
hanging vertically below 144
hanging vertically under 54
hangs immediately above 96
hangs vertically below 159
hangs vertically under 72
