ha research institute 52
he abjured calvinism 57
he abolish altogether 73
he absorbs knowledge 54
he accepts aristotle 157
he accepts criticism 75
he accepts literally 40
he accepts passively 43
he accepts sacrifice 44
he accused aristotle 63
he accused churchill 52
he accused everybody 58
he accused frederick 54
he accused gladstone 48
he accused jefferson 73
he accused president 225
he accused roosevelt 149
he accused secretary 44
he accuses aristotle 50
he accuses christians 74
he accuses heidegger 45
he acquire knowledge 147
he acquire possession 43
he adapted classical 52
he adduced arguments 73
he adduced testimony 40
he adduces arguments 153
he adduces instances 132
he adhered faithfully 367
he adhered immovably 40
he adhered throughout 676
he adheres faithfully 89
he adheres throughout 100
he adjured jefferson 70
he admired alexander 106
he admired aristotle 45
he admired churchill 87
he admired coleridge 42
he admired englishmen 88
he admired especially 215
he admired exceedingly 133
he admired extremely 106
he admired fervently 47
he admired frederick 65
he admired immensely 456
he admired intensely 203
he admired mussolini 87
he admired nietzsche 54
he admired president 57
he admired rembrandt 48
he admired roosevelt 68
he admired stevenson 51
he admired throughout 41
he admired wordsworth 85
he admires especially 46
he admires immensely 53
he admires roosevelt 40
he adopted aristotle 70
he adopted classical 43
he adopted different 273
he adopted generally 40
he adopted precisely 121
he adopted sometimes 51
he adopted throughout 198
he advance gradually 123
he advised accordingly 55
he advised alexander 126
he advised americans 139
he advised christians 98
he advised churchill 118
he advised everybody 78
he advised ferdinand 68
he advised frederick 47
he advised gladstone 45
he advised jefferson 89
he advised moderation 188
he advised parliament 43
he advised physicians 45
he advised plaintiff 50
he advised president 1127
he advised reporters 46
he advised roosevelt 198
he advised secretary 192
he advised submission 87
he advises christians 105
he advises companies 46
he advises moderation 55
he advises somewhere 41
he advises tolerance 45
he affects ignorance 57
he affirms elsewhere 92
he affirms expressly 55
he affirms repeatedly 56
he affixed proposals 48
he affords protection 111
he alleged contained 53
he alleges compliance 43
he allowed accordingly 49
he allowed alexander 40
he allowed christians 71
he allowed confirmed 73
he allowed different 49
he allowed discussion 73
he allowed everybody 53
he allowed exceptions 52
he allowed opposition 40
he allowed parliament 115
he allowed political 171
he allowed prejudice 46
he allowed secretary 44
he alluded pointedly 127
he alludes elsewhere 57
he alludes especially 72
he alludes playfully 77
he alludes repeatedly 55
he amended carefully 48
he amended hurriedly 41
he amusingly described 45
he amusingly describes 85
he answers correctly 918
he answers evasively 115
he answers objections 127
he answers pleasantly 56
he answers truthfully 148
he appealed especially 193
he appealed primarily 86
he appealed repeatedly 63
he appeared accordingly 88
he appeared afterward 60
he appeared altogether 254
he appeared attentive 76
he appeared backstage 104
he appeared cautiously 81
he appeared committed 43
he appeared concerned 167
he appeared confident 360
he appeared contented 228
he appeared convinced 249
he appeared decidedly 67
he appeared delighted 414
he appeared depressed 383
he appeared desperate 40
he appeared destitute 186
he appeared different 219
he appeared dignified 55
he appeared disguised 122
he appeared displeased 82
he appeared disturbed 134
he appeared downright 106
he appeared eminently 64
he appeared encircled 44
he appeared especially 118
he appeared evidently 145
he appeared exceedingly 295
he appeared exhausted 201
he appeared extremely 1005
he appeared flustered 48
he appeared generally 157
he appeared genuinely 490
he appeared gradually 112
he appeared gratified 150
he appeared impatient 67
he appeared impervious 85
he appeared impressed 70
he appeared incapable 651
he appeared incognito 53
he appeared increasingly 252
he appeared instantly 89
he appeared intensely 43
he appeared irritated 76
he appeared literally 76
he appeared motionless 59
he appeared officially 137
he appeared oppressed 63
he appeared outwardly 326
he appeared overjoyed 56
he appeared painfully 65
he appeared peculiarly 96
he appeared perfectly 2370
he appeared perplexed 87
he appeared possessed 55
he appeared powerless 40
he appeared precisely 45
he appeared presently 45
he appeared primarily 69
he appeared reasonably 88
he appeared receptive 49
he appeared refreshed 74
he appeared regularly 821
he appeared reluctant 443
he appeared repeatedly 121
he appeared satisfied 1895
he appeared sincerely 67
he appeared skeptical 49
he appeared sometimes 481
he appeared supremely 87
he appeared surprised 1012
he appeared suspicious 69
he appeared terrified 76
he appeared thoroughly 282
he appeared thoughtful 274
he appeared throughout 148
he appeared tolerably 178
he appeared uncertain 254
he appeared undaunted 206
he appeared undecided 224
he appeared uninjured 94
he appeared uninvited 64
he appeared unruffled 145
he appeared unusually 351
he appeared unwillingly 50
he appeared yesterday 176
he applied artificial 43
he applied different 103
he applied elsewhere 76
he applied especially 52
he applied geological 60
he applied liberally 92
he applied poultices 66
he applied repeatedly 65
he applied suggested 43
he applied throughout 99
he applies different 100
he applies elsewhere 55
he applies knowledge 42
he applies scripture 43
he applies throughout 65
he aroused admiration 61
he aroused hostility 230
he aroused opposition 244
he aroused suspicions 95
he aroused widespread 114
he arranged carefully 105
he arranged privately 42
he arrests madeleine 41
he arrived accordingly 44
he arrived backstage 46
he arrived destitute 78
he arrived exhausted 195
he arrived incognito 160
he arrived penniless 317
he arrived precisely 84
he arrived presently 54
he arrived september 429
he arrived somewhere 104
he arrived uninvited 56
he arrived yesterday 669
he arrives somewhere 51
he asserts elsewhere 260
he asserts expressly 55
he asserts repeatedly 156
he asserts throughout 52
he assigns different 200
he assumed additional 184
he assumed contained 57
he assumed correctly 235
he assumed different 163
he assumed effective 51
he assumed everybody 55
he assumed executive 111
