ideals regarding education 53
image analyzing computer 423
image analyzing software 67
image becomes apparent 180
image becomes brighter 280
image becomes confused 444
image becomes conscious 55
image becomes distinct 87
image becomes dominant 58
image becomes enriched 53
image becomes explicit 43
image becomes inverted 67
image becomes negative 111
image becomes palpable 62
image becomes possible 46
image becomes slightly 64
image becomes somewhat 50
image capture software 216
image closely resembling 80
image content analysis 239
image density increases 288
image density produced 44
image depends directly 76
image depends entirely 100
image display functions 149
image display hardware 101
image display programs 111
image display software 211
image focuses attention 43
image library download 59
image network graphics 416
image position relative 43
image quality achieved 312
image quality analysis 193
image quality compared 890
image quality criterion 242
image quality decreases 286
image quality degrades 382
image quality improved 141
image quality improves 602
image quality increases 528
image quality obtained 918
image quality possible 229
image quality problems 316
image quality produced 560
image quality provided 287
image quality required 306
image quality requires 178
image quality slightly 62
image relates directly 49
image remains constant 387
image remains unchanged 298
image spectra disperse 63
image splitting eyepiece 51
image storage capacity 237
image strongly suggests 101
image texture analysis 796
image usually consists 60
image usually contains 108
image usually includes 44
image usually involves 52
image usually requires 80
imaging becomes possible 48
imaging devices continue 86
imaging following insertion 175
imaging process involves 94
imaging regional cerebral 74
imaging research suggests 52
imaging results obtained 58
imaging studies indicate 781
imaging studies indicating 49
imaging studies obtained 233
imaging studies reported 46
imaging studies reviewed 142
imaging studies suggesting 45
imaging studies suggests 65
imaging systems designed 136
imaging systems requires 44
imply certain definite 46
imply certain relations 57
imply certain specific 40
imply official approval 147
imply several distinct 64
imply supreme authority 256
imply ulterior benefits 52
imply unusual tightening 46
incur certain benefits 117
incur certain disgrace 85
incur certain expenses 474
incur election expenses 100
incur eternal damnation 307
incur general liability 152
incur medical expenses 589
incur operating expenses 139
incur primary liability 80
incur similar expenses 63
incur unusual expenses 61
incur useless ridicule 49
index against wavelength 43
index becomes negative 65
index between december 56
index between particle 47
index crystal direction 50
index crystal surfaces 95
index denotes summation 46
index differs slightly 66
index entries required 102
index excluding mortgage 328
index figures indicate 59
index futures contract 13619
index futures positions 96
index implies summation 269
index journal articles 180
index measures relative 51
index numbers approach 63
index numbers assigned 114
index numbers compiled 281
index numbers computed 479
index numbers designed 78
index numbers employed 68
index numbers expressing 76
index numbers indicate 590
index numbers indicating 142
index numbers involves 61
index numbers obtained 439
index numbers prepared 187
index numbers reflecting 87
index numbers relative 57
index numbers required 43
index numbers weighted 75
index remains constant 390
index remains unchanged 277
index strongly predicts 42
index usually increases 47
inept medical treatment 87
inert material containing 48
inert material inserted 144
inert mineral materials 41
inert objects proceeds 40
inert organic materials 70
inert organic solvents 587
inert plastic materials 109
inert polymer surfaces 210
inert support materials 83
infer general patterns 44
ingesting tylenol capsules 56
inlet dynamic pressure 213
inner alveolar membrane 227
inner balance achieved 46
inner cabinet composed 48
inner cabinet consisting 104
inner chamber containing 237
inner chamber contains 151
inner circles indicate 51
inner circles revolved 54
inner concave surfaces 57
inner council composed 51
inner council consisting 46
inner creative activity 94
inner creative impulses 45
inner creative potential 150
inner diameter increases 91
inner diameter slightly 122
inner elastic membrane 1013
inner familiar relations 56
inner lateral ligament 59
inner lateral moraines 118
inner margins parallel 124
inner margins slightly 71
inner margins straight 151
inner medulla contains 67
inner muscles clenched 495
inner muscles contract 61
inner muscles squeezed 47
inner muscles tightening 58
inner northern entrance 66
inner orbital electron 551
inner package containing 51
inner process enforces 41
