ideally illuminated space 208
ideally proportioned human 50
igneous crystalline rocks 119
igneous metamorphic rocks 46
ignite combustible gases 58
ignite inflammable gases 73
ignore differences which 77
ignore differences within 103
ignore established rules 44
ignore opportunity costs 282
ignore transactions costs 240
ignore uncertainty about 48
ignoring differences which 49
ignoring differences within 83
ignoring disagreeable facts 47
ignoring distinctions which 40
ignoring established rules 46
ignoring opportunity costs 238
ignoring transactions costs 386
images demonstrate focal 58
immune compromised hosts 100
immune prophylaxis after 47
immune suppressant drugs 114
immune suppressive agent 41
immune suppressive drugs 204
impact affirmative action 144
impact assessments could 168
impact assessments under 157
impact assessments which 260
impact assessments within 95
impact assessments would 220
impact bombardment rates 59
impact polystyrene sheet 110
impact shareholder value 144
impair ventricular filling 566
impart undesirable odors 50
impeach credibility under 40
impede ventricular filling 113
import commodities rather 42
import commodities which 550
import illustrator files 162
import intermediate goods 474
import prescription drugs 455
import prohibitions which 91
import restrictions after 225
import restrictions aimed 169
import restrictions alone 252
import restrictions apply 125
import restrictions based 343
import restrictions began 117
import restrictions could 693
import restrictions exist 114
import restrictions might 411
import restrictions often 83
import restrictions rather 262
import restrictions shall 472
import restrictions since 194
import restrictions still 163
import restrictions under 2028
import restrictions until 142
import restrictions where 72
import restrictions which 2232
import restrictions while 161
import restrictions within 149
import restrictions would 2089
import substitutes rather 65
import substitutes which 220
import substitutes would 132
import substitution after 284
import substitution aimed 124
import substitution alone 209
import substitution based 681
import substitution began 429
import substitution could 1093
import substitution crops 267
import substitution drive 609
import substitution ended 44
import substitution firms 194
import substitution goods 315
import substitution growth 396
import substitution items 108
import substitution makes 41
import substitution might 331
import substitution model 6874
import substitution often 337
import substitution period 1532
import substitution phase 2302
import substitution rather 1091
import substitution seems 169
import substitution since 319
import substitution stage 980
import substitution still 114
import substitution takes 231
import substitution tends 230
import substitution trade 313
import substitution under 722
import substitution until 122
import substitution where 256
import substitution which 2195
import substitution while 313
import substitution within 514
import substitution would 1751
import transactions which 49
impose affirmative action 232
impose constraints which 161
impose differential costs 86
impose differential rates 48
impose differential taxes 48
impose inheritance taxes 443
impose intolerable costs 59
impose opportunity costs 315
impose progressive taxes 92
impose prohibitive costs 74
impose restrictions after 41
impose restrictions based 96
impose restrictions under 136
impose restrictions where 43
impose restrictions which 1018
impose restrictions within 41
impose restrictive rules 85
impose significant costs 2293
impose significant fines 76
impose significant legal 45
impose significant risks 74
impose significant short 40
impose significant social 122
impose transactions costs 55
impose unnecessary costs 526
impose unnecessary risks 47
impose unreasonable costs 175
impose unreasonable risks 60
impose unreasonable terms 179
impose unwarranted costs 47
imposing affirmative action 68
imposing consecutive terms 93
imposing constraints which 57
imposing formalities which 76
imposing inheritance taxes 117
imposing progressive taxes 47
imposing prohibitive taxes 57
imposing restrictions based 46
imposing restrictions under 52
imposing restrictions which 280
imposing restrictive rules 51
imposing significant costs 346
imposing spectacular array 48
imposing unnecessary costs 226
imposing unreasonable costs 50
imposing unreasonable terms 196
inborn beguilement which 57
inborn differences which 109
inborn personality trait 78
incest prohibitions which 40
incest prohibitions within 64
income accumulated after 129
income accumulated since 55
income accumulated thereon 50
income accumulated under 88
income accumulated until 84
income accumulated while 62
income accumulated within 77
income beneficially owned 94
income communities build 292
income communities could 97
income communities often 179
income communities where 656
income communities which 188
income communities within 128
income communities would 181
income comparisons based 106
income compensated price 116
income compensation would 41
income constituted about 43
income constitutes about 71
income convergence within 64
