sachems complaints 53 saddest
afflictions 71 saddest reproaches
89 saddest spectacles 176
saddled horizontal 60 saddled
government 231 saddled inheritors
59 saddled immediately 59
sadists masochists 202 sadists
psychopaths 72 sadness appropriate
85 sadness compounded 49
sadness heightened 42 sadness
inevitable 50 sadness overwhelming
146 sadness bereavement 185
sadness experience 70 sadness
inevitable 52 sadness loneliness
83 sadness melancholy 124
sadness puritanism 110 sadness
renunciation 67 sadness repentance
52 sadness resignation 153
sadness unrequited 70 sadness
bitterness 407 sadness desperation
42 sadness discomfort 126
sadness discontent 165 sadness
excitement 115 sadness frustration
580 sadness gloominess 114
sadness indignation 97 sadness
loneliness 1826 sadness melancholia
87 sadness melancholy 1359
sadness misfortune 97 sadness
perplexity 68 sadness resentment
138 sadness resignation 223
sadness seriousness 149 sadness
tearfulness 198 sadness tediousness
43 sadness transcending 57
sadness implacable 50 sadness
experience 58 saffron cultivated
212 sailors sevastopol 55
sailors valparaiso 66 sailors
compromise 51 sailors particular
628 sailors sevastopol 51
sailors valparaiso 158 sailors
marseilles 82 sailors destruction
463 sailors surrendering 63
sailors understand 137 saintly
comparison 138 saintly comparison
73 salient particular 187
salient comparison 85 salient
discussions 130 salient distinguishing
96 salient particular 387
salient accessible 171 salient
importance 63 salient individual
198 salient particular 125
sallies buffoonery 46 sallies
discontent 298 sallies enthusiastic
46 sallies excellence 45
sallies imagination 1710 sallies
impatience 547 sallies indignation
51 sallies infidelity 144
sallies resentment 191 sallies
speculation 90 saloons frequented
90 saloons fashionable 60
saloons versailles 505 saluted
acclamation 56 saluted reverently
40 saluted courteously 139
saluted profoundly 51 saluted
ambassador 60 saluted archbishop
61 saluted assemblage 91
saluted assistants 43 saluted
astonished 126 saluted bystanders
56 saluted chancellor 58
saluted commandant 89 saluted
congregation 116 saluted lieutenant
340 saluted magistrate 66
saluted portuguese 157 saluted
spectators 207 saluted successful
45 saluted vicegerent 78
saluted courteously 371 saluted
gracefully 49 salutes celebration
54 salutes congregation 204
salvage investment 44 salvage
considered 91 salvage determined
50 salvage extinguished 50
salvage impossible 85 salvage
demolished 85 salvage jeopardized
353 salvage neutrality 48
salvage shipwrecks 174 salvage
surgically 264 salvage assistance
672 salvage conference 109
salvage deteriorating 120 salvage
distinction 43 salvage enterprise
81 salvage experiment 46
salvage friendship 191 salvage
government 98 salvage historical
46 salvage individual 450
salvage information 49 salvage
institution 65 salvage investment
107 salvage negotiations 133
salvage traditional 323 salvaging
shipwrecks 49 salvaging individual
40 salvaging investment 90
sampled frequently 54 sampled
appropriate 285 sampled relatively
67 sampled successive 125
sampled accordance 990 sampled
comparison 44 sampled conjunction
45 sampled subsequent 98
sampled successive 135 sampled
sufficient 90 sampled triplicate
188 sampled determined 153
sampled homogeneous 65 sampled
relatively 141 sampled successive
48 sampled synthesized 53
sampled atmosphere 134 sampled
delicacies 59 sampled excitations
77 sampled literature 48
sampler determined 42 sampler
essentially 58 sampler introduced
40 sampler traditional 41
samples appropriate 72 samples
calculated 51 samples comparable
46 samples determined 624
samples homogeneous 47 samples
indicators 89 samples representing
74 samples appropriate 139
samples comparable 41 samples
designated 41 samples relatively
133 samples successive 96
samples considered 56 samples
identified 44 samples application
65 samples centrifuging 43
samples comparison 221 samples
continuous 49 samples evaporation
227 samples polymerase 280
samples accordance 624 samples
appropriate 108 samples chloroform
115 samples combination 136
samples comparison 726 samples
compression 58 samples conjunction
189 samples containers 111
samples controlled 69 samples
dependence 68 samples duplicates
50 samples educational 52
samples experiment 274 samples
individual 186 samples laboratory
538 samples parentheses 290
samples particular 755 samples
preference 44 samples preparation
124 samples quantities 77
samples relatively 96 samples
subsequent 94 samples successive
83 samples sufficient 189
samples triplicate 651 samples
acceptable 69 samples apparently
65 samples applicable 55
samples appropriate 164 samples
attributed 195 samples calculated
620 samples comparable 210
samples completely 98 samples
considered 591 samples consistent
435 samples controlled 115
samples correlated 66 samples
determined 1696 samples eliminated
97 samples equivalent 173
samples essentially 240 samples
frequently 223 samples gratefully
81 samples identified 59
samples immediately 40 samples
imperative 52 samples impossible
123 samples inadequate 48
samples indicative 155 samples
influenced 93 samples introduced
82 samples maintained 133
samples multiplied 62 samples
negligible 168 samples potentially
50 samples preferable 85
samples relatively 660 samples
remarkable 63 samples remarkably
77 samples restricted 97
samples sufficient 275 samples
suggestive 45 samples summarized
257 samples undertaken 89
samples acceptable 208 samples
accurately 61 samples activities
258 samples adolescent 831
samples aggregates 88 samples
aggressive 94 samples alcoholics
407 samples antibiotics 129
samples antibodies 96 samples
apparently 253 samples applicants
131 samples application 79
samples appropriate 448 samples
architects 60 samples assessment
83 samples atmosphere 59
samples automobile 87 samples
background 54 samples bituminous
310 samples borderline 56
samples businesses 89 samples
buttermilk 68 samples candidates
134 samples carbonized 313
samples caregivers 113 samples
characters 61 samples chemically
197 samples chimpanzee 152
samples chloroform 102 samples
cigarettes 173 samples classrooms
78 samples clinically 520
samples collective 41 samples
comparable 505 samples completely
96 samples components 164
samples composites 66 samples
composition 313 samples compressed
127 samples condensate 134
samples continuous 383 samples
controlled 236 samples cottonseed
176 samples cultivated 424
samples curriculum 99 samples
cytochrome 155 samples decorative
77 samples defendants 50
samples definitions 68 samples
dehydrated 211 samples delinquent
394 samples democratic 42
samples desiccated 151 samples
discharges 50 samples disordered
50 samples distillate 109
samples ecological 50 samples
ecosystems 158 samples educational
94 samples electrical 71
samples electronic 91 samples
elementary 396 samples embroidery
139 samples emotionally 44
samples equivalent 389 samples
essentially 105 samples evaporated
198 samples exceptional 79
samples executives 76 samples
experience 202 samples experiment
128 samples explosives 255
samples expository 42 samples
expressive 96 samples fertilizer
122 samples fingerprints 50
samples fissionable 119 samples
foodstuffs 257 samples fossilized
40 samples freshwater 192
samples government 187 samples
granulated 142 samples groundnuts
210 samples guatemalan 46
samples hemoglobin 92 samples
historical 172 samples homogeneous
275 samples homosexual 231
samples hornblende 56 samples
households 1791 samples housewives
76 samples identified 98
samples illuminating 93 samples
immigrants 100 samples inadequate
81 samples incomplete 55
samples incumbents 68 samples
indigenous 192 samples individual
3695 samples industries 204
samples informants 253 samples
information 682 samples inoculated
139 samples inpatients 44
samples interaction 351 samples
interviews 121 samples intestinal
195 samples invitations 70
samples laboratory 252 samples
legislation 46 samples literature
346 samples localities 79
samples management 107 samples
manuscript 84 samples measurement
51 samples mechanical 56
samples medications 115 samples
minorities 45 samples moderately
50 samples molybdenum 194
samples needlework 60 samples
negligible 102 samples newspapers
74 samples objectives 76
samples observation 89 samples
occupations 91 samples paragraphs
48 samples particular 449
samples penicillin 290 samples
penmanship 108 samples periodicals
41 samples peripheral 480
samples pesticides 91 samples
philippine 123 samples phosphorus
56 samples physically 63
samples populations 1293 samples
portuguese 96 samples potentially
107 samples precambrian 102
samples presumably 131 samples
principals 51 samples promotional
60 samples propaganda 75
samples properties 48 samples
protestant 92 samples protoplasm
80 samples psychiatric 534
samples psychology 41 samples
pulverized 162 samples quaternary
44 samples radioactive 1040
samples rectangular 82 samples
refractory 69 samples registered
325 samples relatively 740
samples residential 65 samples
restricted 97 samples rheumatoid
44 samples sandstones 84
samples schoolwork 80 samples
scientific 162 samples scientists
158 samples securities 58
samples shakespeare 132 samples
signatures 65 samples specialized
68 samples spontaneous 781
samples stabilized 70 samples
statements 146 samples sterilized
229 samples structural 80
samples structures 71 samples
stutterers 64 samples substances
418 samples substantial 85
samples subsurface 351 samples
successful 368 samples successive
139 samples sufficient 1094
samples superficial 58 samples
supposedly 102 samples suspensions
59 samples techniques 63
samples terrestrial 208 samples
testicular 87 samples therapeutic
70 samples thicknesses 118
samples traditional 396 samples
translation 58 samples unemployed
142 samples unfiltered 64
samples university 1067 samples
unpolluted 64 samples unselected
61 samples upholstery 152
samples utterances 76 samples
vegetables 328 samples vertebrate
46 samples volunteers 181
samples vulcanized 147 samples
wallpapers 62 samples application
67 samples individual 49
samples successive 49 samples
categories 80 samples components
68 samples continuous 59
samples fingerprints 52 samples
individual 93 samples information
195 samples laboratory 68
samples literature 99 samples
populations 754 samples promotional
81 samples prototypes 129
samples replicates 119 samples
simulations 70 samples appropriate
72 samples atmosphere 58
samples background 91 samples
calculated 44 samples coefficient
79 samples composition 85
samples confidence 64 samples
continuous 94 samples correlation
184 samples difference 445
samples efficiency 52 samples
electrical 81 samples individual
126 samples information 81
samples laboratory 84 samples
likelihood 49 samples percentage
223 samples proportions 45
samples accurately 117 samples
adequately 107 samples appropriate
149 samples compensate 106
samples distribute 91 samples
facilitate 186 samples generalize
54 samples households 43
samples illustrate 677 samples
individual 68 samples interested
76 samples laboratory 576
samples populations 2275 samples
researchers 72 samples scientists
50 samples supplement 55
samples understand 125 samples
determined 72 samplings populations
43 samurai attendance 97
samurai government 88 samurai
particular 482 sanction application
263 sanction arrangement 710
sanction enterprise 118 sanction
experiment 45 sanction individual
314 sanction infringement 41
sanction institution 88 sanction
investment 49 sanction appropriate
91 sanction legitimate 108
sanction government 349 sanction
substantial 94 sanction accordance
493 sanction experience 41
sanction individual 314 sanction
particular 170 sanction traditional
