he an elderly man 123
he at liberty than 125
he at moments saw 80
he at present does 85
he at present had 94
he at present has 237
he at present lay 186
he at present saw 41
he at present was 128
he at variance with 163
he be accused and 43
he be admired for 44
he be adorned with 66
he be allowed and 68
he be allowed any 49
he be allowed for 149
he be allowed his 221
he be allowed one 246
he be allowed out 55
he be allowed two 66
he be assured that 1655
he be blessed and 95
he be blessed for 145
he be blessed who 42
he be blessed with 1431
he be blotted out 55
he be bothered with 155
he be branded with 67
he be brought out 134
he be capable and 101
he be careful and 58
he be careful not 187
he be carried off 85
he be carried out 62
he be cautious and 43
he be certain she 44
he be certain that 3551
he be charged for 93
he be charged with 2688
he be charmed with 66
he be classed with 154
he be content that 43
he be content with 3911
he be covered with 216
he be crowned with 207
he be cunninger than 64
he be defeated and 53
he be departing for 58
he be deposed and 73
he be deserving and 264
he be drafted for 47
he be dragged out 147
he be elected and 87
he be elected for 114
he be endowed with 1168
he be exalted that 117
he be excused for 244
he be exposed and 67
he be faithful and 125
he be familiar with 1098
he be faulted for 147
he be favored with 72
he be flogged and 83
he be following her 66
he be following you 68
he be foolish and 40
he be fretful and 57
he be friends with 128
he be granted his 145
he be granted one 84
he be granted this 73
he be greeted with 41
he be guarded and 58
he be happier than 168
he be happier with 70
he be haughty and 76
he be himself and 41
he be honored with 122
he be judicial and 58
he be married and 91
he be naughty and 45
he be ordered and 60
he be painted one 214
he be patient and 77
he be patient with 100
he be perfect and 50
he be pierced and 58
he be pointed out 53
he be praised and 100
he be praised for 252
he be present and 180
he be present for 81
he be present with 190
he be pressed for 59
he be prudent and 59
he be refined and 78
he be released and 240
he be released for 85
he be removed and 182
he be removed for 86
he be saddled with 87
he be searched for 129
he be shocked and 48
he be sincere and 183
he be smitten that 52
he be smitten with 70
he be stronger and 41
he be stronger than 152
he be thankful for 453
he be touched with 59
he be trained and 90
he be trained for 129
he be trembling for 76
he be trusted not 157
he be trusted with 685
he be unaware that 118
he be unwilling that 43
he be upright and 45
he be visited with 66
he be whipped and 47
he be worthier set 118
he be wounded and 70
he by degrees got 44
he by himself and 58
he by himself can 53
he by himself has 40
he do against all 49
he do against this 56
he do believe that 445
he do certain things 67
he do conquer and 73
he do everything that 119
he do execute them 55
he do penance for 51
he do receive any 48
he do require our 124
he go against his 155
he go forward and 58
he go forward with 102
he go outside and 116
he in alliance with 57
he in america and 71
he in cahoots with 89
he in company with 805
he in concert with 125
he in contact with 393
he in delight both 197
he in everything that 46
he in general can 47
he in general does 62
he in general has 53
he in general was 42
he in harmony with 316
he in himself that 105
he in himself was 49
he in observing his 51
he in sympathy with 360
he in temples and 148
he in trouble for 61
he in trouble with 143
he is abashed and 75
he is abusive and 86
he is accepting and 89
he is accepting her 68
he is accepting his 116
he is accepting that 160
he is accepting them 55
he is accepting this 51
he is accused and 674
he is accused are 100
he is accused but 55
he is accused for 149
he is accused had 291
he is accused has 162
he is accused may 45
he is accused not 47
he is accused that 93
he is accused was 70
he is accused with 50
he is achieving and 50
he is achieving his 319
he is achieving this 59
he is acquiring and 78
he is acquiring his 107
he is acquiring new 66
he is acquiring this 43
he is acutely and 51
he is acutely ill 231
he is adamant and 100
he is adamant that 2714
he is adapted and 51
he is adapted for 168
he is adjusting his 162
he is admired and 561
he is admired for 1189
he is admired not 45
he is admitting his 120
he is admitting that 1498
he is adopted and 330
he is adorned with 967
he is advancing and 114
he is advancing any 67
he is advancing his 205
he is advancing with 150
he is advised and 492
he is advised not 478
he is advised that 1873
he is affable and 446
he is affable with 42
he is affirming his 180
he is affirming that 738
he is against all 851
he is against any 347
he is against both 42
he is against god 107
he is against her 57
he is against him 106
he is against his 149
he is against our 63
he is against than 52
he is against that 133
he is against them 380
he is against this 162
he is against war 107
he is against you 307
he is agitating for 72
he is alarmed and 257
he is alarmed for 52
he is alarmed that 149
he is alarmed with 117
he is aligned with 472
he is allowed all 69
he is allowed and 354
he is allowed any 75
he is allowed both 46
he is allowed but 125
he is allowed for 585
he is allowed his 382
he is allowed not 85
he is allowed one 781
he is allowed out 624
he is allowed six 147
he is allowed ten 203
he is allowed that 40
he is allowed this 84
he is allowed too 42
he is allowed two 401
he is alright and 67
he is amorous and 47
he is analyzing and 195
he is analyzing his 73
he is anathema who 53
he is ancient and 126
he is annoyed and 259
he is annoyed that 663
he is annoyed with 567
he is answering his 81
he is answering our 45
he is answering that 43
he is answering them 44
he is appeased and 52
he is aroused and 224
he is aroused then 42
he is aroused with 89
he is arrayed for 56
he is ashamed and 642
he is ashamed for 160
he is ashamed not 96
he is ashamed that 939
he is asserting his 637
he is asserting not 53
he is asserting that 3079
he is assisting his 74
he is assumed not 118
he is assured and 72
he is assured his 55
he is assured she 49
he is assured that 14380
he is assured they 79
he is athletic and 59
he is attacking all 42
he is attacking and 193
he is attacking are 79
he is attacking has 51
he is attacking her 63
he is attacking his 221
he is attacking not 117
he is attacking one 127
he is attacking that 106
he is attacking them 79
he is attacking with 76
he is attacking you 81
he is attaining his 91
he is attending and 108
he is attending his 82
he is austere and 130
he is awarded and 44
he is awarded his 153
he is awarded one 60
he is awfully cut 40
he is awkward and 591
he is baffled and 278
he is balancing his 51
he is baptizing and 47
he is baptizing him 59
he is bashful and 78
he is because god 101
he is because his 400
he is because man 63
he is because she 96
he is because that 104
he is because they 164
he is because you 155
he is beginning all 44
he is beginning his 483
