head abolish memory or 53
head against france in 46
head appeared around it 71
head appeared around the 832
head appeared behind the 131
head appeared beside the 66
head appeared through the 879
head becomes engaged in 84
head briefly toward the 119
head carried through the 71
head control should be 42
head crashed through the 121
head defends itself at 188
head drooped almost to 50
head drooped gently on 129
head drooped toward the 51
head dropped heavily on 141
head dropped heavily to 41
head eastward across the 42
head eastward toward the 54
head emerged through the 162
head emerges through the 74
head exactly matching it 56
head extending beyond the 131
head extends beyond the 73
head extends through the 56
head forward across the 91
head forward through the 141
head forward toward the 382
head halfway through the 84
head jackson twanged the 54
head lowered almost to 96
head lowered toward the 99
head northeast across the 47
head northeast toward the 64
head paraded through the 78
head pointed toward the 608
head pointer points to 53
head position should be 449
head proudly poised on 45
head quickly enough to 76
head quickly toward me 115
head quickly toward the 560
head remains inside the 50
head rotated toward the 127
head rotates around the 89
head rotates toward the 52
head rotation toward the 200
head settled firmly on 56
head sharply toward me 64
head sharply toward the 399
head shortly before the 84
head slipped through the 71
head smashed through the 83
head snapped around as 678
head snapped around at 275
head snapped around in 243
head snapped around so 225
head snapped around to 817
head snapped toward me 104
head snapped toward the 383
head southeast toward the 108
head started spinning as 88
head subsist without thy 86
head teachers should be 75
head timidly through the 47
head together enough to 94
head travels across the 58
head twisted around to 126
head twisted toward the 52
head usually engages in 68
head usually enters the 119
head visible through the 81
head whipped around as 314
head whipped around at 160
head whipped around in 219
head whipped around so 195
head whipped around to 444
head whipped toward the 81
head wrapped around the 97
heal himself before he 49
heal unusual bleeding or 267
hear anybody differ in 57
hear captain warren is 43
hear distant sounds of 124
hear everything around me 81
hear everything relating to 43
hear everything through the 190
hear excited voices in 42
hear herself called by 63
hear herself spoken of 81
hear himself called an 67
hear himself called by 282
hear himself called the 146
hear himself denied to 75
hear himself spoken of 157
hear matters relating to 106
hear muffled sounds of 97
hear muffled voices in 110
hear oratory beyond my 94
hear religion spoken of 76
hear religion treated of 49
hear several pieces of 61
hear several voices in 119
hear shelley spoken of 90
hear spanish spoken in 62
heat addition occurs at 63
heat applied should be 101
heat applied through the 189
heat balance across the 309
heat balance around the 707
heat balance should be 157
heat becomes latent in 183
heat between bodies at 74
heat between bodies in 40
heat between bodies of 117
heat buildup caused by 160
heat buildup inside the 170
heat carried through the 72
heat content changes in 74
heat content should be 41
heat content stored in 75
heat control should be 115
heat current through the 351
heat effects caused by 129
heat escaped through the 88
heat escapes through the 556
heat evolved raises the 78
heat exchange across the 488
heat exchange caused by 77
heat exchange inside the 129
heat exchange medium in 57
heat exchange medium is 76
heat exchange medium to 43
heat exchange occurs at 103
heat exchange occurs in 181
heat exchange should be 103
heat exchange system in 300
heat exchange system is 115
heat exchange system of 56
heat exchange system to 79
heat exchange through the 894
heat filtering through the 48
heath appeared slowly to 249
heat intense enough to 570
heat quickly enough to 131
