ha were used . 41
hae been there . 89
hae said mair . 54
he acts upon . 129
he acts well . 91
he adds nothing . 74
he also acts . 52
he also came . 72
he also died . 1552
he also dies . 147
he also drew . 51
he also fell . 173
he also felt . 75
he also fled . 66
he also gave . 60
he also held . 125
he also knew . 580
he also left . 183
he also lost . 148
he also made . 128
he also owns . 114
he also reaps . 66
he also rose . 146
he also said . 369
he also says . 128
he also sold . 91
he also took . 155
he also used . 85
he also uses . 46
he also went . 88
he also wept . 127
he also wins . 60
he also wore . 44
he among these ? 44
he asks next . 47
he asks none . 50
he asks nothing . 81
he back down . 182
he back there ? 61
he bears rule . 55
he beats time . 46
he been able ! 1206
he been acting ? 55
he been away ? 343
he been back ? 177
he been born ? 146
he been crying ? 197
he been down ? 95
he been dozing ? 42
he been free . 230
he been gone ? 1631
he been good ? 93
he been here . 4293
he been hiding ? 196
he been home . 125
he been hurt ? 503
he been like ? 102
he been living . 917
he been paid ? 108
he been poor . 70
he been reading ? 109
he been saying ? 747
he been seen ? 337
he been sent ? 78
he been shot ? 310
he been sick ? 558
he been sure . 42
he been taking ? 55
he been there ! 4344
he been told . 439
he been well . 227
he been wrong . 488
he bent down . 940
he bent over . 853
he best knew . 252
he blew away . 69
he blow from ? 47
he bore along . 87
he bore arms . 81
he bore away . 94
he bore down . 123
he bore rule . 43
he bore sway . 54
he born here ? 67
he bows down . 54
he break down . 165
he brings along . 69
he brings back . 315
he brings down . 46
he brings forth . 175
he brings here . 41
he brings home . 606
he brings news . 99
he brings suit . 167
he brings there . 68
he buys from . 56
he buys land . 96
he buys more . 84
he buys nothing . 42
he call back . 238
he call from ? 149
he call here ? 135
he call upon ? 73
he calm down . 152
he came along ! 4579
he came also . 51
he came away . 1649
he came back ! 42481
he came cheap . 50
he came clean . 296
he came down ! 6066
he came early . 197
he came forth . 825
he came from ! 31123
he came here ! 13178
he came home ! 27138
he came into . 127
he came last . 167
he came late . 265
he came nigh . 80
he came north . 289
he came over . 4315
he came past . 167
he came seeing . 69
he came south . 242
he came there . 4699
he came third . 73
he came upon . 712
he came west . 561
he care much . 42
he cast away . 126
he cast down . 62
he clung fast . 48
he clung there . 58
he come along . 591
he come away . 43
he come back ! 8870
he come clean ? 41
he come down . 648
he come forth . 98
he come from ! 23350
he come here ! 6501
he come home . 3239
he come last . 99
he come nigh . 71
he come over . 545
he come soon . 192
he come there . 639
he coming along ? 148
he coming back . 4208
he coming down ? 145
he coming from . 679
he coming here ? 1086
he coming home . 1410
he coming over ? 276
he coming soon ? 142
he cuts down . 101
he dare hope ? 55
he dare speak . 61
he died also . 232
he died anon . 129
he died away . 42
he died early . 504
he died from . 206
he died game . 114
he died hard . 186
he died here . 499
he died next . 40
he died poor . 1438
he died raving . 54
he died rich . 236
he died soon . 196
he died there . 4748
he died trying . 135
he died well . 252
he died young . 2779
he dies also . 50
he dies game . 58
he dies hard . 41
he dies here . 52
he dies soon . 57
he dies there . 135
he dies well . 51
he dies wins . 78
he dies young . 141
he done away . 47
he done ever . 109
he done good . 42
he done here ? 53
he done nothing . 372
he done there ? 93
he done well ? 120
he done wrong . 1737
he dont come . 58
he dont stop . 42
he down here ? 172
he down there . 216
he draw back . 83
he drew away . 1487
he drew back . 5168
he drew breath . 609
he drew fire . 50
he drew forth . 84
he drew from . 92
he drew lots . 40
he drew nigh . 192
he drew rein . 677
he drew upon . 191
he drew well . 42
he dude more . 67
he duly gave . 56
he earns more . 125
he earns nothing . 107
he eased away . 121
he eased back . 147
he eaten last ? 67
he even care ? 663
he even heard . 242
he even here ? 135
he even knew . 313
he even know ? 316
he even speak . 45
he even there ? 106
he even wept . 84
he ever been . 359
he ever bore . 50
he ever born ? 44
he ever bred . 40
he ever call ? 43
he ever came . 620
he ever come . 406
he ever died . 67
he ever done . 701
he ever drew . 252
he ever fail ? 57
he ever felt . 442
he ever flew . 55
he ever gave . 1068
he ever gets . 285
he ever have . 148
he ever heard ! 3325
he ever held . 998
he ever here ? 53
he ever hurt ? 167
he ever idle . 55
he ever kept . 88
he ever knew ! 8801
he ever know . 877
he ever learn ? 393
he ever leave ? 90
he ever left . 203
he ever lost . 249
he ever love ? 49
he ever made ! 9048
he ever paid . 102
he ever play ? 47
he ever reads . 66
he ever rest ? 58
he ever rode . 143
he ever said . 1376
he ever says . 110
he ever seed . 87
he ever seen . 322
he ever sees . 99
he ever sent . 115
he ever shed . 40
he ever shot . 92
he ever sold . 98
he ever speak ? 116
he ever stop ? 290
he ever talk ? 185
he ever there ? 61
he ever threw . 49
he ever told . 271
he ever took . 798
he ever used . 502
he ever uses . 62
he ever walk ? 58
he ever went . 235
he ever will ! 2725
he ever wore . 259
he ever work ? 44
he ever wrong ! 172
he fall back . 60
he fall down . 276
he fall from ? 99
he fall into ? 67
he fears most . 352
he fears none . 71
he fears nothing . 327
he feel good ? 44
he feel like ? 113
he feel pain ? 133
he feel safe . 272
he fell also . 103
he fell away . 336
he fell back . 3290
he fell down ! 6182
he fell flat . 222
he fell free . 46
he fell from . 125
he fell hard . 304
he fell heir . 80
he fell into . 403
he fell limp . 64
he fell over . 1958
he fell sick . 1933
he fell there . 83
he fell upon . 118
he felt able . 231
he felt anger . 159
he felt angry . 548
he felt best . 169
he felt calm . 341
he felt clean . 106
he felt cold . 1548
he felt coming . 92
he felt cool . 51
he felt down . 44
he felt dull . 83
he felt dumb . 40
he felt edgy . 45
he felt envy . 55
he felt fine ! 2021
he felt free . 754
he felt full . 77
he felt glad . 136
he felt good ! 2901
he felt great ! 844
he felt heavy . 60
he felt here . 89
he felt hers . 68
he felt hope . 102
he felt hurt . 411
he felt like . 1176
he felt lost . 730
he felt love . 79
he felt more . 45
he felt most . 57
he felt much . 85
he felt none . 516
he felt nothing . 3703
he felt numb . 332
he felt okay . 171
he felt pain . 570
he felt peace . 112
he felt pity . 142
he felt poor . 41
he felt ready . 446
he felt rich . 114
he felt safe . 2846
he felt sick . 3261
he felt sure . 2848
he felt tears . 55
he felt there . 370
he felt torn . 94
he felt used . 104
he felt warm . 320
he felt weary . 152
he felt well . 916
he felt young . 107
he find help ? 62
he find here ? 89
he find peace . 346
he find rest . 105
he find there ? 848
he find time ? 101
he find work . 165
he fled away . 576
he fled from . 184
he fled home . 41
he fled north . 70
he fled past . 45
he fled south . 65
he flew along . 172
he flew away . 2997
he flew back . 133
he flew down . 68
he flew home . 285
he flew over . 199
he flew past . 266
he flew there . 44
he flung away . 65
