head among storms and 61
head away before she 42
head back around and 543
head back farther and 58
head back further and 65
head back gently and 64
head back inside and 810
head back inside for 42
head back inside his 148
head back slowly and 63
head back toward her 657
head back toward him 785
head back toward his 612
head back toward its 44
head back toward our 104
head back toward them 136
head bald except for 80
head bare except for 44
head bent before her 62
head bent before him 50
head bent toward her 426
head bent toward him 79
head bent toward his 102
head came around and 196
head came around with 50
head came closer and 49
head clean around and 43
head down across his 47
head down before him 41
head down beside her 85
head down beside him 47
head down beside his 168
head down gently and 58
head down through his 77
head down toward her 480
head down toward him 81
head down toward his 294
head even before she 138
head even further and 48
head even higher and 73
head even higher than 225
head felt better and 82
head felt clearer and 46
head felt clearer than 75
head felt filled with 56
head felt heavier than 50
head felt hollow and 60
head from behind and 706
head from behind her 53
head from behind him 40
head from behind his 153
head from behind with 1045
head from slipping off 49
head from whence all 148
head from whence they 123
head gave notice that 191
head gets filled with 46
head grew heavier and 62
head grew larger and 64
head grew louder and 95
head half turned and 91
head half turned with 127
head hard enough that 89
head held higher than 154
head high amongst his 50
head high enough for 116
head high enough out 76
head high enough with 45
head into openings and 46
head into something that 117
head into static head 75
head just before his 49
head just before she 79
head just before they 49
head just before you 61
head just behind her 47
head just behind his 254
head just enough for 168
head just enough that 105
head just reached his 89
head just sticking out 43
head less filled with 53
head like another man 48
head like little wings 63
head like rabbit ears 50
head like someone who 136
head loss through each 67
head loss varies with 96
head more firmly than 45
head more sagely than 53
head more surely than 42
head much better than 112
head much clearer than 42
head much faster than 56
head much higher than 188
head much larger and 52
head much larger than 145
head much pinker than 47
head must answer for 170
head nigh turned with 65
head noun phrase and 75
head only reached his 85
head poking itself out 43
head post office and 141
head rose before him 47
head rose higher and 98
head rose slowly and 47
head sank toward his 55
head shot around and 50
head spun around and 176
head swung around and 655
head swung toward her 100
head swung toward him 108
head their arrows with 358
head turn toward her 83
head turn toward him 77
head very boldly and 43
head very gently and 84
head very little with 106
head very slowly and 505
head well filled with 60
head well poised and 44
head well shaped and 61
head well stored with 109
head went around and 64
head went further and 59
head went higher and 40
head were better than 120
head were filled with 321
head were folded wings 59
head were ripped and 90
head were saints and 72
head were shaved and 41
head were struck off 68
head were waters and 543
head when hobbes was 129
head when searching for 41
head will answer for 125
head will enable him 49
head wind forced them 61
head wood screws and 53
heal less readily than 47
heal many wounds and 51
heal more readily and 47
heal more readily than 527
heal more slowly and 701
heal more slowly than 1457
heal more slowly with 89
heal much faster than 333
heal past wounds and 182
heal their bodies and 153
heal their wounds and 862
heal their wounds with 110
heal these wounds and 151
heal those wounds and 77
heal very slowly and 443
heal well enough for 46
heal when treated with 44
heal your wounds and 286
heap their plates with 87
heap upon clouds and 63
hear airy shapes that 60
hear from another how 44
hear from anyone but 52
hear from anyone that 190
hear from anyone who 1609
hear from anyone with 171
hear from berlin that 194
hear from boston that 59
hear from england that 333
hear from family and 57
hear from france that 191
hear from hooker that 87
hear from london that 568
hear from mothers and 46
hear from naples that 50
hear from oxford that 129
hear from readers and 364
hear from readers who 471
hear from readers with 85
hear from someone that 233
hear from someone who 1435
hear from someone with 67
hear from someone you 65
hear from vienna that 141
hear jane better than 108
hear loud noises and 68
hear loud voices and 213
hear many sounds near 45
hear many sounds that 57
hear many strange things 75
hear many voices and 61
hear miss dorothy cry 42
hear more before long 47
hear more before she 92
hear more clearly and 126
hear more clearly now 50
hear more clearly than 131
hear more horses than 74
hear more touching him 42
hear much better than 344
hear nothing around him 45
hear nothing around that 77
hear nothing better than 66
hear nothing except for 91
hear nothing except her 45
hear nothing except his 61
hear nothing except that 222
hear other voices and 118
hear other voices than 65
hear papa invite him 120
hear poor english and 48
hear save mortal woes 44
hear soft voices and 45
hear some mutter that 44
hear some readers ask 117
hear some readers say 94
hear some sounds and 72
hear some sounds but 56
hear some sounds that 63
hear some strange things 75
hear soon enough that 48
hear such appeals and 68
hear such proofs and 56
hear such strange and 92
hear such strange things 87
hear their chairs and 51
hear their cheers and 62
hear their fathers and 50
hear their feelings and 45
hear their groans and 207
hear their grunts and 63
hear their joyous song 46
hear their mothers and 42
hear their opinion and 45
hear their prayer and 232
hear their prayer for 45
hear their reasons for 100
hear their report and 45
hear their rifles now 110
hear their screaming and 79
hear their screams and 213
hear their screams for 64
hear their shouting and 70
hear their shouts and 518
hear their speech and 42
hear their voices all 103
hear their voices and 2385
hear their voices any 60
hear their voices but 412
hear their voices far 40
hear their voices for 100
hear their voices long 77
hear their voices now 218
hear their voices out 52
hear their voices ringing 130
hear their voices singing 83
hear their voices with 51
hear these simple but 84
hear these sounds and 109
hear these sounds than 62
hear these voices and 112
hear those around them 51
hear those sounds and 58
hear those voices and 87
hear those voices singing 41
hear those voices that 115
hear very little now 110
hear very little that 144
hear well enough for 54
hear were inside them 48
hear what another had 53
hear what another has 93
hear what answer they 82
hear what answer you 237
hear what antony can 238
hear what anyone had 64
hear what anyone has 52
hear what anyone was 284
hear what before they 83
hear what further may 49
hear what porter was 47
hear what someone has 95
hear what someone was 82
hear will expect him 97
hear your accent and 49
hear your advice and 62
hear your brother has 42
hear your brother say 44
hear your friend say 67
hear your letter read 45
hear your mothers and 42
hear your opinion and 77
hear your prayer and 215
hear your prayer for 41
hear your reasons for 351
hear your screams and 43
hear your speech and 40
hear your voices all 62
hear your voices and 85
heat also varies with 89
heat away faster than 50
heat deep inside her 279
heat during summer and 60
heat during winter and 92
heat even better than 67
heat flow across any 46
heat flow changes with 50
heat flow greater than 103
heat flow through all 124
heat flow through any 282
heat flow through each 416
heat flow through her 60
heat flow through them 64
heat flow through this 195
heat flow values and 204
heat flow values are 1085
heat flow values can 46
heat flow values for 437
heat flow varies with 52
heat flow versus age 99
heat flux latent heat 51
heat flux through each 78
heat flux through this 55
heat flux values are 300
heat flux values for 187
heat flux varies with 159
heat flux vector and 644
heat flux vector are 91
heat flux vector can 69
heat flux vector for 52
heat from becoming too 57
heat from escaping and 130
heat from escaping out 57
heat from escaping too 111
heat from indoor air 62
heat from inside earth 82
heat from lighting and 44
heat from lights and 167
