headlights that get dimmer 75
headmaster and his deputy 98
headmaster and his family 117
heightening all her senses 50
henceforth but one policy 56
henceforth for all orders 82
henceforth she was always 41
henceforth they pay double 41
henceforth wear both orders 68
hepatitis with and without 52
hereunder does not exceed 132
hesitated and she looked 51
hesitated and she thought 52
hesitated and then agreed 135
hesitated and then called 53
hesitated and then closed 45
hesitated and then handed 72
hesitated and then looked 287
hesitated and then nodded 821
hesitated and then obeyed 86
hesitated and then opened 97
hesitated and then passed 43
hesitated and then picked 59
hesitated and then plunged 204
hesitated and then pulled 94
hesitated and then pushed 65
hesitated and then raised 107
hesitated and then reached 137
hesitated and then seemed 45
hesitated and then sighed 78
hesitated and then slowly 215
hesitated and then smiled 229
hesitated and then thought 54
hesitated and then turned 581
hesitated and then walked 269
hesitated and was silent 137
hesitated but then agreed 69
hesitated but then nodded 41
hesitated for long before 77
hesitated for one minute 73
hesitated for one moment 716
hesitated for one second 286
hesitated for two reasons 130
hesitated not one moment 213
hesitated too long before 269
hesitated with her answer 56
hesitated with his answer 91
hesitates for one moment 99
hesitation and not without 77
hesitation and with little 56
hesitation did not escape 62
hesitation had not lasted 92
hesitation that his forces 55
hesitation that they should 52
hesitation was long enough 68
heuristic does not always 124
hibernate and are active 95
hibernate for long periods 264
hierarchy and web inform 41
hierarchy are not always 102
hierarchy are not filled 40
hierarchy did not always 63
hierarchy did not endure 68
hierarchy does not always 108
hierarchy does not merely 59
hierarchy does not permit 49
hierarchy has not changed 57
hierarchy that has become 41
hierarchy was not always 68
hierarchy was not without 41
hierarchy with two levels 100
highlands that are clothed 71
highlight two key points 110
histogram for this sample 55
historians and art lovers 115
historians and has become 54
historians and lay readers 59
historians are all engaged 40
historians are not agreed 1024
historians are not always 312
historians are not exempt 76
historians are not immune 74
historians are not likely 131
historians are not simply 50
historians are not wholly 43
historians are now agreed 211
historians can and should 93
historians can not accept 47
historians can not afford 189
historians can not always 81
historians can not answer 56
historians can not decide 45
historians can not escape 126
historians can not ignore 140
historians can not simply 70
historians did not accept 57
historians did not always 118
historians did not follow 45
historians did not mention 63
historians did not record 40
historians did not regard 53
historians for that matter 46
