he acted without negligence 55
he added almost immediately 144
he added without explanation 67
he again became ambassador 99
he again became chancellor 81
he again became identified 68
he again became interested 178
he again became respectful 47
he again became unconscious 88
he again sought employment 51
he asked almost breathlessly 87
he asked almost immediately 46
he began almost immediately 444
he began gathering information 81
he began painting landscapes 105
he began secret negotiations 95
he began studying composition 59
he began studying mathematics 59
he began studying philosophy 72
he calls tender conscience 83
he could almost understand 343
he could already anticipate 46
he could always understand 81
he could assume sufficient 46
he could attach sacredness 56
he could attain sufficient 53
he could barely articulate 304
he could barely comprehend 512
he could barely straighten 45
he could barely understand 761
he could become accustomed 199
he could become acquainted 359
he could become completely 59
he could become interested 60
he could become physically 49
he could become reconciled 188
he could become successful 68
he could better accomplish 120
he could better comprehend 71
he could better disapprove 43
he could better understand 1039
he could clearly comprehend 103
he could clearly understand 215
he could depend absolutely 63
he could derive information 88
he could escape punishment 223
he could escape unobserved 46
he could expect assistance 169
he could expect preferment 135
he could hardly accomplish 64
he could hardly anticipate 181
he could hardly articulate 1130
he could hardly comprehend 318
he could hardly exaggerate 42
he could hardly straighten 59
he could hardly understand 1931
he could little understand 58
he could muster sufficient 278
he could neither anticipate 68
he could neither articulate 119
he could neither comprehend 328
he could neither intimidate 66
he could neither understand 1924
he could obtain admittance 64
he could obtain assistance 252
he could obtain employment 296
he could obtain information 551
he could obtain instruction 48
he could obtain recognition 68
he could obtain sufficient 328
he could prolong resistance 57
he could readily comprehend 70
he could readily understand 455
he could recite shakespeare 47
he could reduce unoccupied 80
he could regain sufficient 41
he could remain relatively 47
he could remain unaffected 41
he could remain undetected 45
he could render assistance 147
he could repose confidence 331
he could retire gracefully 73
he could return immediately 44
he could scarce articulate 55
he could scarce comprehend 92
he could scarce understand 109
he could secure assistance 42
he could secure employment 159
he could secure recognition 40
he could secure sufficient 77
he could summon assistance 59
he could summon sufficient 138
he could supply information 67
he could without affectation 113
he could without compromising 144
he could without difficulty 543
he draws various inferences 41
he earned another opprobrious 70
he fails almost completely 58
he falls asleep immediately 73
he feared another banishment 76
he feels little inclination 42
he finds almost impossible 40
he finds custom sufficient 49
he finds farther resistance 40
he finds little difference 67
he finds little difficulty 252
he finds without difficulty 152
he first became acquainted 5153
he first became chancellor 67
he first became fascinated 171
