headed nowhere in particular 408
healthy animals by inoculation 106
healthy balance is maintained 62
healthy balance of intestinal 58
healthy element of competition 80
healthy exchange of information 86
healthy persons by inoculation 44
healthy pursuit of excellence 115
hearts withered by fanaticism 46
hearty friends to government 44
hearty support in effectuating 62
heated crystal of tourmaline 125
heathen schools of philosophy 48
heathen systems of philosophy 143
heathen temples as sacrifices 92
heaven against the impenitent 127
heaven against the oppressors 63
heaven against the ungodliness 114
hedge against the depreciation 109
hedge against the inevitable 192
hedge against the likelihood 67
hedge against the overzealous 205
hedge against the recurrence 260
hedge against the unexpected 163
hedge against the unforeseen 41
hedge against the volatility 66
helping clients to understand 320
helping function it attributes 40
helping himself to vegetables 41
helping learners to understand 138
helping members to understand 68
helping parents of exceptional 99
helping parents to understand 606
helping persons to understand 49
helping prepare the manuscript 228
helping teachers to understand 421
helping workers to understand 43
helps clarify the difference 140
helps clarify the distinction 148
helps clarify the importance 62
helps clients to understand 99
helps decrease the likelihood 72
helps develop an appreciation 62
helps explain the ambivalent 46
helps explain the apparently 76
helps explain the bitterness 65
helps explain the complexity 53
helps explain the difference 425
helps explain the difficulty 232
helps explain the divergence 40
helps explain the government 113
helps explain the historical 66
helps explain the importance 434
helps explain the observation 100
helps explain the occurrence 116
helps explain the overwhelming 62
helps explain the particular 120
helps explain the persistent 85
helps explain the phenomenal 69
helps explain the phenomenon 221
helps explain the popularity 423
helps explain the preference 67
helps explain the prevalence 169
helps explain the prominence 102
helps explain the relatively 403
helps explain the reluctance 149
helps explain the remarkable 203
helps explain the resilience 43
helps explain the resistance 60
helps explain the subsequent 71
helps explain the traditional 52
helps explain the tremendous 150
helps explain the variability 48
helps explain the volatility 44
helps improve the efficiency 135
helps increase the efficiency 94
helps increase the likelihood 82
helps learners to understand 121
helps members to understand 78
helps mortals to understand 58
helps parents to understand 273
helps predict the likelihood 43
helps prepare the individual 69
helps prevent the accidental 55
helps prevent the indulgence 161
helps prevent the occurrence 106
helps protect the individual 119
helps provide an explanation 88
helps relieve the discomfort 61
helps teachers to understand 247
helps towards the attainment 64
hence deserving of punishment 40
hence improve the efficiency 76
hence improving the efficiency 53
hence increase the efficiency 103
hence increase the likelihood 206
hence increase the resistance 50
hence increasing the efficiency 46
hence increasing the likelihood 139
hence reduces the likelihood 93
heroes appeared on unromantic 84
hiatus between the individual 118
hiatus between the palaeolithic 48
hiatus between the publication 54
hiatus between the traditional 43
hides himself so wondrously 43
hired company of journeymen 263
holding between the universals 49
holding chamber is equivalent 60
holding company in luxembourg 318
holding company is considered 127
holding company is prohibited 150
holding company is registered 56
holding company or investment 265
holding company to administer 91
holding company to distribute 46
holding himself in complacent 105
holding offices in government 40
holding together the components 50
holding together the discordant 77
holding together the individual 84
holds between an individual 199
holds between the antecedent 138
holds between the individual 209
holds degrees in electrical 61
holds degrees in literature 121
holds degrees in mathematics 167
holds degrees in mechanical 44
holds degrees in philosophy 132
holds degrees in psychology 177
holds himself in conscience 292
holds promise of contributing 51
holds together an orchestral 50
holds together the components 97
holds together the individual 210
holds together the successive 55
holes arranged in concentric 93
holes punched in appropriate 50
homes because of persecution 72
honor society in psychology 118
horns against the magistrate 57
hotel receipt is sufficient 51
hotly debated by economists 119
hotly debated by scientists 73
hotly pursued by interdicts 69
hours according to individual 44
hours between the termination 106
hours devoted to educational 49
hours devoted to instruction 181
hours devoted to mathematics 195
hours devoted to particular 49
hours following the application 197
hours following the consumption 51
hours following the examination 91
hours following the inoculation 62
hours following the termination 87
hours preceding the examination 108
hours preceding the experiment 100
hours preceding the observation 94
hours preparing the manuscript 77
hours reviewing the manuscript 125
house adjoining the churchyard 120
house affords no revolutions 57
house against the background 43
house between the traditional 71
house crammed to suffocation 53
house crowded to suffocation 119
house regarding the adulterers 57
house towards the wilderness 43
house wherein it originated 73
hover flights of sculptured 142
howling deserts of infidelity 173
human ability to anticipate 49
human ability to assimilate 45
human ability to comprehend 427
human ability to experience 250
human ability to generalize 52
human ability to manipulate 282
human ability to rationalize 55
human ability to understand 928
human affairs an inspiration 41
human affairs be frequently 88
human affairs in accordance 204
human affairs in particular 59
human affairs is determined 64
human affairs is impossible 79
human affairs is inevitable 67
human affairs is ultimately 61
human aspects of experience 40
human aspects of information 120
human aspects of management 718
human aspects of technology 90
human attempt to anticipate 69
human attempt to comprehend 53
human attempt to understand 291
