hearers a clear idea 74
hearers a great deal 153
hedged a good deal 73
heeded a call for 42
height a foot and 45
height h such that 295
height i have not 53
height i know that 82
height z from mean 144
helped a girl who 42
helped a good deal 1913
helped a great deal 13612
helped a lady out 82
helped a lame dog 42
helped a poor man 101
helped a poor old 40
helped a young boy 102
helped a young man 575
helper t cell and 758
helper t cell can 175
helper t cell that 256
helper t cell then 96
helper t cell with 127
herein i find they 42
herein i have had 146
herein i have not 64
herein i have read 98
herein i must say 41
herein i pray you 46
herein i will not 152
hermit i ever met 99
hidden a deep and 55
hidden a good deal 110
hidden a great deal 113
hidden a trap for 124
hidden i know not 69
hideous a scar that 85
higher a great deal 115
higher a rank than 106
higher a rate than 113
hinder a free and 62
hinder a full and 43
hinder a great deal 46
hinder a rising sob 52
hinder a young man 51
hinted a wish for 59
hinted a wish that 437
hitching a lift with 126
hitching a ride and 93
hitching a ride for 44
hitching a ride out 216
hitching a ride with 1103
hitter i ever saw 854
hoisting a flag and 93
hoisting a flag with 58
hoisting a sail and 46
homely a term may 59
honest a young man 50
honest i have not 319
honest i must say 88
honest i think that 130
honest i will not 168
honors a great and 345
honors i have won 98
hooked a blue and 56
hooked a brow and 75
hooked a fish and 276
hooked a fish that 231
hooked a fish with 60
hooked a good one 73
hooked a left and 54
hooked a live one 43
hooked a ride with 88
hooked a third with 44
hooked a very big 71
hopped a ride with 81
horror i ever had 53
horror i feel for 80
horror i felt for 94
horror i felt was 40
horror i have for 40
horror i have not 80
horror i heard him 57
horses a blow with 45
horses a good deal 143
horses a great deal 165
horses a rest and 263
horses i ever had 83
horses i ever saw 1155
horses i have had 121
horses i heard them 61
hosted a ball for 42
hosted a feast for 123
hotter a great deal 53
hotter i grew and 83
hounds i ever met 96
hounds i ever saw 274
housed a bank and 47
houses a cafe and 177
houses a good deal 359
houses a great deal 428
houses a great heap 52
houses a mile and 49
houses i ever saw 401
houses i have had 42
houses i have not 106
houses i have yet 76
howled a great deal 66
huffed a sigh and 49
hugged a tree and 41
humans a great deal 57
humble a good man 66
humble a tone that 215
hummed a love song 42
hummed a tune all 59
hummed a tune and 435
hummed a tune that 286
hummed a tune with 111
hunted a good deal 451
hunted a great deal 577
hunter i ever had 67
hunter i ever saw 57
hurled a bomb that 99
hurled a rock and 42
hurled a rock that 49
hurled a spear that 48
hurled a spear with 74
hustings a great deal 43
