he and alexander hamilton 106
he can correctly identify 121
he can discharge subjects 63
he can gradually perceive 51
he can influence somewhat 269
he can reasonably complain 47
he can reasonably conclude 53
he did determine lorraine 49
he did establish cleopatra 44
he got tolerable accounts 44
he had abandoned business 41
he had abandoned entirely 43
he had abandoned medicine 85
he had abandoned politics 144
he had accordingly composed 56
he had accordingly directed 46
he had accordingly prepared 51
he had accordingly procured 149
he had accordingly returned 40
he had accordingly threatened 89
he had additional evidence 53
he had allegedly obtained 40
he had allegedly promised 54
he had allegedly received 148
he had allegedly suffered 52
he had allegedly threatened 69
he had altogether mistaken 204
he had announced publicly 122
he had appointed governor 680
he had appointed guardians 91
he had appointed minister 43
he had appointed officers 133
he had attempted divinity 85
he had attempted formerly 86
he had attracted attention 791
he had attracted thousands 46
he had carefully analyzed 78
he had carefully attended 92
he had carefully compared 212
he had carefully compiled 52
he had carefully composed 104
he had carefully concealed 1868
he had carefully designed 45
he had carefully digested 43
he had carefully educated 72
he had carefully examined 2167
he had carefully excluded 79
he had carefully explored 47
he had carefully followed 164
he had carefully fostered 42
he had carefully informed 84
he had carefully inquired 94
he had carefully listened 42
he had carefully nurtured 344
he had carefully observed 1182
he had carefully outlined 58
he had carefully prepared 3694
he had carefully provided 84
he had carefully recorded 108
he had carefully rehearsed 270
he had carefully replaced 50
he had carefully reviewed 121
he had carefully selected 643
he had carefully surveyed 94
he had carefully treasured 47
he had certainly absorbed 41
he had certainly achieved 110
he had certainly acquired 158
he had certainly attained 118
he had certainly connived 72
he had certainly deserved 85
he had certainly executed 40
he had certainly expected 145
he had certainly improved 48
he had certainly increased 51
he had certainly intended 126
he had certainly observed 51
he had certainly obtained 74
he had certainly perished 51
he had certainly promised 57
he had certainly provided 53
he had certainly received 329
he had certainly returned 47
he had certainly suffered 72
he had collected abundant 44
he had collected amounted 47
he had collected concerning 203
he had collected evidence 145
he had collected hundreds 56
he had collected materials 432
he had collected numerous 61
he had collected respecting 90
he had collected supplies 40
he had collected thousands 53
he had collected valuable 52
he had commanded formerly 50
he had commanded remained 77
he had commenced business 168
he had commenced practice 100
he had committed adultery 4004
he had committed burglary 40
he had committed criminal 57
he had committed espionage 46
he had committed homicide 135
he had committed mistakes 72
he had committed numerous 128
he had committed offenses 49
he had committed terrible 44
he had completed eighteen 66
he had completed fourteen 51
he had conceived possible 83
he had conducted business 137
he had conducted numerous 53
he had conducted services 58
he had conferred benefits 48
he had conferred greatness 52
he had conquered scotland 73
he had consulted judicious 60
he had continual disputes 118
he had continued obedient 49
he had controlling interest 46
he had convinced everyone 101
he had correctly analyzed 57
he had correctly answered 46
he had correctly assessed 136
he had correctly diagnosed 126
he had correctly forecast 67
he had correctly foreseen 61
he had correctly observed 133
he had correctly reported 51
he had correctly surmised 49
he had corruptly received 63
he had delegated authority 126
he had delivered concerning 55
he had delivered hundreds 51
he had delivered lectures 175
he had delivered speeches 93
he had destroyed evidence 73
he had destroyed monarchy 287
