head angular acceleration in 123
head belongs exclusively to 41
head cocked quizzically to 64
head injury accompanied by 101
head injury complicated by 134
head rested comfortably on 95
head trauma experiences in 65
head turned continually on 196
heap without transfiguring it 80
hear further particulars of 64
hear subtle differences in 53
heat always accompanies the 70
heat effect corresponding to 61
heat energy corresponding to 149
heat energy represented by 173
heat energy transferred by 121
heat energy transferred in 41
heat energy transferred to 681
heat source temperature of 132
heat stress experienced by 48
heat wholly independent of 53
her abject unwillingness to 40
her actions contributed to 54
her active contribution to 58
her active intervention in 77
her active involvement as 57
her active involvement in 1086
her actual contribution to 92
her actual experiences in 50
her actual experiences of 43
her actual involvement in 59
her actual performance in 101
her actual performance of 44
her actual relationship to 120
her adroit manipulation of 43
her almost exclusively in 48
her almost independent of 42
her almost indifferent to 80
her annual contribution to 79
her annual requisitions in 44
her another opportunity of 93
her another opportunity to 512
her ardent championship of 46
her astute observations of 44
her became indifferent to 44
her becoming indifferent to 42
her better understanding of 140
her bitter experiences as 62
her bitter experiences in 64
her bitter experiences of 63
her blushing countenance to 66
her broken exclamations of 49
her brother represented the 42
her brother transferred to 106
her bustling shopkeepers in 44
her claims established by 44
her clever manipulation of 95
her crowning achievement in 56
her crucial contribution to 43
her decaying institutions the 48
her deeper understanding of 126
her direct contribution to 88
her direct intervention in 69
her direct involvement in 336
her direct relationship to 56
her dogged persistence in 48
her earlier condemnation of 40
her earlier descriptions of 68
her earlier experiences as 135
her earlier experiences in 159
her earlier experiences of 123
her earlier involvement in 51
her earlier relationship to 49
her emerging understanding of 53
her enduring contribution to 47
her english translations of 73
her entire concurrence in 116
her entire consecration to 57
her entire disapproval of 65
her entire inheritance to 57
her entire personality to 41
her entire relationship to 40
her entire satisfaction in 43
her equity represented by 70
her evolving understanding of 121
her expert contrivance to 42
her family contributed to 68
her family disapproved of 280
her family disapproves of 59
her family experienced in 66
her family experienced the 60
her family participate in 51
her family relationship to 83
her female playfellows in 46
her female protagonist in 65
her feudal jurisdiction in 61
her floating implications in 61
her forced contribution of 87
her formal compliments of 52
her formal introduction to 136
her formal presentation at 43
her formal presentation to 75
her former certificate of 68
her former preeminence in 50
her former relationship to 41
her former territories in 80
her further opportunity to 103
her future development as 201
her future misfortunes at 58
her future relationship to 57
her future settlements in 58
her gentle preciousness is 141
her glance encountered the 47
her gloves preparatory to 58
her golden opportunity to 171
her greater consistency in 46
her greater involvement in 61
her greater opportunity to 55
her greater understanding of 124
her highly susceptible to 40
her initial contribution to 125
her initial experiences in 64
her initial introduction to 95
her initial involvement in 102
her initial observations of 41
her initial presentation of 66
her initial understanding of 96
her innate understanding of 103
her joyous anticipation of 41
her latest contribution to 91
her lavish distribution of 43
her lavish expenditure of 65
her lavish expenditure on 52
her lawful magistrates the 111
her little contribution to 85
her little opportunity to 355
her little personality by 299
her little playfellows on 47
her little testimonies of 119
her marked disapproval of 58
her marked resemblance to 115
her mature understanding of 47
her mental development is 44
her minute instructions as 81
her modest contribution to 72
her navies overshadowing the 40
her nerves susceptible to 118
her obvious disapproval of 53
her obvious unwillingness to 41
her owlish countenance as 40
her pallor accentuated by 45
her pencil impatiently on 45
her proper contribution to 70
her proper relationship to 81
her public endorsement of 40
her public performance of 45
her public presentation of 63
her radiant countenance to 41
her recent acquisitions in 104
her recent appointment as 132
her recent appointment to 57
her recent contribution to 42
her recent experiences as 43
her recent experiences at 51
her recent experiences in 217
her recent experiences of 70
her recent instructions in 48
her recent introduction to 72
her recent involvement in 49
her recent publications is 172
her return accompanied by 121
her return represented to 73
her safely established in 94
her second confinement in 56
her second contribution to 86
her second opportunity to 58
her second performance of 63
her secret persecutions in 78
her senses overwhelmed by 55
her sexual experiences as 50
her sexual experiences in 86
her sexual experiences to 57
her sexual exploitation by 66
her sexual relationship to 106
her sexual satisfaction is 56
her shawls preparatory to 40
her shrewd understanding of 65
her sister commonwealths in 84
her sister exhilarated by 121
her sister institutions in 54
her special contribution to 362
her special relationship to 398
her special sensitivity to 92
her special understanding of 103
her standing illuminated by 52
her strange resemblance to 96
her strict instructions to 177
her strict performance of 70
her striking personality as 59
her striking resemblance to 418
her stunning performance in 61
her subtle understanding of 44
her sudden abandonment of 55
her sudden recollection of 66
her sudden understanding of 60
her summer distinctions at 94
her superb performance as 47
her superb performance in 57
her sweeping condemnation of 87
her tender devotedness to 45
her travel experiences in 74
her triple inheritance of 72
her unique contribution to 676
her unique opportunity to 65
her unique perspective as 66
her unique perspective on 215
her unique perspective to 52
her unique relationship to 140
her unique understanding of 146
her varied experiences in 61
her wanted desperately to 190
her weekly appointment at 55
her wholly inattentive to 65
her without possibility of 46
her wonted hospitality to 40
her wonted intrepidity on 71
her zealous maintenance of 83
him almost continually in 52
him almost continually on 41
him almost exclusively as 455
him almost exclusively in 212
him almost exclusively on 43
him almost exclusively the 85
him almost exclusively to 121
him almost independent of 291
him almost indifferent to 229
him almost necessarily to 43
him another opportunity of 681
him another opportunity to 1601
him another perspective on 44
him become established in 46
him better opportunity to 57
him better understanding of 48
him beyond possibility of 68
