babe full of innocence 66
baby born on christmas 52
baby died in childbirth 338
baby died of starvation 201
baby during the pregnancy 159
baby during the procedure 61
baby early in pregnancy 46
baby from an orphanage 50
baby from the incubator 72
baby girl on september 49
baby into the community 61
baby into the household 126
baby must be carefully 97
baby must be delivered 372
baby must be protected 303
baby must be separated 46
baby seals is abhorrent 56
baby will be delighted 48
baby will be delivered 388
baby will be different 58
baby will be monitored 79
baby will be perfectly 80
baby will be premature 95
baby will be protected 92
baby will be stillborn 177
back along the boardwalk 342
back along the boulevard 219
back along the breakwater 56
back along the centuries 73
back along the coastline 44
back along the continuum 88
back along the corridors 284
back along the esplanade 41
back along the overgrown 40
back along the peninsula 50
back along the perimeter 103
back along the procession 52
back along the production 50
back along the promenade 159
back along the riverbank 411
back along the riverside 137
back along the shoreline 170
back along the starboard 193
back along the underside 137
back among the frenchmen 70
back among the mountains 1093
back among the prisoners 40
back among the shrubbery 44
back door of political 56
back down if challenged 56
back down or apologize 66
back down the boardwalk 274
back down the boulevard 121
back down the centuries 224
back down the concourse 77
back down the corridors 195
back down the declivity 102
back down the escalator 137
back down the hierarchy 611
back down the mountains 273
back down the peninsula 819
back down the riverbank 91
back down the shoreline 119
back down the staircase 1491
back down the stairwell 230
back down the telephone 44
back down the telescope 76
back down the tennessee 91
back down to california 48
back during the afternoon 536
back during the depression 803
back during the procedure 100
back during the remainder 41
back during the revolution 42
back during the temporary 45
back early in september 237
back even the slightest 51
back even to childhood 79
back even to classical 40
back flow of electrons 50
back from an adventure 89
back from an afternoon 347
back from an agreement 44
back from an australian 41
back from an emergency 67
back from an encounter 80
back from an engagement 235
back from an exhibition 108
back from an expedition 1211
back from an extensive 185
back from an imaginary 65
back from an important 311
back from an inspection 379
back from an interesting 60
back from an interview 324
back from an overnight 159
back from an undertaking 48
back from my afternoon 137
back from my childhood 132
back from my expedition 52
back from my honeymoon 287
back from my interview 51
back from my shoulders 149
back from my undertaking 43
back from the abdominal 118
back from the admiralty 161
back from the adventure 181
back from the adversary 58
back from the afterlife 164
back from the afternoon 114
back from the agreement 89
back from the ambulance 58
back from the americans 348
back from the amplifier 45
back from the antarctic 554
back from the antipodes 228
back from the apartment 142
back from the apparatus 41
back from the approaching 206
back from the argentine 218
back from the artificial 59
back from the aspirator 54
back from the assumption 79
back from the australian 145
back from the babylonian 154
back from the barbarians 71
back from the barricade 261
back from the bartender 81
back from the beachfront 193
back from the blackness 151
back from the blacksmith 146
back from the boardwalk 78
back from the bookstore 58
back from the botanical 40
back from the boulevard 283
back from the california 89
back from the campaigns 74
back from the captivity 224
back from the carpathians 70
back from the catskills 70
back from the challenges 66
back from the character 96
back from the christening 181
back from the christians 71
back from the christmas 712
back from the classical 46
back from the classroom 173
back from the cloakroom 57
back from the clubhouse 43
back from the coastline 101
back from the collection 54
back from the collector 351
back from the colonists 81
back from the commercial 383
back from the commission 339
back from the committee 1518
back from the communist 120
back from the community 481
back from the companies 192
back from the completed 104
back from the completion 53
back from the conception 41
back from the concession 85
back from the conclusion 379
back from the condenser 131
back from the conditions 59
back from the conduction 45
back from the conductor 44
back from the confession 66
back from the conquered 87
back from the consulate 201
back from the consumers 100
back from the container 57
back from the continent 4026
back from the convention 446
back from the coronation 41
back from the corporate 115
back from the corruption 49
back from the countries 182
back from the courthouse 268
back from the courtroom 52
back from the courtyard 137
back from the creditors 117
back from the crusaders 40
back from the customers 248
back from the dashboard 43
back from the defendant 182
back from the delineation 51
back from the democrats 42
back from the depression 183
back from the desperate 84
back from the developed 125
back from the developer 294
back from the different 333
back from the difficult 146
back from the digression 69
back from the discharge 319
back from the discovery 291
back from the discussion 189
back from the dominican 192
back from the drugstore 314
back from the eighteenth 196
back from the emergency 175
back from the empirical 77
back from the emptiness 43
back from the enchanted 72
back from the encounter 189
back from the encroaching 52
back from the engagement 174
back from the enjoyment 104
back from the entrances 43
back from the equipment 51
back from the esplanade 73
back from the euphrates 104
back from the excavation 195
back from the excessive 46
back from the executive 134
back from the exhibition 124
back from the existence 86
back from the expedition 805
back from the expression 86
back from the extremity 268
back from the factories 130
back from the falklands 255
back from the farmhouse 136
back from the firelight 139
back from the fireplace 279
back from the flagstaff 45
back from the forbidden 90
back from the forefront 82
back from the foreigner 40
back from the foundation 111
back from the fourteenth 57
back from the frequency 44
back from the frightful 44
back from the frontiers 1232
back from the fruitless 61
back from the galapagos 179
back from the galleries 75
back from the graveside 130
back from the graveyard 441
back from the gymnasium 47
back from the hardships 69
back from the highlands 185
back from the himalayas 245
back from the honeymoon 1386
back from the hospitals 151
back from the humiliation 105
back from the hypothesis 49
back from the imaginary 240
back from the important 48
