babies double their birth 175
babies emerge from their 40
babies opened their eyes 56
babies should have been 128
babies should have their 83
babies turned their heads 56
backed another step away 95
backed farther away from 226
backed further away from 174
backed slowly away from 1075
backed warily away from 72
backup copies only those 177
bakers should make their 42
baleen plates hanging from 109
baleen whales have been 98
ballet should have been 47
ballet unless over many 52
ballot papers have been 583
ballot papers having been 70
ballot papers were sent 69
ballot papers were used 47
ballot should have been 133
ballot teaches what these 48
banish myself from their 50
banish myself from your 61
banish sorrow from life 97
banker denies having done 66
banker should have been 42
banker should take care 59
banned blacks from voting 57
banner floats only over 42
banner should have been 47
barbed points from high 60
barely caught their breath 54
barely cleared five feet 58
barely conceal their glee 52
barely differ from those 66
barely enough fuel left 58
barely enough left over 117
barely enough room left 195
barely enough time left 102
barely hidden from view 42
barely inched ahead from 102
barely inches away from 103
barely inches from hers 45
barely lifted their heads 69
barely opened their eyes 60
barely pulled away from 65
barely raised their eyes 44
barely raised their heads 104
barely reached five feet 80
barely reached home when 76
barely reached three feet 122
barely topped five feet 132
barely turned away from 55
barely turned their heads 97
barely twelve feet wide 94
barely twenty feet away 413
barely twenty feet from 143
barely twenty feet wide 112
barely without those just 49
barley brewed into beer 53
barley grains have been 53
barley loaves left over 100
barons should have been 43
barons should meet there 57
barony should have been 54
barred blacks from their 50
barred blacks from voting 386
barred negroes from jury 96
barred negroes from voting 60
barred wicket fell open 130
barrel pointing away from 41
barrel should have been 49
barrel vaults were used 114
basely sneaked away from 83
basest metals into gold 168
basket upside down over 71
bathers folded their arms 45
batter boards have been 48
battle already half lost 42
battle became even more 173
battle before many days 44
battle before their camp 98
battle fierce came forth 474
battle fought here during 40
battle fought here from 53
battle fought there during 71
battle lasted five days 101
battle lasted four days 185
battle lasted from dawn 112
battle lasted from early 406
battle lasted from four 107
battle lasted from half 55
battle lasted from nine 68
battle lasted from noon 59
battle lasted only half 129
battle lasted only three 165
battle lasted over three 43
battle lasted three days 675
battle lasted till four 151
battle lasted well into 64
battle passed over unto 49
battle scenes have been 80
battle scenes were shot 137
battle should have been 928
battle without ever having 64
battle without having been 48
beavers building their dams 64
beavers showed their heads 50
became active once more 806
became active only during 42
became active only when 178
became almost free from 63
became bogged down over 341
became bogged down when 59
became broken down into 59
became changed into gold 47
became clearer over time 100
became common among many 63
became common among those 69
became common among young 42
became common even among 85
became common only during 88
became common only from 49
became common only when 55
became common talk among 69
became common unto many 169
became exiles from their 102
became famous some years 44
became formed those great 50
became french once more 109
became german south west 53
became greater over time 58
became hidden from view 114
became larger over time 89
became leaders among their 40
became locked into their 61
became marked some three 46
became normal once more 347
became obvious during these 42
became obvious from their 53
became obvious from these 78
became obvious once more 40
became obvious only when 162
became obvious over time 55
became obvious there were 74
became obvious very early 290
became obvious very soon 156
became pretty hard work 44
became pretty much like 59
became pretty much such 59
became pretty much what 43
became public only when 88
became serious once more 526
became serious only when 117
became silent once more 602
became someone else when 48
became something else when 58
became something even more 124
became something like what 79
became something more akin 53
became something more like 307
became something much more 923
became something very like 662
became something very much 141
became thereby very much 99
became united once more 41
became useful only when 50
became vacant into their 105
became vacant once more 95
became wholly bent upon 56
became widely used along 59
became widely used among 99
became widely used during 287
became widely used from 58
became widely used only 175
became widely used when 71
become active during warm 42
become active from time 65
become active once more 630
become active only during 133
become active only when 956
become active very early 118
become active when their 98
become active when there 59
become actual only when 93
become almost free from 44
become anxious when their 182
become anxious when there 53
become before your eyes 42
become better health care 48
become better over time 297
become bogged down over 143
become bogged down part 53
become bogged down trying 54
become bogged down when 69
become broken down from 62
become broken down into 243
become broken into many 49
become changed from their 40
become changed into other 54
become changed into their 60
become changed into what 40
become cheaper over time 135
become clearer from what 175
become clearer only when 110
become clearer over time 588
become clearer when more 136
become clearer when seen 69
become closer over time 61
become common among many 67
become common among those 73
become common among young 64
become common coin among 42
become common even among 69
become common only during 43
become common talk among 41
become common these days 57
become eroded over time 47
become exempt from evil 48
become exiles from their 303
become farther away from 63
become french once more 106
become further away from 55
become greater over time 346
become hidden from view 219
become insane during their 41
become larger over time 296
become leaders among their 113
become lively once more 114
become locked into such 48
become locked into their 222
become master over your 40
become melted down into 44
become mothers during their 67
become myself once more 44
become normal once more 214
become obvious from their 44
become obvious from these 51
become obvious from what 96
become obvious only when 355
become obvious over time 66
become obvious very soon 42
become opaque from loss 40
become pretty much like 47
become pretty much what 129
become pretty well used 48
become public only when 51
become public till some 49
become public upon filing 286
become reality only when 117
become remote from their 93
become richer over time 69
become rooted among their 128
become rulers over many 88
become serious once more 45
become serious only when 133
become silent once more 40
become sinful only when 77
become slaves once more 111
become someone else when 67
become something else when 111
become something even more 274
become something like what 84
become something more akin 62
become something more like 632
become something much less 56
become something much more 1637
become something very like 784
become something very much 292
become stable only when 61
become stable over time 143
become thinner over time 53
become through your will 1780
become torpid from cold 63
become unclean upon what 47
become unhinged from their 43
become unholy when their 52
become united into more 137
become united once more 68
become useful only when 236
become vacant from time 41
become vacant till many 99
become violent only when 48
become violent when their 55
become vulgar only when 52
become wholly free from 89
become widely used among 83
become widely used during 69
become widely used only 123
become widely used over 75
become younger from west 89
becoming active once more 123
becoming active only when 172
becoming changed into what 145
becoming larger over time 59
becoming something more like 57
becoming something much more 252
becoming something very like 47
becoming yellow when ripe 57
before alaric took rome 40
before another blow fell 91
before another boat came 63
before another call came 40
before another came along 47
before another five years 110
before another four years 64
before another full moon 41
before another half hour 239
before another more heavy 118
before another past time 81
before another ship came 61
before another such moving 79
before another three years 64
before another wave came 78
before another wave took 46
before another young lady 68
before anyone came along 198
before anyone came back 107
before anyone came down 44
before anyone came home 61
before anyone came into 104
before anyone else came 1122
before anyone else died 99
before anyone else dies 143
before anyone else even 777
before anyone else ever 214
before anyone else from 76
before anyone else gets 1995
before anyone else heard 121
before anyone else hears 62
before anyone else here 41
before anyone else knew 987
before anyone else made 40
before anyone else sees 1107
before anyone else told 42
before anyone else took 87
before anyone else what 62
before anyone else when 125
before anyone else will 344
before anyone else woke 109
before anyone even heard 44
before anyone even knew 1136
before anyone ever heard 630
before anyone ever knew 70
before anyone gets here 103
before anyone gets hurt 263
before anyone gets into 42
before anyone gets there 106
before anyone heard from 42
before anyone knew much 99
before anyone knew there 371
before anyone knew what 5298
before anyone will take 69
before barbed wire came 67
before becoming once more 42
before boarding their ship 45
before bouncing back into 51
before brushing their teeth 43
before brushing your teeth 206
before bursting forth into 47
before bursting into tears 666
before castro took over 278
before changes have been 41
before changes were made 520
before changes will take 111
before christ came into 650
before christ came upon 61
before christ have been 100
before christ left judea 76
before christ there were 362
before christ will come 61
before climbing back down 114
before climbing back into 654
before climbing back onto 83
before climbing down from 125
before climbing down into 88
before climbing into their 369
before copies were made 49
before crashing back down 188
before crashing back into 105
before crashing down into 75
before crawling back into 116
before crawling into their 50
before crossing back into 173
before crossing back over 132
before crossing over into 296
