back important information to 41
band structure calculated by 125
band structure calculation by 83
band structure calculation in 47
band structure calculation is 235
band structure calculation of 441
band structure parameters of 79
bank guarantee equivalent to 52
base catalyzed hydrolysis of 380
base sequences recognized by 47
been abandoned completely by 47
been abandoned completely in 64
been abolished everywhere in 62
been accounted sufficient by 84
been addressed acceptably to 190
been addressed adequately by 245
been addressed adequately in 291
been addressed explicitly by 46
been addressed explicitly in 95
been addressed frequently in 76
been addressed indirectly in 49
been addressed originally to 47
been addressed personally by 44
been addressed personally to 95
been addressed separately in 75
been admirably calculated to 107
been admirably chronicled by 51
been admirably documented by 142
been admirably elucidated by 121
been admirably reproduced by 84
been admirably reproduced in 166
been admirably successful in 96
been admirably summarized by 986
been admirably summarized in 208
been admirably translated by 524
been adversely criticized as 112
been adversely criticized by 461
been adversely criticized in 190
been adversely criticized on 68
been adversely influenced by 428
been altogether acceptable to 84
been altogether answerable to 72
been altogether consistent in 98
been altogether consistent on 48
been altogether conversant in 298
been altogether extinguished by 52
been altogether impossible if 68
been altogether impossible to 131
been altogether inadequate to 151
been altogether indisposed to 52
been altogether insensible to 69
been altogether overlooked by 379
been altogether overlooked in 129
been altogether overlooked or 53
been altogether regardless of 44
been altogether subversive of 65
been altogether successful in 793
been altogether superseded by 228
been altogether supplanted by 57
been altogether unaffected by 88
been altogether unconscious of 154
been anciently accustomed to 61
been announced beforehand by 48
been appointed ambassador at 377
been appointed ambassador in 420
been appointed ambassador of 139
been appointed ambassador to 3080
been appointed arbitrator by 47
been appointed archbishop in 46
been appointed archbishop of 1227
been appointed chancellor by 88
been appointed chancellor in 148
been appointed chancellor of 1035
been appointed commandant at 59
been appointed commandant of 787
been appointed commissary of 178
been appointed consultant to 83
been appointed controller of 191
been appointed instructor in 711
been appointed instructor of 71
been appointed lieutenant in 153
been appointed lieutenant of 378
been appointed liquidator of 62
been appointed magistrate of 99
been appointed originally by 49
been appointed personally by 56
been appointed postmaster at 216
been appointed postmaster by 60
been appointed postmaster in 68
been appointed postmaster of 249
been appointed procurator of 112
been appointed protectors by 144
been appointed stewardess by 44
been appointed subsequent to 67
been appointed supervisor of 386
been basically determined by 116
been basically influenced by 48
been basically interested in 57
been carefully calculated by 182
been carefully calculated in 87
been carefully calculated on 53
been carefully calculated so 122
been carefully calculated to 515
been carefully calibrated by 115
been carefully calibrated in 40
been carefully calibrated to 128
been carefully chronicled by 89
been carefully classified by 45
been carefully conditioned to 60
been carefully considered as 206
been carefully considered at 148
been carefully considered by 3306
been carefully considered in 2797
been carefully considered on 44
been carefully considered or 48
been carefully considered so 109
been carefully considered to 137
been carefully controlled by 223
been carefully controlled in 120
been carefully controlled to 255
been carefully cultivated by 526
been carefully cultivated in 188
been carefully cultivated to 64
been carefully determined at 84
been carefully determined by 821
been carefully determined in 148
been carefully determined to 45
been carefully documented by 692
been carefully documented in 507
been carefully elaborated by 221
been carefully elaborated in 91
been carefully elucidated by 57
been carefully extirpated by 82
been carefully formulated by 123
been carefully formulated in 43
been carefully formulated to 186
been carefully identified as 84
been carefully identified by 43
been carefully inculcated at 128
been carefully instructed as 168
been carefully instructed by 567
been carefully instructed in 1164
been carefully instructed on 53
been carefully instructed to 340
been carefully introduced to 45
been carefully maintained by 232
been carefully maintained in 104
been carefully programmed in 42
been carefully programmed to 94
been carefully registered by 48
been carefully reproduced by 94
been carefully reproduced in 81
been carefully restrained by 150
