babies treated with oxygen 73
backed blades and points 193
backed closer and closer 53
backed dollar for dollar 388
backed farther and farther 140
backed further and further 173
backed silica gel plates 121
backed volume was struck 60
backup copies are stored 127
backup system for cloudy 82
backup system that allows 105
baffle plates are fitted 132
baleen whales and toothed 234
ballet dancer and teacher 520
ballet master and teacher 174
ballot papers and ballot 488
ballot papers and counting 240
ballot papers and reject 46
ballot papers are issued 98
ballot papers are sorted 103
bamboo chairs and tables 262
bamboo stakes are placed 105
bamboo tables and chairs 221
bamboo tablet and stylus 124
banana groves and fields 43
bangles around her ankles 45
bangles around her wrists 59
banish specie and bullion 155
banked around for another 51
barbed horses and heavily 102
barely better than chance 74
barely caught her before 50
barely caught him before 43
barely covering her breasts 161
barely enough for drinking 56
barely lasted long enough 61
barely looked old enough 179
barely missed being killed 85
barely passed his twenty 147
barely paused long enough 76
barely reached her ankles 59
barely reached his ankles 87
barely stayed long enough 57
barely stopping long enough 88
barely touching one another 102
barges filled with stones 85
barges filled with troops 43
barges loaded with forage 136
barges loaded with lumber 103
barges loaded with timber 40
barges loaded with troops 88
barium dioxide with dilute 44
barked louder and louder 145
barked loudly and jumped 59
barley grains are soaked 98
barley loaves and fishes 647
barons without his advice 80
barred window and looked 125
barred window that looked 151
barred window that opened 55
barrel filled with powder 69
barren island with hardly 421
barren plains and through 41
barren plates and knives 43
barren timber for building 141
barren valley was thickly 51
baryon number and charge 209
baryon number and lepton 618
baryon states fit nicely 58
basalt magmas and thermal 53
basely mangled and abused 99
basket brimming with fruits 54
basket dinner was served 54
basket filled with apples 107
basket filled with boiled 41
basket filled with broken 51
basket filled with clothes 52
basket filled with cotton 138
basket filled with fruits 152
basket filled with grapes 85
basket filled with little 106
basket filled with loaves 66
basket filled with oranges 125
basket filled with pieces 59
basket filled with stones 145
basket filled with various 107
basket filled with yellow 149
batter boards are placed 46
battle before they reached 68
battle before they should 58
battle ensued that lasted 95
battle fought near england 59
battle fought near hastings 42
battle itself was fought 158
battle lasted all through 46
battle lasted for almost 52
battle lasted for twenty 57
battle reached its climax 417
battle reached its height 114
battle reaches its climax 52
battle scenes that follow 93
battle whence his spirit 41
battle without being forced 52
battle without his shield 52
battle wounds and disease 87
bawled louder and louder 46
beaches unsafe for swimming 44
became active and adroit 81
became active and caused 50
became active and useful 80
became active and zealous 52
became afraid and called 42
became afraid and thought 50
became afraid and turned 65
became afraid that someone 47
became afraid that something 60
became allied with france 51
became angrier and angrier 861
became anxious and afraid 64
became anxious and called 52
became anxious and fearful 118
became anxious and thought 42
became anxious and wanted 51
became anxious for another 81
became better and better 4962
became better and cheaper 75
became bigger and better 349
became bigger and bigger 1909
became bigger and faster 157
became bigger and heavier 198
became bitter and violent 55
became bleaker and bleaker 58
became bolder and bolder 1012
became bolder than before 111
became bright and glassy 67
became broken and floating 90
became brother and sister 108
became busier and busier 364
became calmer and calmer 103
became cheaper and better 130
became cheaper and cheaper 368
became cheaper and faster 135
became choked with debris 66
became choked with emotion 286
became clearer and better 159
became clearer and clearer 6030
became clearer and louder 100
became clearer than before 108
became closer and closer 3284
became closer than before 334
became coarse and vulgar 129
became coated with copper 206
became colder and colder 1160
became colder and darker 43
became colder and wetter 232
became cooler and cooler 525
became cooler and wetter 413
became curious and looked 51
became curious and opened 40
became curious and wanted 199
became darker and colder 98
became darker and darker 3643
became darker and deeper 60
became darker and heavier 46
became darker and thicker 41
became darker and wilder 51
became deeper and darker 58
became deeper and deeper 4385
became deeper and faster 89
became deeper and fuller 45
became deeper and larger 48
became deeper and louder 55
became deeper and richer 99
became deeper and slower 60
became deeper and softer 40
became denser and darker 125
became denser and denser 844
became denser and hotter 127
became dimmer and dimmer 625
became dotted with little 54
became drowsy and closed 69
became drowsy she became 49
became duller and duller 135
became dusted with pollen 50
became earlier and earlier 186
became envious and jealous 50
became famous all through 55
became famous and highly 82
became famous and mighty 52
became famous and widely 64
became famous far beyond 148
became famous for another 83
became famous for building 167
became famous for fighting 47
became famous for painting 115
became famous for rescuing 48
became famous for something 50
became famous long before 43
became farther and farther 456
became faster and cheaper 114
became faster and deeper 49
became faster and faster 2459
became faster and louder 114
became fathers and mothers 121
became fatter and fatter 238
became fearful and anxious 74
became fearful that something 40
became fierce and bloody 131
became fierce and furious 44
became filled with clouds 49
became filled with debris 95
became filled with desire 91
became filled with divine 41
became filled with doubts 48
became filled with emotion 70
became filled with hatred 107
became filled with images 86
became filled with scenes 54
became filled with sorrow 51
became filled with strange 50
became filled with tension 40
became filled with terror 102
became filled with various 54
became filled with visions 50
became filled with wonder 239
became firmer and firmer 146
became firmer than before 129
became fitted for arctic 53
became fonder and fonder 226
became fuller and clearer 52
became fuller and deeper 47
became fuller and fuller 574
became fuller and richer 133
became fuller and slower 51
became furious and burned 55
became furious and called 94
became furious and cursed 80
became furious and rushed 45
became furious and struck 42
became furious and turned 69
became furious and wanted 73
became furious and yelled 93
became furious with myself 50
became further and further 1519
became gentle and docile 43
became gentle and tender 40
became german east africa 181
became gloomy and morose 404
became gloomy and silent 57
became gloomy and sullen 64
became graver and graver 447
became grayer and grayer 42
became greater and greater 5281
became greater than before 622
became greedy and wanted 52
became harder and faster 72
