babe might walk throughout 77
baby grows into childhood 79
back about three centuries 58
back again from exultation 131
back again into barbarism 80
back again into childhood 42
back again into nonentity 67
back again into obscurity 139
back again into themselves 56
back again more confirmed 71
back again upon themselves 41
back first upon byzantine 54
back nearly five centuries 62
back nearly four centuries 120
back nearly three centuries 152
back super bowl victories 47
back taxes plus penalties 40
back under some semblance 41
back under such conditions 58
back under their protection 67
back under these conditions 202
back until late afternoon 395
bait dangling down unsteadily 43
ball mills have discharge 134
ball under these conditions 57
band under these conditions 83
bank after bank suspended 42
bank comes into possession 90
bank loans were available 123
bank money used sometimes 118
bank notes were presented 49
bank senior vice president 46
bank shall take reasonable 60
bank under these conditions 51
bare light bulb suspended 77
bars which once separated 68
base lines when available 126
base under these conditions 139
base which once supported 41
bass notes from toughened 77
beach below fort rotterdam 40
bearing reins were shortened 229
beating people into submission 44
beds which were deposited 212
beds which were previously 60
been about half completed 47
been about some household 55
been acted upon favorably 265
been acted upon previously 62
been acted upon throughout 76
been added when necessary 64
been again giving uneasiness 53
been anything like political 75
been anything like unanimity 45
been anything more important 63
been arguing among themselves 192
been based upon different 113
been based upon empirical 94
been based upon estimates 51
been based upon extensive 63
been based upon guesswork 50
been based upon ignorance 68
been based upon incorrect 53
been based upon knowledge 56
been based upon objective 99
been based upon political 158
been based upon specimens 99
been based upon theoretical 87
been based were unreliable 79
been beaten into submission 889
been bending over backwards 515
been blind from childhood 153
been blown away altogether 41
been blown into fragments 92
been blown into splinters 53
been borne more patiently 42
been built many centuries 103
been built only yesterday 125
been built over centuries 99
been built some centuries 40
been built three centuries 87
been built were destroyed 55
been built when production 90
been calling your apartment 69
been changing their character 48
been cowed into subjection 50
been cowed into submission 438
been dated more precisely 44
been drawn from different 686
been drawn from documents 61
been drawn from elsewhere 59
been drawn from empirical 47
been drawn from extensive 46
been drawn from identical 62
been drawn from motherhood 44
been drawn from obscurity 77
been drawn from political 49
been drawn from previously 48
been drawn from published 147
been drawn from scripture 48
been drawn from secondary 63
been drawn from specimens 169
been drawn into association 49
been drawn into discussion 75
been drawn into expensive 55
been drawn into industrial 79
been drawn into political 280
been drawn into precedent 89
been drawn into production 69
been drawn more precisely 63
been drawn upon liberally 70
been drawn upon throughout 45
been dried over anhydrous 88
been dwelt upon elsewhere 68
been eight years previously 48
been falling into desuetude 89
been falling into discredit 79
been falling into disrepair 92
been falling into disrepute 198
been falling over themselves 241
been feeling very depressed 406
been feeling very miserable 48
been fifty years previously 95
been fired from somewhere 40
been fired upon repeatedly 95
been first vice president 83
been fixed upon coleridge 46
been forty years previously 91
been found among australian 54
