backwardness left over from 64
barbiturates have also been 92
barbiturates have been used 386
battlefields must have been 44
belligerents from bringing their 40
beneficiaries have also been 59
beneficiaries have been able 110
beneficiaries have been paid 58
beneficiaries have been those 61
beneficiaries must have been 58
bewilderment must have been 119
bibliographic data have been 41
blockbusters like star wars 54
broadcasters have also been 48
broadcasters have been able 96
bureaucracies have been able 60
