backbone carbonyl oxygen of 167
backward children should be 101
backward direction beyond the 40
backward direction through the 53
backward direction toward the 76
backward movement should be 51
backward movement through the 160
backward movement toward the 80
bacterial colonies should be 46
bacterial cultures should be 283
bacterial elongation factor tu 152
bacterial infection appears to 73
bacterial infection caused by 1224
bacterial infection causes the 63
bacterial infection occurs in 104
bacterial infection should be 503
bacterial infection through the 165
bacterial meningitis caused by 322
bacterial meningitis should be 221
bacterial pathogens should be 90
bacterial pneumonia caused by 158
bacterial pneumonia should be 145
bacterial products through the 52
balanced approach should be 105
balanced approach toward the 90
balanced attitude toward the 221
balanced magnetic needle is 43
bandpass filtered version of 101
bandwidth expansion factor of 57
bankrupt beggarly fellow as 67
baptized children should be 151
barbarian invasions across the 44
barbarian practice enough to 51
bargaining contract signed by 41
barnacle attaches itself to 45
barreled questions should be 42
barriers preventing access to 146
barriers restrict access to 72
basaltic eruptive events on 56
basement consists mainly of 43
basement membrane appears as 153
basement membrane appears to 531
basement membrane around the 729
basement membrane called the 102
basement membrane caused by 85
basement membrane changes in 590
basement membrane covering the 360
basement membrane covers the 127
basement membrane damage in 146
basement membrane disease in 269
basement membrane disease is 228
basement membrane formed by 192
basement membrane itself is 76
basement membrane lesions in 149
basement membrane matrix in 43
basement membrane occurs in 132
basement membrane serves as 181
basement membrane serves to 103
basement membrane should be 97
basement membrane through the 139
basement membrane toward the 315
basement membrane varies in 99
battalion received orders to 573
beautiful capitals adorning the 56
beautiful caribbean island of 66
beautiful cathedral should be 59
beautiful circular valley of 73
beautiful colossal statue of 59
beautiful colossus before me 61
beautiful creatures should be 51
beautiful deceiver before he 238
beautiful farewell letter to 53
beautiful mountain regions of 60
beautiful mountain resort in 42
beautiful mountain valley of 40
beautiful organism existing in 42
beautiful pictures through the 69
beautiful princess figure in 46
beautiful princess marina of 40
beautiful prospect before me 52
beautiful prospect before us 97
beautiful sensation lasted no 57
beautiful symbolic design of 40
beautiful tropical island in 45
beautiful tropical island of 62
