backup requires more than 45
bakery products made with 127
bakery products other than 61
ballot containing more than 47
bandit generals were too 58
banish entirely from his 51
banish yourself from all 64
banner fluttering over his 255
barely abstract ideas with 102
barely adequate even for 72
barely adequate food and 42
barely afforded room for 56
barely concealed anger and 41
barely conscious when she 41
barely conscious when they 84
barely differed from that 67
barely eighteen when she 134
barely eighteen years old 1091
barely exchanged more than 107
barely finished saying this 42
barely finished when she 72
barely finished when they 68
barely finished when this 95
barely fourteen years old 686
barely nineteen when she 54
barely nineteen years old 515
barely remember what had 91
barely remember what her 64
barely remember what she 199
barely remember what they 105
barely remember what you 56
barely remember when she 41
barely returned from his 75
barium chloride test for 55
barked fiercely when one 284
barren detested vale you 129
basely borrowed from any 44
basely confound those things 47
basest creatures upon earth 174
basest treachery upon her 47
basket containing bread and 117
basket containing food and 60
battle cruisers hood and 99
battle cruisers were not 85
battle cruisers were out 44
battle involves more than 47
battle seesawed back and 148
battling pastures lade with 44
became absorbed into his 97
became absorbed into its 158
became absorbed into one 44
became absorbed into that 110
became absorbed into this 49
became absorbed more and 44
became agitated when she 107
became agitated when they 76
became alarmingly clear that 92
became animated when she 75
became apparent also that 476
became apparent among them 105
became apparent during and 60
became apparent during his 198
became apparent during our 244
became apparent during that 95
became apparent during this 476
became apparent early that 371
became apparent from her 58
became apparent from his 212
became apparent from our 136
became apparent from this 215
became apparent just how 351
became apparent last year 47
became apparent less than 44
became apparent more than 75
became apparent only with 297
became apparent soon that 153
became apparent there was 632
became apparent what had 93
became apparent what was 196
became apparent when all 93
became apparent when both 41
became apparent when her 42
became apparent when his 134
became apparent when its 70
became apparent when one 526
became apparent when she 472
became apparent when they 611
became apparent when this 54
became apparent when two 191
became apparent when you 52
became assailed from all 52
became bitterly cold and 134
became brutally clear that 55
became centered more and 43
became codified into law 57
became combined into one 47
became commonly used for 87
became complete when they 46
became confined more and 52
became confused when she 89
became confused when they 166
became conscious there was 63
became dangerous when they 86
became detached from all 141
became detached from any 78
became detached from each 73
became detached from her 158
became detached from his 360
became detached from its 745
became detached from one 167
became detached from that 42
became detached from them 76
became detached from things 50
became detached from this 72
became directed more and 98
became distinct from each 75
became distinct from one 114
became distinct from that 155
became diverted from his 49
became diverted from its 84
became divorced from any 97
became divorced from his 116
became divorced from its 228
became divorced from one 98
became dominant during this 55
became dominant over all 94
became dominant over that 58
became eighteen years old 214
became emotional when she 46
became entirely clear that 87
became essential reading for 305
became estranged from all 64
became estranged from both 59
became estranged from each 203
became estranged from god 148
became estranged from her 760
became estranged from him 560
became estranged from his 1600
became estranged from its 127
became estranged from one 311
became estranged from them 158
became euphoric when they 44
became fourteen years old 115
became friendly when they 74
became furiously angry and 184
became furiously angry with 162
became habitual during his 59
became horribly clear that 48
became incensed when his 63
became incensed when she 74
became incensed when they 93
became infected when fed 59
became infected when they 101
became initiated into all 78
became intimate also with 53
became inverted from van 55
became involved along with 66
became involved during his 72
became involved during this 63
became involved more and 164
became involved more than 49
became involved when she 53
became involved when they 138
became isolated from all 110
became isolated from each 308
became isolated from her 58
became isolated from his 196
became isolated from its 151
became isolated from one 516
became loosened from its 67
became manifest unto them 61
became manifest when they 46
became notorious among his 41
became obedient unto death 26867
became obsolete along with 43
became obsolete more than 55
became outraged when they 56
became patently clear that 587
became possible even for 129
became possible only due 118
became possible only for 55
became possible only with 1609
became possible when they 80
became pregnant during her 209
became pregnant during one 132
became pregnant during that 50
became pregnant during this 123
became pregnant from eating 44
became pregnant from her 54
became pregnant from this 42
became pregnant last year 137
became pregnant less than 48
became pregnant there was 43
became pregnant were not 54
became pregnant when her 44
became pregnant when she 514
became pregnant when they 122
became rarefied more and 53
became renowned from its 59
became required reading for 1201
became resolved into one 46
became restless during his 41
became restless when they 60
became scarcely more than 269
became sensible also that 65
became sensible there was 76
became separate from each 53
became separate from that 54
became seriously sick and 54
became shockingly clear that 129
became slightly less than 55
became slightly more than 46
became slightly tinged with 163
became somewhat cold and 49
became somewhat less than 95
became somewhat more than 78
became standard fare for 340
became standard reading for 179
became strikingly clear that 103
became suddenly angry and 62
became suddenly calm and 138
became suddenly clear and 74
became suddenly clear that 356
became suddenly cold and 127
