banned manufacturing devices or 143
barely discernible against the 371
barely discernible because of 75
barely discernible between the 49
barely discernible fissure of 44
barely discernible outline of 59
barely distinguished between the 60
barely established himself in 49
barely perceptible against the 93
barely perceptible current of 40
barely perceptible flicker of 85
barely perceptible gesture of 61
barely perceptible increase in 191
barely respectable according to 52
barely significant increase in 57
battling desperately against the 55
became commercially feasible in 48
became commonplace features of 49
became complicated because of 148
became complicated because the 63
became complicated together in 95
became comptroller general of 57
became confidential adviser to 77
became conspicuous because of 74
became conspicuous features of 48
became conspicuous figures in 80
became constituent members of 109
became corresponding members of 42
became disaffected because of 54
became disaffected towards the 65
became discouraged because he 79
became discouraged because of 172
became discouraged because the 57
became discredited because of 114
became distinctive features of 107
became distinguished members of 142
became established because of 88
became established between the 362
became established between us 72
became established features of 128
became established following the 49
became established members of 59
became established outside the 43
became established towards the 46
became exasperated against the 64
became exclusively devoted to 113
became fanatically devoted to 79
became impractical because of 64
became independent because of 51
became independent between the 42
became independent farmers or 73
became independent following the 126
became independent members of 277
became indifferent towards the 61
became ineffective because of 109
became ineffective because the 61
became inoperative because of 102
became inseparably blended in 115
became intolerable because of 111
became intolerably irksome to 63
became necessarily against it 144
became numerically superior to 48
became participating members of 50
became passionately devoted to 429
became permanently annexed to 68
became permanently located at 41
became permanently located in 72
became permanently settled in 144
became permanently subject to 42
became politically charged in 43
became politically correct to 82
became practically extinct in 152
became practically limited to 43
became problematic because of 157
became prostitutes because of 83
became respectable members of 163
became secondarily adapted to 56
became significant because it 56
became significant because of 129
became significant because the 42
became significant factors in 223
became significant features of 51
became significant figures in 100
became significant players in 174
became significant sources of 113
became silhouetted against the 134
became spiritually adapted to 216
became subordinate members of 47
became technically feasible in 62
became technically feasible to 107
became unavailable because of 126
became unavoidable because of 41
became ungratefully haughty at 105
became universally adopted in 50
became universally popular in 122
became unmanageable because of 63
became unnecessary because of 109
became unnecessary because the 95
become accentuated because of 63
become alternative sources of 100
become amalgamated together as 393
become biologically related to 48
become comfortably settled in 98
become commercially feasible to 41
become commonplace because of 123
become commonplace features of 96
become communicant members of 67
become competitive because of 50
become complicated because of 316
become complicated because the 158
become conspicuous because of 115
become conspicuous features of 60
become constipated because of 81
become constituent members of 141
become cooperative members of 58
become corresponding members of 65
become demoralized because of 58
become descriptive language by 59
become disaffected because of 51
become disaffected towards the 110
become discouraged because he 103
become discouraged because of 591
become discouraged because the 180
become discouraged because we 83
become discredited because of 98
become disheartened because of 61
become disoriented because of 47
become distinctive features of 152
become distinguished members of 58
become distributed according to 69
become distributed between the 166
become embarrassed because of 53
become established according to 67
become established because it 74
become established because of 281
become established because the 97
become established between the 765
become established features of 155
become established following the 49
become established members of 141
become established outside of 50
become established outside the 140
become exaggerated because of 57
become excessively focused on 76
become exclusively devoted to 89
become exclusively focused on 51
become exquisitely adapted to 333
become extensively popular in 72
become fanatically devoted to 46
become fortunately stronger by 44
become functionally related to 113
become fundamental aspects of 61
become fundamental features of 43
become genetically adapted to 137
become hemorrhagic because of 40
become illimitable spheres of 55
become immobilized because of 46
become impractical because of 117
become incompetent because of 111
become independent because of 46
become independent centers of 63
become independent farmers in 47
become independent farmers on 53
become independent farmers or 90
become independent learners by 40
become independent learners in 55
become independent learners is 42
become independent members of 438
become independent objects of 63
become independent sources of 140
become indifferent between the 42
become indifferent towards the 83
become individuals capable of 43
become ineffective against the 40
become ineffective because of 406
become ineffective because the 107
become inefficient because of 133
become inoperative because of 193
become intelligent members of 82
become intensified because of 71
become intercessor betwixt me 83
become intolerable because it 60
become intolerable because of 156
become maladjusted because of 43
become naturalized according to 60
become naturalized citizen or 82
become obsessively focused on 47
become obsolescent because of 63
become organically related to 76
become participating members in 50
become participating members of 564
become passionately devoted to 151
become permanently adapted to 42
become permanently affixed to 126
become permanently damaged by 43
become permanently ingrained in 59
become permanently injured by 46
become permanently located in 61
become permanently settled in 375
become permanently settled on 40
become permanently subject to 41
become permanently trapped in 75
become politically correct in 48
become politically correct to 150
become politically feasible to 44
become politically salient in 48
become practically extinct in 285
become practically useless as 42
become practically useless to 80
become problematic because it 69
become problematic because of 264
become problematic because the 93
become professional artists or 46
become professional athletes or 43
become professional workers in 42
become prohibitive because of 74
become prospective clients of 200
become prostitutes because of 128
become questionable because of 53
become respectable members of 395
become responsible members of 967
become secondarily adapted to 297
become secondarily invaded by 62
become sensitively attuned to 50
become significant aspects of 107
become significant because of 266
become significant because the 59
become significant centers of 42
become significant factors in 628
become significant features of 130
become significant figures in 188
become significant members of 55
become significant players in 438
become significant players on 41
become significant sources of 476
become silhouetted against the 65
become subordinate members of 40
become superfluous because of 109
become superfluous because the 70
become symptomatic because of 202
become symptomatic between the 88
become technically feasible in 74
become technically feasible to 124
become temporarily trapped in 61
become troublesome because of 53
become unalterably opposed to 49
become unavailable because of 302
become unavailable because the 64
become unavoidable because of 81
become undesirable because of 69
become unimportant because of 50
become unimportant because the 43
become universally adopted by 81
become universally adopted in 107
become universally popular in 72
become unmanageable because of 259
become unnecessary because of 146
become unnecessary because the 115
becoming constituent members of 45
becoming discouraged because of 55
becoming established between the 48
becoming independent members of 52
becoming ineffective because of 57
becoming intolerably irksome to 80
becoming participating members of 43
becoming respectable members of 64
becoming responsible members of 130
becoming significant factors in 46
becoming significant players in 61
before acknowledging receipt of 77
before alternative sources of 65
before christianity appeared in 93
before christianity appeared on 93
before christianity arrived in 99
before construction started on 72
before development consent is 49
before differences between the 42
before distinguished himself by 211
before distinguished himself in 141
before equilibrium between the 50
before hostilities between the 89
before relinquishing control of 96
before relinquishing control to 69
before reluctantly accepting the 103
before reluctantly returning to 175
before significant amounts of 454
before significant numbers of 447
behave differently according as 147
behave differently according to 956
behave differently because of 632
behave differently because the 91
behave differently because we 44
behave differently depending on 1803
behave differently towards me 48
behave differently towards the 173
behave responsibly towards the 60
behaving differently according to 40
behaving differently because of 78
belief necessarily entails the 45
