big states afford indisputable 55
both groups showed improvements 47
but always without premeditation 59
but isabel looked disappointed 105
but little direct communication 76
but little obvious significance 73
but little serious consideration 56
but merits further investigation 64
but nobody seemed particularly 59
but through active participation 79
but through simple inadvertence 60
but through sudden developments 41
but without active participation 65
but without direct communication 43
but without further investigation 93
but without further specification 111
but without serious consequences 331
