bachelor majors said very 51
backbone should have been 43
backward castes have been 70
backward nimbly into their 102
backward peoples have been 103
backward peoples must have 74
backward regions have been 83
backward through time from 53
bacterial agents have been 113
bacterial counts have been 123
bacterial counts were made 158
bacterial genera have been 85
bacterial origin have been 151
bacterial spores have been 90
bacterial toxins have been 218
balanced budget have been 47
balanced budget will have 48
balanced manner taking into 86
balanced powers must ever 175
balances should have been 77
baldness gently rising from 77
bandages around their heads 273
bandages should have your 262
bandanas around their heads 217
bandanna around your neck 64
bankrupt without having paid 58
barbarian deluge will ever 79
barbarian hordes were moving 42
barbarian virtue have been 40
barbaric nations among whom 205
barbaric tribes must have 50
barberry bushes have been 87
bargaining models have been 49
bargaining rights have been 146
baronage showed from what 60
barriers should have been 73
baseball player must have 54
baseball player pete rose 175
baseball should have been 41
baseless theories have been 43
basement should have been 52
battalion should have been 105
bayberry bushes send their 54
beatified spirit rising from 123
beautiful bright blue eyes 91
beautiful building dating from 45
beautiful couple ever seen 53
beautiful crowns upon their 90
beautiful drifts away like 132
beautiful english girl whom 48
beautiful finish having been 51
beautiful formal dining room 51
beautiful french girl whom 45
beautiful golden gate park 129
beautiful hedges were torn 45
beautiful houses have been 86
beautiful indeed when snow 40
beautiful italian wife among 64
beautiful ladies ever seen 80
beautiful ladies ever think 98
beautiful letter from your 49
beautiful little baby girl 252
beautiful little face upon 204
beautiful little girl came 43
beautiful little girl from 74
beautiful little girl into 41
beautiful little girl like 42
beautiful little girl whom 146
beautiful little room full 47
beautiful little room over 52
beautiful object must have 107
beautiful object when seen 61
beautiful outlaw made love 54
beautiful pageant from north 51
beautiful pieces have been 50
beautiful pieces were made 52
beautiful places there were 130
beautiful plants have been 65
beautiful plumes only during 41
beautiful should have been 77
beautiful smiles look down 62
beautiful sounds coming from 53
beautiful summer days when 45
beautiful theories have been 41
beautiful virtue threw over 75
beautiful waters among these 62
befallen someone else whom 45
beginnings should have been 45
beguiled england into buying 73
behaviors differ from those 190
behaviors should have been 101
beholder should have made 135
believed should have been 987
believed through many ages 81
believed through their word 65
believed without having seen 61
believes prices will move 54
believes prices will rise 48
believes should have been 407
benefiting greatly from their 45
benefits accrue from having 46
benefits accrue from such 161
benefits accrue from their 106
benefits accrue only when 49
benefits accrue over time 239
benefits accruing from having 54
benefits accruing from more 46
benefits accruing from such 1894
benefits accruing from their 1090
benefits accruing from these 363
benefits accruing from those 57
benefits become even more 67
benefits deriving from such 250
benefits deriving from their 166
benefits deriving from these 76
benefits deriving from those 83
benefits differ from those 66
benefits gained from having 81
benefits gained from such 284
benefits gained from their 136
benefits gained from these 107
benefits gained from those 61
benefits greatly from having 147
benefits greatly from such 50
benefits greatly from their 45
benefits greatly from these 86
benefits result from having 42
benefits result from such 160
benefits result from their 40
benefits result from these 93
benefits should come from 146
benefits should have been 798
benefits should take into 61
benefits stemming from their 52
benefits stemming from these 41
benefits through their jobs 41
benefits without ever having 40
benefits without paying their 52
bestowed special care upon 51
bestowed without much care 50
bestowed without some wise 58
betrayed nations into most 44
biography should have been 160
bitterly fought over during 53
bitterly regret having done 47
blankets around their heads 73
blankets around their legs 51
blankets behind their huge 42
blankets draped over their 238
blankets folded over their 43
blankets pulled over their 147
blindest bluffs hold good 56
blizzard lasted three days 64
blockade should have been 71
blockers reduce heart rate 89
blossoms should have been 61
blubbering fellow meant what 59
boarders should have made 60
bobolink melody from some 40
bonfires blazed from north 55
bookcase looked more like 110
bordered gravel walk from 42
borrowed abroad have been 59
borrowed almost nothing from 74
borrowed beyond their means 60
borrowed freely from many 140
borrowed freely from other 390
borrowed freely from their 203
borrowed freely from these 114
borrowed freely from those 43
borrowed heavily from john 73
borrowed heavily from many 61
borrowed heavily from other 440
borrowed heavily from some 79
borrowed heavily from such 49
borrowed heavily from their 373
borrowed heavily from these 146
borrowed heavily from those 87
borrowed heavily from what 87
borrowed little from their 41
borrowed something from their 47
borrowed theories from other 57
borrowed without cost from 48
borrowed without leave from 41
borrower should make sure 50
bottomed barges there were 43
boulders rolled down from 98
boulders washed down from 104
boulders weighing many tons 225
boundary changes have been 108
boundary changes over time 65
boundary changes were made 156
boundary issues have been 45
boundary layers have been 286
boundary points have been 68
boundary should have been 209
boundary stones have been 154
boundary values have been 94
bourgeois values have been 109
branches always spring from 55
branches differ from those 44
branches should come forth 43
branches should have been 150
branches should spring from 57
branches taught were reading 82
breakdown occurs only when 51
breakdown occurs when there 45
breakdown should have been 50
breakfast before heading back 45
breakfast before leaving home 104
breakfast cereals have been 79
breakfast cereals made from 137
