babes sold to purchase 133
backing down the corridor 54
backing down the driveway 798
backing from an american 42
backing from the adhesive 299
backing from the american 577
backing from the business 291
backing from the carnegie 45
backing from the governor 53
backing from the japanese 63
backing from the majority 44
backing from the military 404
backing from the ministry 250
backing from the powerful 153
backing into the driveway 189
backing made it possible 44
backing must be provided 52
backing will be required 101
backs down the driveway 66
backs upon the atlantic 231
backs upon the audience 103
backs upon the comforts 44
backs upon the wretched 52
badly during the cultural 79
badly from the economic 46
badly from the recession 56
badly hurt by inflation 89
badly hurt to continue 45
badly need the services 41
badly when he returned 41
baggy pair of trousers 182
baked beans on saturday 234
baked hard as concrete 45
balls down an inclined 259
balls during the carnival 158
balls from the american 164
balls from the garrison 86
balls from the opposite 42
balls into the audience 74
balls into the outfield 103
balls made of hardened 52
balls must be pocketed 72
balls must be replaced 67
balls will be observed 42
balmy breath of december 46
bands along the missouri 61
bands from the original 106
bands from the spectrum 65
bands like the grateful 305
bands make it possible 47
bands play on weekends 49
bands range in thickness 46
bands seem to indicate 52
bands vary in thickness 215
bands were in evidence 46
bands will be detected 44
bands will be observed 231
bands will be obtained 49
bands will be produced 99
bands will be required 62
banged down the receiver 1222
banking firm in washington 95
banking over the internet 365
banking were so feminine 44
banks acting as trustees 120
banks along the missouri 105
banks along the ramparts 61
banks along the roadside 61
banks came to dominate 75
banks during the financial 103
banks during the twenties 40
banks find it possible 57
banks from the business 44
banks from the financial 49
banks have an interest 344
banks have no branches 73
banks have no interest 147
banks have no security 86
banks have the authority 108
banks have the capacity 114
banks have the potential 194
banks have to consider 71
banks have to maintain 431
banks hold as reserves 88
banks hold the reserves 52
banks into the business 77
banks into the domestic 118
banks into the mortgage 191
banks into the property 59
banks keep the ultimate 61
banks made it possible 174
banks make it possible 191
banks must be approved 81
banks must be enhanced 106
banks must be examined 74
banks must be prepared 181
banks must be regarded 67
banks need to consider 58
banks need to maintain 102
banks open on saturday 67
banks paid no interest 194
banks seek to maximize 53
banks such as citibank 476
banks tend to dominate 66
banks tend to maintain 62
banks upon the security 64
banks want to maintain 41
banks were in business 147
banks were in distress 49
banks were in financial 63
banks were in operation 640
banks were the dominant 137
banks were the mouldering 194
banks were to continue 111
banks were to maintain 119
banks when it suddenly 84
banks will be affected 112
banks will be entitled 58
banks will be examined 86
banks will be expected 142
banks will be inclined 43
banks will be increased 161
banks will be involved 62
banks will be prepared 117
banks will be provided 57
banks will be replaced 45
banks will be required 683
banks will be returned 70
banks wish to maintain 56
bared teeth of stallions 48
barge full of soldiers 41
barge slid up alongside 69
barge tied up alongside 46
barge till we anchored 40
barking from the direction 53
barks upon the roughest 110
baron came in collision 41
barring only the children 74
basal cell or squamous 1781
basal cell to squamous 45
basal half of mandible 190
basal rate of secretion 427
basal till is squeezed 62
basal width of mandible 577
based care is provided 161
based care of children 45
based flap is elevated 127
based form of economic 45
based form of politics 94
based form of treatment 53
based inks on recycled 59
based labs on children 155
based less on abstract 47
based less on economic 162
based less on evidence 100
based less on military 60
based less on personal 352
based less on physical 66
based less on specific 63
based mode of analysis 134
based mode of operation 215
based more on abstract 111
based more on academic 44
based more on aesthetics 43
based more on affection 59
based more on authority 43
based more on business 127
based more on clinical 286
based more on communal 47
based more on concepts 51
based more on contract 58
based more on counsels 54
based more on cultural 566
based more on domestic 82
based more on economic 1200
based more on emotional 475
based more on enthusiasm 196
based more on equality 86
based more on ethnicity 47
based more on external 87
based more on financial 136
based more on folklore 82
based more on geography 153
based more on immediate 50
based more on informal 68
based more on instinct 165
based more on interest 49
based more on internal 112
based more on intuition 791
based more on judgment 75
based more on literary 76
based more on military 59
based more on optimism 82
based more on personal 2724
based more on physical 180
based more on politics 259
based more on potential 44
based more on practice 97
based more on religious 149
based more on rhetoric 118
based more on romantic 41
based more on security 41
based more on seniority 161
based more on services 53
based more on specific 73
based more on suspicion 56
based more on tradition 1055
based must be accurate 65
based must be examined 75
based must be regarded 65
based only on abstract 64
based only on academic 70
based only on accurate 41
based only on analysis 80
based only on approved 49
based only on authority 82
based only on business 46
based only on chemical 135
based only on children 71
based only on clinical 563
based only on complete 64
based only on cultural 49
based only on distance 73
based only on domestic 48
based only on economic 485
based only on education 50
based only on evidence 605
based only on examples 43
based only on expected 158
based only on external 165
based only on financial 173
based only on hospital 66
based only on immediate 71
based only on indirect 204
based only on informal 41
based only on interest 83
based only on internal 143
based only on intuition 120
based only on isolated 58
based only on judgment 45
based only on linguistic 44
based only on literary 42
based only on military 51
based only on negative 57
based only on observed 309
based only on original 42
based only on patients 110
based only on personal 662
based only on physical 444
based only on positive 117
based only on presence 40
based only on probable 61
based only on property 101
based only on publicly 40
based only on quantity 44
based only on questions 56
based only on recorded 40
based only on relative 139
based only on relevant 64
based only on religious 125
based only on reported 269
based only on selected 79
