quadriceps setting and straight 128
quantified costs and benefits 167
quantities given and received 71
quantities since they indicate 60
quantities which are actually 117
quantities which are assigned 50
quantities which are averaged 48
quantities which are commonly 43
quantities which are computed 46
quantities which are constant 247
quantities which are consumed 72
quantities which are directly 260
quantities which are essential 48
quantities which are functions 372
quantities which are invariant 122
quantities which are involved 158
quantities which are normally 62
quantities which are observed 40
quantities which are obtained 118
quantities which are produced 56
quantities which are relevant 97
quantities which are required 288
quenchless thirst for infinity 41
