query evaluation algorithm for 83
quiet reflection provided for 42
quite analogous situation this 53
quite antipodal contrast with 49
quite correctly believed that 58
quite correctly observed that 305
quite correctly observes that 321
quite correctly suggests that 45
quite different approach and 107
quite different approach for 62
quite different approach has 196
quite different approach than 82
quite different approach that 179
quite different approach was 336
quite different argument for 89
quite different argument that 57
quite different assertion that 153
quite different attitude and 66
quite different attitude was 46
quite different chemical and 67
quite different climatic and 51
quite different compared with 204
quite different concepts and 174
quite different concepts are 45
quite different concerns and 89
quite different concerns than 45
quite different contexts and 172
quite different contexts for 71
quite different creatures with 130
quite different cultural and 265
quite different cultures and 206
quite different direction and 128
quite different direction for 41
quite different direction than 93
quite different direction that 92
quite different economic and 324
quite different emotional and 53
quite different emphases and 49
quite different examples are 42
quite different functions and 264
quite different functions are 49
quite different functions for 80
quite different functions than 57
quite different languages and 117
quite different languages are 55
quite different materials and 92
quite different outcomes and 46
quite different outcomes for 87
quite different outcomes than 56
quite different outlooks and 55
quite different patterns and 96
quite different patterns are 41
quite different patterns for 97
quite different personal and 50
quite different physical and 196
quite different policies and 88
quite different positions and 87
quite different positions with 89
quite different premises and 57
quite different premises than 53
quite different problems and 285
quite different problems are 93
quite different problems for 225
quite different problems not 60
quite different problems than 133
quite different problems that 98
quite different problems with 42
quite different products and 68
quite different proposal for 40
quite different purposes and 391
quite different purposes for 106
quite different purposes than 202
quite different questions and 131
quite different questions are 90
quite different questions than 54
quite different questions that 419
quite different rationale for 55
quite different relations with 94
quite different religious and 93
quite different scenarios for 43
quite different situation and 51
quite different situation has 41
quite different situation than 100
quite different situation was 77
quite different situation with 40
quite different solutions for 48
quite different strategy for 66
quite different subjects and 53
quite different temporal and 64
quite different tradition and 44
quite evidently inspired mob 68
quite expensive compared with 123
quite generally accepted and 132
quite generally accepted for 58
quite generally accepted that 1588
quite generally admitted that 970
quite generally believed that 2588
quite generally conceded that 1510
quite generally confused with 40
quite generally employed for 84
quite generally observed that 85
quite generally provided that 91
quite generally supposed that 329
quite genuinely believed that 167
quite literally accurate one 163
quite logically conclude that 101
quite naturally believed that 257
quite naturally conclude that 232
quite naturally expected that 129
quite naturally inferred that 171
quite naturally supposed that 192
quite plausibly suggests that 107
quite primitive compared with 90
quite reasonable compared with 109
quite reasonably believed that 48
quite reasonably conclude that 346
quite reasonably suggests that 171
quite secondary compared with 41
quite sincerely believed that 392
quite uniformly imitated his 45
