qualification much lower than 43
quantitative data about how 44
quantitative data about its 43
quantitative data about this 42
quantitative data could not 74
quantitative data exist for 78
quantitative data rather than 185
quantitative data showing that 134
quantitative data shows that 43
quantitative data which are 290
quantitative data which can 233
quantitative data which may 71
quantitative data which was 44
questionnaire also asked for 193
questionnaire upon which this 57
questionnaire were coded and 67
