king by office and as 44
king in carrying out the 49
king in person and the 70
king in person led the 55
king in person was to 40
king in person with the 43
king in return for the 375
king is vested with the 58
king of armenia and the 112
king of assyria and the 276
king of assyria for the 64
king of assyria lead the 54
king of bavaria and the 60
king of bohemia and king 59
king of bohemia and of 190
king of bohemia and the 255
king of ceylon and the 54
king of cochin and the 131
king of cyprus and the 168
king of england and an 108
king of england and as 91
king of england and by 42
king of england and in 52
king of england and king 67
king of england and of 890
king of england and the 4193
king of england and to 347
king of england being at 56
king of england but king 55
king of england can do 174
king of england for my 40
king of england for the 640
king of england had at 57
king of england had in 90
king of england had no 469
king of england had the 146
king of england had to 143
king of england has an 53
king of england has no 94
king of england has the 108
king of england led the 80
king of england may be 251
king of england nor the 67
king of england not to 57
king of england out of 93
king of england than the 43
king of england than to 68
king of england that he 156
king of england that the 132
king of england was an 92
king of england was as 51
king of england was at 159
king of england was in 475
king of england was no 111
king of england was so 145
king of england was the 335
king of england was to 499
king of england who is 47
king of england with so 48
king of england with the 355
king of france and an 45
king of france and as 96
king of france and by 75
king of france and he 143
king of france and in 76
king of france and is 262
king of france and it 44
king of france and king 49
king of france and of 857
king of france and the 7025
king of france and to 528
king of france can be 53
king of france for the 626
king of france had in 64
king of france had no 214
king of france had so 47
king of france had the 199
king of france had to 187
king of france has no 141
king of france nor the 93
king of france not to 128
king of france out of 71
king of france saw the 43
king of france than the 76
king of france than to 41
king of france that he 307
king of france that it 87
king of france that the 227
king of france was an 147
king of france was as 133
king of france was at 409
king of france was in 579
king of france was no 177
king of france was of 44
king of france was on 86
king of france was so 381
king of france was the 550
king of france was to 623
king of france who is 158
king of france with an 75
king of france with the 504
king of greece and the 58
king of hungary and king 46
king of hungary and of 114
king of hungary and the 517
king of hungary was the 57
king of jordan and the 52
king of mycenae and the 95
king of naples and of 193
king of naples and the 831
king of naples for the 104
king of naples has no 62
king of naples was to 49
king of norway and of 40
king of norway and the 150
king of poland and of 69
king of poland and the 696
king of poland and to 44
king of poland for the 58
king of poland was to 58
king of poland with the 52
king of prussia and of 110
king of prussia and the 1897
king of prussia and to 71
king of prussia are the 120
king of prussia for the 288
king of prussia had in 42
king of prussia had no 79
king of prussia has no 61
king of prussia may be 75
king of prussia nor the 44
king of prussia that he 107
king of prussia that the 103
king of prussia was as 120
king of prussia was in 130
king of prussia was no 63
king of prussia was of 52
king of prussia was so 53
king of prussia was the 247
king of prussia was to 334
king of prussia with the 178
king of saxony and the 50
king of sicily and of 155
king of sicily and the 361
king of sicily and to 63
king of sicily with the 49
king of spades and the 140
king of sweden and the 546
king of sweden for the 42
king of sweden was at 45
king of sweden was in 87
king of sweden was the 60
king of sweden was to 84
king of sweden with the 60
king or orator has the 57
king the better for the 43
king to accept him as 45
king to arrest all the 50
king to assist him in 171
king to assist them in 43
king to assure him of 43
king to attend him at 45
king to bestow all the 57
king to comply with the 181
king to confer with the 97
king to decree that the 46
king to enable him to 134
king to enable them to 64
king to ensure that the 59
king to induce him to 284
king to inform him of 301
king to invite him to 58
king to permit her to 51
king to permit him to 328
king to permit that the 54
king to permit them to 119
king to remind him of 67
king to suffer them to 48
