kg over 43 kg over 58
king have 40 king were 331
king fell 66 king from 45
king were 110 king have 50
king were 111 king were 189
king been 72 king from 47
king have 100 king made 41
king were 436 king will 51
king came 57 king have 114
king heard 42 king knew 81
king made 108 king went 272
king were 1315 king will 69
king army 76 king were 104
king more 40 king army 156
king body 66 king realm 82
king when 60 king time 1792
king been 120 king over 43
king news 42 king hand 80
king over 57 king wall 61
king into 40 king have 51
king have 47 king have 75
king take 43 king find 63
king give 317 king have 213
king hold 40 king like 56
king make 156 king send 60
king take 124 king were 52
king sent 93 king what 40
king form 55 king able 183
king there 110 king years 43
