keeper heard him with secret 53
killed along with his brother 197
killed along with his entire 132
killed along with his family 166
killed diem and his brother 48
killed four elk and twelve 44
killed many men and horses 86
killed more than one million 179
killed more than one person 165
killed more than six million 103
killed more than ten million 46
killed more than they needed 64
killed more than two million 114
killed smith and his brother 77
killed when his car struck 44
killed when she was struck 73
kinder word for one another 59
kindly fill out and return 148
kindly sent him his blessing 45
kindly upon all who suffer 107
kingdoms vied with one another 67
knight gave him his blessing 48
knitting work and two quarts 54
