kg of sample per hour 62
king in england had ever 52
king in purple and gold 85
king in return for their 117
king is master not only 45
king is served with great 101
king of assyria and from 41
king of assyria for help 84
king of assyria has sent 71
king of assyria lead away 791
king of assyria led away 97
king of bavaria had been 42
king of bohemia and duke 44
king of bohemia and holy 284
king of cyprus who fell 91
king of dublin and york 113
king of england and duke 1044
king of england and lord 573
king of england and other 85
king of england and their 53
king of england but also 64
king of england does very 56
king of england for having 66
king of england for their 65
king of england had also 90
king of england had been 516
king of england had come 53
king of england had done 91
king of england had ever 1075
king of england had heard 64
king of england had held 49
king of england had lost 43
king of england had made 134
king of england had sent 229
king of england had very 74
king of england has been 241
king of england has done 56
king of england has sent 40
king of england his life 53
king of england hung back 64
king of england not only 124
king of england was able 85
king of england was also 161
king of england was born 49
king of england was ever 150
king of england was making 97
king of england was more 55
king of england was much 95
king of england was there 42
king of england was very 97
king of france and duke 723
king of france and from 59
king of france and many 56
king of france and other 162
king of france and some 93
king of france and their 42
king of france and those 50
king of france being able 51
king of france for help 61
king of france for their 98
king of france had also 47
king of france had been 880
king of france had come 62
king of france had died 86
king of france had done 88
king of france had ever 176
king of france had made 253
king of france had sent 326
king of france has been 157
king of france has done 105
king of france has sent 60
king of france may have 54
king of france not only 160
king of france than what 53
king of france was able 46
king of france was also 106
king of france was made 63
king of france was making 58
king of france was more 168
king of france was much 228
king of france was ready 60
king of france was soon 67
king of france was there 109
king of france was very 126
king of hungary and holy 49
king of naples and duke 57
king of naples for five 69
king of naples had been 60
king of naples had sent 40
king of naples was made 57
king of naples with such 72
king of poland and duke 167
king of poland had been 45
king of prussia and other 72
king of prussia for such 52
king of prussia had also 67
king of prussia had been 319
king of prussia had lost 54
king of prussia had made 112
king of prussia has been 100
king of prussia not only 174
king of prussia was also 60
king of prussia was among 41
king of prussia was made 62
king of prussia was more 252
king of saxony had been 43
king of saxony has well 45
king of sicily and duke 42
king of sicily and holy 41
king of sicily had been 71
king of sweden had been 62
king to divert him from 41
king to employ near half 43
king to excuse him from 45
king to extend his sway 53
king to inform him whom 87
king to release him from 117
king to remove him from 275
