kg times 140 kg times 156
king bacon 58 king others 66
king might 47 king would 224
king lords 348 king queen 53
king roman 121 king lords 129
king class 138 king lords 90
king queen 44 king reason 101
king reason 66 king parts 45
king power 61 king sense 114
king right 124 king right 53
king right 87 king power 88
king right 80 king right 77
king thither 53 king hands 52
king cared 60 king march 49
king danger 64 king doubt 78
king sense 58 king hands 43
king power 44 king moved 43
king stark 56 king author 51
king judge 169 king owner 50
king power 44 king place 123
king today 43 km coast 142
km coast 52 km coast 436
