keen to present himself as 133
keep an account current of 45
keep an average balance of 56
keep an official journal of 57
keep it pressed against the 179
keep my thoughts focused on 83
keep the accused advised of 102
keep the antenna pointed at 53
keep the balance between the 2717
keep the british bottled up 54
keep the company focused on 140
keep the contact between the 49
keep the council advised of 83
keep the country together by 45
keep the country together in 85
keep the current account in 104
keep the economy operating at 241
keep the economy producing at 51
keep the exterior features of 79
keep the factory operating at 74
keep the following cautions in 46
keep the following criteria in 121
keep the following factors in 369
keep the following question in 80
keep the following thoughts in 135
keep the general outline of 40
keep the general subject in 50
keep the interior surface of 42
keep the largest numbers of 48
keep the members focused on 82
keep the national economy in 50
keep the national economy on 41
keep the official records of 78
keep the overall balance of 80
keep the overall picture in 105
keep the parties focused on 110
keep the patient focused on 248
keep the patient unaware of 42
keep the program focused on 53
keep the project focused on 70
keep the relation between the 113
keep the slavery question in 63
keep the solution neutral or 59
keep the voltage between the 57
kept an outlook towards the 54
kept as closely together as 95
kept in custody according to 90
kept in position against the 83
kept in reserve against the 110
kept no regular account of 54
kept no written records of 126
kept on attaching sonnets to 68
kept on certain splints of 85
kept the annuity granted by 46
kept the balance between the 186
kept the cautious savages to 52
kept the glasses trained on 118
kept the official records of 52
kept the shotgun trained on 49
kept to himself because he 99
kept to seaports because he 53
kill or capture according to 40
kill the bacilli because of 42
kill the bacteria present in 43
kill the natural enemies of 160
kind an endless variety of 48
kind is carried against the 91
kind is closely related to 62
kind is illegal although the 45
kind of ability measured by 89
kind of alliance against the 66
kind of alliance between the 407
kind of analogy between the 330
kind of arbiter between the 47
kind of bacteria present in 98
kind of balance between the 1585
kind of bargain between the 48
kind of barrier against the 143
kind of barrier between the 342
kind of barrier between us 100
kind of behavior because it 52
kind of behavior because of 46
kind of behavior implied by 153
kind of behavior permits the 73
kind of behavior typical of 54
kind of brokers between the 44
kind of bulwark against the 178
kind of capsule history of 40
kind of chopped bullets or 84
kind of compact between the 70
kind of contact between the 428
kind of contest between the 307
kind of control exerted by 75
kind of country america is 50
kind of crusade against the 306
kind of defense against the 349
kind of delight stirred up 113
kind of dialogue between the 793
kind of dispute between the 93
kind of division between the 154
kind of dualism between the 67
kind of duality between the 42
kind of equation between the 91
kind of exchange between the 136
kind of factory village of 41
kind of freedom enjoyed by 109
kind of friction between the 143
kind of general manager of 47
kind of general picture of 103
kind of general society is 51
kind of godlike disdain of 183
kind of harmony between the 363
kind of haughty disdain of 98
kind of history written by 58
kind of implied consent to 103
kind of ingenuous modesty in 47
kind of justice superior to 44
kind of kinship between the 105
kind of language between us 97
kind of liberty enjoyed by 72
kind of linkage between the 236
kind of logical relation to 45
kind of magical faculty in 163
kind of marriage between the 122
kind of material composing the 85
kind of material element in 40
kind of mediation between the 157
kind of mediator between the 455
kind of mineral deposit as 57
kind of miracle wrought in 48
kind of mixture between the 49
kind of natural aversion to 41
kind of natural division of 45
kind of natural equator to 44
kind of natural history of 407
kind of natural process of 50
kind of natural science of 75
kind of offense against the 46
kind of official position in 58
kind of official sanction to 77
kind of optical delusion of 852
kind of optical illusion of 102
kind of orderly society in 56
kind of outrage against the 69
kind of overall picture of 54
kind of overlap between the 71
kind of passage between the 42
kind of passage lighted by 63
kind of poetical justice in 44
kind of poetical quality of 156
kind of popular history of 52
kind of private history of 59
kind of private language of 41
kind of problem because it 49
kind of problem because the 42
kind of problem related to 70
kind of protest against the 1093
kind of quality control is 63
kind of radiation emitted by 113
kind of rapport between the 114
kind of reactive behavior on 70
kind of relation assumed by 54
kind of relation between an 62
kind of relation between the 1559
kind of research because it 69
kind of results yielded by 71
kind of rivalry between the 239
kind of service offered by 71
kind of settled trouble in 81
kind of shadowy outline of 62
kind of shelter against the 85
kind of shocked delight in 82
kind of society between the 52
kind of society existed in 55
kind of success enjoyed by 62
kind of support offered by 79
kind of sympathy between my 45
kind of sympathy between the 124
kind of traffic carried on 54
kind of trouble because of 92
kind of violence against the 189
kind of warfare against the 61
kind of warfare between the 220
kind of warfare carried on 106
kind of witness against the 48
knew my precise position in 41
knew the correct answers to 113
knew the country between the 52
knew the courses steered by 51
knew the general features of 40
knew the general location of 165
knew the general outline of 129
knew the natural history of 121
knew the precise details of 94
knew the precise location of 321
knew the precise position of 58
knew the private history of 75
knew the relation between the 135
knit the country together by 52
knot by declaring vermont an 48
knot the logical texture of 60
know in advance exactly the 41
know the adverse effects of 49
know the ancient history of 44
know the average density of 64
know the caloric content of 47
know the calorie content of 43
know the charges against me 73
know the correct answers to 285
know the correct position of 64
know the current location of 100
know the current position of 146
know the deepest secrets of 74
know the details regarding the 45
know the diseases brought on 47
know the dreadful comfort of 50
know the general affairs of 49
know the general content of 45
know the general features of 132
know the general history of 126
know the general location of 169
know the general outline of 277
know the general pattern of 100
know the general purpose of 113
know the general results of 45
know the general solution of 65
know the general subject of 43
know the glorious liberty of 57
know the gospels written by 57
know the greatest secrets of 45
know the harmful effects of 68
know the inferior speakers to 61
know the license claimed by 48
know the medical history of 120
know the natural bravery of 65
know the natural history of 642
know the natural objects of 190
know the network address of 73
know the official language of 51
know the precise content of 121
know the precise details of 447
know the precise effects of 82
know the precise expense of 60
know the precise function of 63
know the precise grounds of 40
know the precise history of 60
know the precise location of 906
know the precise numbers of 40
know the precise origins of 60
know the precise position of 257
know the precise relation of 43
know the present address of 60
know the present location of 112
know the present position of 147
know the previous history of 107
know the private affairs of 64
know the private history of 234
know the protein content of 49
know the relation between the 1949
know the salient features of 131
know the utility function of 43
