king also in war to 79
king among the kings of 88
king came of age he 75
king came of age in 65
king came to hear of 65
king came to see me 59
king came to see the 138
king came up with the 47
king ever to sit on 56
king felt he had no 56
king from the age of 51
king from the day of 102
king from the death of 50
king gave me for my 50
king gave to each of 54
king heard of this he 207
king kept the east in 121
king know the way to 71
king like the kings of 60
king loving to seal up 43
king made no use of 64
king made the seat of 46
king made to him on 84
king means to try the 75
king meant to try the 89
king much to put the 43
king must be put to 73
king only as far as 92
king only as long as 80
king only so far as 94
king only so long as 110
king over the dead in 47
king over the head of 40
king over the men of 68
king over us that we 50
king puts an end to 43
king said he had no 62
king said it was the 66
king said to all the 56
king said to one of 104
king sent the earl of 187
king sent the man to 84
king sent to him to 53
king till the end of 68
king told me that he 153
king took an oath of 48
king took an oath to 200
king took the lead in 65
king took the oath of 51
king took the oath to 50
king upon the death of 380
king used to sit in 49
king used to sit on 46
king went as far as 57
king went on with me 44
king went so far as 742
king went so far on 66
king went to bed at 53
king went to see the 170
king went to war he 42
king what he was to 71
king when he goes to 49
king when he saw the 71
king when he was at 129
king when he was by 56
king when he was in 272
king when he was of 76
king when he was on 52
king whom he had so 148
km from the bay of 58
km from the end of 388
km from the head of 375
km from the red sea 152
km from the top of 137
