kg year 522 king who 67
king not 84 king not 40
king not 55 king own 40
king way 52 king not 53
king his 176 king that 114
king own 56 king son 276
king had 82 king how 41
king are 68 king men 53
king who 112 king who 103
king who 60 king his 84
king god 51 king own 84
king son 154 king him 49
king not 47 king not 45
king with 57 king own 44
king that 46 king for 62
king own 83 king and 106
king with 211 king for 40
king for 42 king death 45
king not 108 king his 82
king own 211 king own 45
king hat 70 king that 80
king they 43 king his 146
king not 111 king not 410
king not 68 king not 292
king not 40 king going 86
king not 265 king for 66
king his 159 king not 296
king had 47 king was 99
king man 135 king wit 78
king with 245 king was 52
king his 51 king way 55
king own 46 king death 114
king way 1066 king not 98
king that 43 king that 53
king and 79 king who 103
king who 99 king his 43
king for 41 king that 98
king that 120 king god 46
