keeping bay 49 keeps its 46
killing him 40 kinds men 1963
kinds men 147 kingdom new 1558
kingdom war 62 kingdom one 62
kingdom her 86 kingdom his 59
kingdom was 64 kingdom its 42
kingdom his 70 kingdom its 109
knife cut 41 knife cut 41
knife cut 132 knowing had 41
knowing was 507 knowing was 860
knowing was 198 knowing was 69
knowing this 41 known his 49
known all 466 known them 66
known its 60 known for 45
known all 447 known lot 58
known her 143 known being 163
known all 216 known his 43
known all 175 known its 46
known all 48 known this 43
known one 245 known all 1442
known both 289 known his 394
known them 59 known all 315
known both 159 known her 119
known his 620 known new 85
known our 43 known that 106
known this 525 known all 106
known his 101 known was 671
known was 232 known was 62
known this 48 known all 48
known any 41 known all 51
known any 49 known this 67
known that 1072 known any 50
known his 182 known its 58
known this 70 known that 56
known this 48 knows can 352
knows has 58 knows was 159
knows can 87 knows not 65
knows but 70 knows out 94
