kg per kg of dry 104
king and in so doing 46
king and in the end 43
king and it is not 69
king and of the earl 87
king and of the law 71
king and of the sun 89
king and of the two 40
king and the king had 53
king and the king was 92
king and to the law 45
king did as he had 51
king did as he was 330
king goes on to say 50
king had it in his 165
king had to do was 81
king had to do with 51
king had to go out 45
king has it in his 130
king has to do with 59
king may sing in his 55
king not to be too 101
king out of the way 240
king out to us too 42
king sat at the head 131
king saw to it that 497
king say to the one 153
king than he of them 48
king that he is not 113
king that if he did 84
king that if he had 47
king that if he was 56
king that it is his 55
king that it is not 89
king was at an end 58
king was at the head 533
king was at the top 359
king was in no way 157
king was in the act 154
king was in the art 51
king was in the end 45
king was on the eve 59
king was on the way 74
king was to be set 41
king who is at war 41
king who is the head 80
km east of the old 59
