keen desire for beauty and 155
keep before our minds that 199
keep groves and woods for 43
keep silent any longer and 54
kept awhile and cared for 41
kept checking her watch and 40
kept checking his watch and 66
kept filled with water and 131
kept filled with water for 184
kept laughing and shaking his 44
kept puzzling and running her 129
kept scudding day after day 104
kept silent and would not 54
kept therein one whole year 96
kept twisting and turning and 55
kids series sex stuff for 91
kill anyone who comes near 126
kill before his meeting with 45
kind except that which was 74
kind letter this morning and 88
kind letter with which you 212
kingly fashion far above all 101
kiss across her cheek and 93
kiss before she parts for 64
knee injury that ended his 56
knew anyone who could get 56
knew before she spoke that 169
knew better but could not 66
knew better than bacon that 64
knew better than burke how 49
knew better than others how 134
knew better than plato how 51
knew better than plato that 46
knew beyond all doubt that 2056
knew beyond any doubt that 2602
knew little and cared not 58
knew neither his father nor 60
knew nobody and could not 60
knew platte and liked him 58
knew someone was after him 48
knew someone who could get 142
knew something and would not 40
knew something bad about her 42
knew something that others did 67
knew something was afoot and 57
knew something was amiss and 102
knew something was amiss with 53
knew something was waiting for 41
knew whether she cared for 44
knew whether they might not 65
knew without any doubt that 1578
knew without her telling him 55
knew without his telling her 55
know anyone who could get 61
know anyone who could not 54
know anyone who could use 64
know anyone who knows him 41
know anyone who knows how 44
know anyone who works for 193
know anyone who would buy 46
know anyone who would not 181
know before you begin that 55
know before you start that 170
know better than others how 310
know better than others that 248
know better than others who 122
know beyond all doubt that 1395
know beyond any doubt that 2090
know enough yet about how 57
know someone who could get 50
know someone who could use 148
know someone who knows her 40
know someone who knows him 87
know someone who knows how 46
know someone who knows them 54
know someone who knows you 47
know someone who works for 211
know someone who would not 56
know whence that right had 117
know whence thou hadst this 42
know whether any action has 161
know whether any action was 46
know whether any change had 42
know whether any human being 131
know whether any place had 76
know whether any steps are 88
know whether any study has 56
know whether her father had 171
know whether her father was 56
know whether her mother was 76
know whether his father and 49
know whether his father had 104
know whether his father was 161
know whether his mother had 62
know whether his mother was 79
know whether she cared for 56
know whether she cares for 67
know whether she could bear 46
know whether she could get 76
know whether she could not 57
know whether she could read 49
know whether she could see 57
know whether she hated him 43
know whether she liked him 110
know whether she loved him 185
know whether she loves him 57
know whether she might not 287
know whether she really did 42
know whether she wants him 40
know whether she would get 53
know whether she would not 54
know whether she would see 62
know whether that feeling was 56
know whether that makes any 80
know whether that maxim can 49
know whether they could get 70
know whether they could not 176
know whether they could see 53
know whether they might not 119
know whether they really are 77
know whether they would get 93
know whether they would not 105
know whether they would see 60
know whether they would use 53
know whether things really are 57
know whether this change was 47
know whether this might not 176
know whether this order was 53
know whether this story was 47
know whether this woman was 51
know whether this world has 145
know whether you agree that 41
know whether you agree with 930
know whether you could get 70
know whether you could say 87
know whether you could see 44
know whether you might not 138
know whether you really are 97
know whether you still say 127
know whether you still use 93
know whether you would get 44
know whether you would not 85
know whether you would say 46
know without any doubt that 941
