keel and her three masts 71
keen eye for what would 50
keen that that fact might 55
keen wit and grim humor 112
keep all her wits about 93
keep all his wits about 162
keep all our wits about 47
keep and bear arms shall 15120
keep and bear arms under 81
keep and bear arms would 60
keep going for much longer 100
keep her and look after 49
keep her head from falling 62
keep her head from hitting 52
keep her own name after 138
keep him out four months 103
keep him out from under 133
keep his head down until 117
keep his head down while 71
keep his head from falling 80
keep his head from hitting 91
keep his head from turning 41
keep his head much longer 268
keep his head well above 78
keep his own face above 64
keep his own soul alive 47
keep one eye open while 43
keep our own heads above 56
keep out that lust which 40
keep out this fair enemy 44
keep out too much light 108
keep thee thus from turning 101
keep them all their lives 74
keep them both from falling 108
keep them for some hours 42
keep them for three months 72
keep them out from under 76
keep them out much longer 142
keep this man here until 65
keep you and your child 99
keep you and your loved 77
keep you and your mother 65
keep you and your people 43
keep you and your staff 55
kept all his wits about 76
kept dry and well aired 43
kept for six years after 51
kept for ten years after 43
kept for two years after 315
kept her bed ever since 89
kept her for three months 40
kept her for three weeks 52
kept her head down until 108
kept her head down while 100
kept her own name after 80
kept him for ever calling 45
kept him for five months 45
kept him for many months 57
kept him for some months 107
kept him for some weeks 48
kept him for three months 104
kept him for three weeks 60
kept his bed ever since 76
kept his bed five weeks 50
kept his eye upon homer 141
kept his head down until 150
kept his head down while 127
kept his head well above 69
kept his men ready armed 91
kept his men well under 56
kept off any other world 53
kept them both from falling 43
kept them for some weeks 42
kept them for three months 59
kept them for three weeks 52
kept wet with cold water 251
kept with him ever since 48
kept with its left flank 42
kept with this last party 79
keys with one hand while 47
kick ass and take names 1417
kick off her high heels 59
kids are with their father 43
kids can get their hands 48
kids did not care about 89
kids did not have anything 98
kids did not know about 134
kids did not know anything 75
kids did not know where 50
kids did you kill today 3139
kids how they feel about 43
kids who had been playing 98
kill her all over again 68
kill him all over again 225
kill him and keep strong 47
kill him that very night 42
kill him two years later 84
kill him with their spears 78
kill one with their broad 58
kill them all over again 48
kill them for their hides 55
kill them for their horns 55
kill them for their ivory 71
kill them for their skins 106
kill them they wait until 77
kill them with their spears 61
kill with his bare hands 716
kill you all over again 77
kill you and your mother 43
kill you and your people 65
kill you and your whole 84
kill you for your money 135
kind are all pure moral 70
kind are all those which 340
kind are not those which 121
kind but for your father 70
kind can not take place 188
kind did not take place 205
kind does not fall within 79
kind does not take place 126
kind has long been known 48
kind has yet been found 108
kind than had been usual 40
kind that can take place 46
kind that had been built 85
kind that had been found 40
kind that had been given 72
kind that had been known 82
kind that had come under 79
kind that had ever taken 123
kind that has been found 174
kind that has been given 75
kind that has been known 49
kind that has been tried 46
kind that has come under 282
kind that has ever taken 158
kind that they have never 66
