kg block of ice at 326
king about the end of 62
king after the death of 1597
king asked to see the 44
king comes to see it 59
king could be deaf to 44
king could do was to 149
king found no law by 43
king given to them by 86
king odious to all the 41
king owned the sin of 42
king rises or goes to 40
king saved us out of 41
king since the death of 183
king spoke to him at 83
king spoke to him in 52
king swore an oath to 40
king takes to use us 43
king tells us that he 46
king until the day of 60
king until the death of 46
king until the end of 84
king which is law in 54
king while he was at 87
king while he was in 138
king while he was on 65
king would be loth to 55
king would be put to 53
king would be put up 75
king wrote to all the 69
king wrote to him in 81
king wrote to him to 56
km above the top of 189
km below the top of 70
