keeping of 61 keeping in 67
keeps the 57 killing is 297
killing or 118 kills of 43
kills of 120 knees at 62
knife he 42 knock in 247
knock to 72 knowing on 397
knowing to 45 knowing of 62
knowing he 115 knowing it 66
knowing of 122 knowing the 68
knowing to 61 knowing is 52
known to 112 known on 182
known be 45 known of 141
known of 122 known the 67
known to 43 known the 113
known of 66 knows to 50
knows is 155 knows to 51
knows of 254 knows he 333
knows is 218 knows it 166
knows of 306 knows the 198
knows to 108 knows we 61
knows he 41 knows he 144
knows to 85 knows is 40
